,m,month,m3,year,ym,ym3,OIL
519,3,3,Mar,1991,1991-03,1991Mar,14.6359
520,4,4,Apr,1991,1991-04,1991Apr,15.834
521,5,5,May,1991,1991-05,1991May,16.2415
522,6,6,Jun,1991,1991-06,1991Jun,15.9808
523,7,7,Jul,1991,1991-07,1991Jul,16.9726
524,8,8,Aug,1991,1991-08,1991Aug,16.8707
525,9,9,Sep,1991,1991-09,1991Sep,16.923
526,10,10,Oct,1991,1991-10,1991Oct,18.1138
527,11,11,Nov,1991,1991-11,1991Nov,16.7716
528,12,12,Dec,1991,1991-12,1991Dec,14.0299
529,1,1,Jan,1992,1992-01,1992Jan,13.822
530,2,2,Feb,1992,1992-02,1992Feb,14.2537
531,3,3,Mar,1992,1992-03,1992Mar,14.3985
532,4,4,Apr,1992,1992-04,1992Apr,15.2454
533,5,5,May,1992,1992-05,1992May,15.6683
534,6,6,Jun,1992,1992-06,1992Jun,16.1721
535,7,7,Jul,1992,1992-07,1992Jul,14.8679
536,8,8,Aug,1992,1992-08,1992Aug,14.1948
537,9,9,Sep,1992,1992-09,1992Sep,14.7056
538,10,10,Oct,1992,1992-10,1992Oct,15.3818
539,11,11,Nov,1992,1992-11,1992Nov,15.5
540,12,12,Dec,1992,1992-12,1992Dec,14.7886
541,1,1,Jan,1993,1993-01,1993Jan,14.563
542,2,2,Feb,1993,1993-02,1993Feb,15.5528
543,3,3,Mar,1993,1993-03,1993Mar,15.9781
544,4,4,Apr,1993,1993-04,1993Apr,15.5139
545,5,5,May,1993,1993-05,1993May,15.3603
546,6,6,Jun,1993,1993-06,1993Jun,15.0512
547,7,7,Jul,1993,1993-07,1993Jul,14.7874
548,8,8,Aug,1993,1993-08,1993Aug,14.9624
549,9,9,Sep,1993,1993-09,1993Sep,13.9188
550,10,10,Oct,1993,1993-10,1993Oct,14.5146
551,11,11,Nov,1993,1993-11,1993Nov,13.7115
552,12,12,Dec,1993,1993-12,1993Dec,12.0738
553,1,1,Jan,1994,1994-01,1994Jan,12.5688
554,2,2,Feb,1994,1994-02,1994Feb,12.2547
555,3,3,Mar,1994,1994-03,1994Mar,11.874
556,4,4,Apr,1994,1994-04,1994Apr,13.0261
557,5,5,May,1994,1994-05,1994May,13.8681
558,6,6,Jun,1994,1994-06,1994Jun,14.2137
559,7,7,Jul,1994,1994-07,1994Jul,14.4743
560,8,8,Aug,1994,1994-08,1994Aug,13.9764
561,9,9,Sep,1994,1994-09,1994Sep,13.1558
562,10,10,Oct,1994,1994-10,1994Oct,13.0991
563,11,11,Nov,1994,1994-11,1994Nov,13.7831
564,12,12,Dec,1994,1994-12,1994Dec,13.2546
565,1,1,Jan,1995,1995-01,1995Jan,13.3426
566,2,2,Feb,1995,1995-02,1995Feb,13.5011
567,3,3,Mar,1995,1995-03,1995Mar,12.8245
568,4,4,Apr,1995,1995-04,1995Apr,13.6595
569,5,5,May,1995,1995-05,1995May,13.8754
570,6,6,Jun,1995,1995-06,1995Jun,12.9011
571,7,7,Jul,1995,1995-07,1995Jul,11.871
572,8,8,Aug,1995,1995-08,1995Aug,12.3954
573,9,9,Sep,1995,1995-09,1995Sep,12.8179
574,10,10,Oct,1995,1995-10,1995Oct,12.1219
575,11,11,Nov,1995,1995-11,1995Nov,12.6176
576,12,12,Dec,1995,1995-12,1995Dec,13.6362
577,1,1,Jan,1996,1996-01,1996Jan,13.5422
578,2,2,Feb,1996,1996-02,1996Feb,13.362
579,3,3,Mar,1996,1996-03,1996Mar,14.5735
580,4,4,Apr,1996,1996-04,1996Apr,15.8357
581,5,5,May,1996,1996-05,1996May,14.9926
582,6,6,Jun,1996,1996-06,1996Jun,14.5078
583,7,7,Jul,1996,1996-07,1996Jul,15.2648
584,8,8,Aug,1996,1996-08,1996Aug,15.7163
585,9,9,Sep,1996,1996-09,1996Sep,17.7969
586,10,10,Oct,1996,1996-10,1996Oct,19.0408
587,11,11,Nov,1996,1996-11,1996Nov,17.8571
588,12,12,Dec,1996,1996-12,1996Dec,18.815
589,1,1,Jan,1997,1997-01,1997Jan,19.0961
590,2,2,Feb,1997,1997-02,1997Feb,17.6215
591,3,3,Mar,1997,1997-03,1997Mar,17.0163
592,4,4,Apr,1997,1997-04,1997Apr,15.8286
593,5,5,May,1997,1997-05,1997May,16.7818
594,6,6,Jun,1997,1997-06,1997Jun,15.8726
595,7,7,Jul,1997,1997-07,1997Jul,16.6621
596,8,8,Aug,1997,1997-08,1997Aug,17.5709
597,9,9,Sep,1997,1997-09,1997Sep,16.9914
598,10,10,Oct,1997,1997-10,1997Oct,18.0412
599,11,11,Nov,1997,1997-11,1997Nov,16.9764
600,12,12,Dec,1997,1997-12,1997Dec,15.7648
601,1,1,Jan,1998,1998-01,1998Jan,14.3927
602,2,2,Feb,1998,1998-02,1998Feb,13.5061
603,3,3,Mar,1998,1998-03,1998Mar,12.7433
604,4,4,Apr,1998,1998-04,1998Apr,13.017
605,5,5,May,1998,1998-05,1998May,13.0171
606,6,6,Jun,1998,1998-06,1998Jun,12.2412
607,7,7,Jul,1998,1998-07,1998Jul,11.8878
608,8,8,Aug,1998,1998-08,1998Aug,11.2511
609,9,9,Sep,1998,1998-09,1998Sep,11.8583
610,10,10,Oct,1998,1998-10,1998Oct,11.1202
611,11,11,Nov,1998,1998-11,1998Nov,10.185
612,12,12,Dec,1998,1998-12,1998Dec,8.7563
613,1,1,Jan,1999,1999-01,1999Jan,9.5267
614,2,2,Feb,1999,1999-02,1999Feb,9.4106
615,3,3,Mar,1999,1999-03,1999Mar,11.878
616,4,4,Apr,1999,1999-04,1999Apr,14.4228
617,5,5,May,1999,1999-05,1999May,14.896
618,6,6,Jun,1999,1999-06,1999Jun,15.6664
619,7,7,Jul,1999,1999-07,1999Jul,18.1469
620,8,8,Aug,1999,1999-08,1999Aug,19.3069
621,9,9,Sep,1999,1999-09,1999Sep,21.6807
622,10,10,Oct,1999,1999-10,1999Oct,20.7934
623,11,11,Nov,1999,1999-11,1999Nov,23.4241
624,12,12,Dec,1999,1999-12,1999Dec,24.8273
625,1,1,Jan,2000,2000-01,2000Jan,24.9276
626,2,2,Feb,2000,2000-02,2000Feb,27.4256
627,3,3,Mar,2000,2000-03,2000Mar,28.1746
628,4,4,Apr,2000,2000-04,2000Apr,24.5615
629,5,5,May,2000,2000-05,2000May,30.2532
630,6,6,Jun,2000,2000-06,2000Jun,31.2514
631,7,7,Jul,2000,2000-07,2000Jul,30.4733
632,8,8,Aug,2000,2000-08,2000Aug,33.3047
633,9,9,Sep,2000,2000-09,2000Sep,37.2103
634,10,10,Oct,2000,2000-10,2000Oct,36.7711
635,11,11,Nov,2000,2000-11,2000Nov,37.7163
636,12,12,Dec,2000,2000-12,2000Dec,28.8488
637,1,1,Jan,2001,2001-01,2001Jan,27.4682
638,2,2,Feb,2001,2001-02,2001Feb,29.8793
639,3,3,Mar,2001,2001-03,2001Mar,28.0598
640,4,4,Apr,2001,2001-04,2001Apr,29.7733
641,5,5,May,2001,2001-05,2001May,32.6926
642,6,6,Jun,2001,2001-06,2001Jun,32.4803
643,7,7,Jul,2001,2001-07,2001Jul,29.4168
644,8,8,Aug,2001,2001-08,2001Aug,28.7054
645,9,9,Sep,2001,2001-09,2001Sep,28.7614
646,10,10,Oct,2001,2001-10,2001Oct,23.8075
647,11,11,Nov,2001,2001-11,2001Nov,21.6987
648,12,12,Dec,2001,2001-12,2001Dec,21.469
649,1,1,Jan,2002,2002-01,2002Jan,22.5709
650,2,2,Feb,2002,2002-02,2002Feb,23.4545
651,3,3,Mar,2002,2002-03,2002Mar,27.8976
652,4,4,Apr,2002,2002-04,2002Apr,29.2965
653,5,5,May,2002,2002-05,2002May,28.1191
654,6,6,Jun,2002,2002-06,2002Jun,25.812
655,7,7,Jul,2002,2002-07,2002Jul,25.931
656,8,8,Aug,2002,2002-08,2002Aug,26.9925
657,9,9,Sep,2002,2002-09,2002Sep,28.9213
658,10,10,Oct,2002,2002-10,2002Oct,27.8898
659,11,11,Nov,2002,2002-11,2002Nov,24.2473
660,12,12,Dec,2002,2002-12,2002Dec,27.1056
661,1,1,Jan,2003,2003-01,2003Jan,28.2833
662,2,2,Feb,2003,2003-02,2003Feb,29.8076
663,3,3,Mar,2003,2003-03,2003Mar,27.1826
664,4,4,Apr,2003,2003-04,2003Apr,22.8764
665,5,5,May,2003,2003-05,2003May,21.938
666,6,6,Jun,2003,2003-06,2003Jun,23.3076
667,7,7,Jul,2003,2003-07,2003Jul,24.9572
668,8,8,Aug,2003,2003-08,2003Aug,26.4694
669,9,9,Sep,2003,2003-09,2003Sep,23.9297
670,10,10,Oct,2003,2003-10,2003Oct,24.7033
671,11,11,Nov,2003,2003-11,2003Nov,24.646
672,12,12,Dec,2003,2003-12,2003Dec,24.0496
673,1,1,Jan,2004,2004-01,2004Jan,24.2096
674,2,2,Feb,2004,2004-02,2004Feb,24.0717
675,3,3,Mar,2004,2004-03,2004Mar,26.6673
676,4,4,Apr,2004,2004-04,2004Apr,27.6457
677,5,5,May,2004,2004-05,2004May,30.8791
678,6,6,Jun,2004,2004-06,2004Jun,29.3277
679,7,7,Jul,2004,2004-07,2004Jul,30.7268
680,8,8,Aug,2004,2004-08,2004Aug,34.1204
681,9,9,Sep,2004,2004-09,2004Sep,35.0205
682,10,10,Oct,2004,2004-10,2004Oct,39.3565
683,11,11,Nov,2004,2004-11,2004Nov,34.4724
684,12,12,Dec,2004,2004-12,2004Dec,29.9761
685,1,1,Jan,2005,2005-01,2005Jan,33.6007
686,2,2,Feb,2005,2005-02,2005Feb,35.2464
687,3,3,Mar,2005,2005-03,2005Mar,40.4137
688,4,4,Apr,2005,2005-04,2005Apr,41.3922
689,5,5,May,2005,2005-05,2005May,39.4243
690,6,6,Jun,2005,2005-06,2005Jun,45.7259
691,7,7,Jul,2005,2005-07,2005Jul,48.2549
692,8,8,Aug,2005,2005-08,2005Aug,52.0461
693,9,9,Sep,2005,2005-09,2005Sep,52.1871
694,10,10,Oct,2005,2005-10,2005Oct,49.3474
695,11,11,Nov,2005,2005-11,2005Nov,47.8653
696,12,12,Dec,2005,2005-12,2005Dec,48.5179
697,1,1,Jan,2006,2006-01,2006Jan,52.4815
698,2,2,Feb,2006,2006-02,2006Feb,51.817
699,3,3,Mar,2006,2006-03,2006Mar,52.5811
700,4,4,Apr,2006,2006-04,2006Apr,57.5616
701,5,5,May,2006,2006-05,2006May,55.7091
702,6,6,Jun,2006,2006-06,2006Jun,55.4378
703,7,7,Jul,2006,2006-07,2006Jul,58.7493
704,8,8,Aug,2006,2006-08,2006Aug,57.794
705,9,9,Sep,2006,2006-09,2006Sep,50.282
706,10,10,Oct,2006,2006-10,2006Oct,47.6976
707,11,11,Nov,2006,2006-11,2006Nov,46.7381
708,12,12,Dec,2006,2006-12,2006Dec,47.4282
709,1,1,Jan,2007,2007-01,2007Jan,42.2269
710,2,2,Feb,2007,2007-02,2007Feb,44.9066
711,3,3,Mar,2007,2007-03,2007Mar,47.2648
712,4,4,Apr,2007,2007-04,2007Apr,50.2325
713,5,5,May,2007,2007-05,2007May,50.2504
714,6,6,Jun,2007,2007-06,2007Jun,52.5685
715,7,7,Jul,2007,2007-07,2007Jul,55.2325
716,8,8,Aug,2007,2007-08,2007Aug,52.3674
717,9,9,Sep,2007,2007-09,2007Sep,55.1692
718,10,10,Oct,2007,2007-10,2007Oct,57.7252
719,11,11,Nov,2007,2007-11,2007Nov,62.8231
720,12,12,Dec,2007,2007-12,2007Dec,62.7599
721,1,1,Jan,2008,2008-01,2008Jan,62.4387
722,2,2,Feb,2008,2008-02,2008Feb,64.0862
723,3,3,Mar,2008,2008-03,2008Mar,66.1209
724,4,4,Apr,2008,2008-04,2008Apr,69.8474
725,5,5,May,2008,2008-05,2008May,80.1039
726,6,6,Jun,2008,2008-06,2008Jun,85.9319
727,7,7,Jul,2008,2008-07,2008Jul,85.2843
728,8,8,Aug,2008,2008-08,2008Aug,77.0383
729,9,9,Sep,2008,2008-09,2008Sep,69.9981
730,10,10,Oct,2008,2008-10,2008Oct,55.2039
731,11,11,Nov,2008,2008-11,2008Nov,43.1188
732,12,12,Dec,2008,2008-12,2008Dec,32.077
733,1,1,Jan,2009,2009-01,2009Jan,34.2974
734,2,2,Feb,2009,2009-02,2009Feb,34.5613
735,3,3,Mar,2009,2009-03,2009Mar,36.5235
736,4,4,Apr,2009,2009-04,2009Apr,39.0474
737,5,5,May,2009,2009-05,2009May,42.8033
738,6,6,Jun,2009,2009-06,2009Jun,49.5164
739,7,7,Jul,2009,2009-07,2009Jul,46.459
740,8,8,Aug,2009,2009-08,2009Aug,51.1313
741,9,9,Sep,2009,2009-09,2009Sep,46.9331
742,10,10,Oct,2009,2009-10,2009Oct,49.7654
743,11,11,Nov,2009,2009-11,2009Nov,52.0729
744,12,12,Dec,2009,2009-12,2009Dec,51.6425
745,1,1,Jan,2010,2010-01,2010Jan,53.9784
746,2,2,Feb,2010,2010-02,2010Feb,54.4891
747,3,3,Mar,2010,2010-03,2010Mar,59.0665
748,4,4,Apr,2010,2010-04,2010Apr,63.9929
749,5,5,May,2010,2010-05,2010May,61.6167
750,6,6,Jun,2010,2010-06,2010Jun,62.1816
751,7,7,Jul,2010,2010-07,2010Jul,58.9178
752,8,8,Aug,2010,2010-08,2010Aug,59.9151
753,9,9,Sep,2010,2010-09,2010Sep,59.8432
754,10,10,Oct,2010,2010-10,2010Oct,60.2167
755,11,11,Nov,2010,2010-11,2010Nov,63.1009
756,12,12,Dec,2010,2010-12,2010Dec,69.578
757,1,1,Jan,2011,2011-01,2011Jan,72.5877
758,2,2,Feb,2011,2011-02,2011Feb,76.6326
759,3,3,Mar,2011,2011-03,2011Mar,82.1068
760,4,4,Apr,2011,2011-04,2011Apr,85.1395
761,5,5,May,2011,2011-05,2011May,79.8296
762,6,6,Jun,2011,2011-06,2011Jun,79.0854
763,7,7,Jul,2011,2011-07,2011Jul,81.7058
764,8,8,Aug,2011,2011-08,2011Aug,76.714
765,9,9,Sep,2011,2011-09,2011Sep,79.8159
766,10,10,Oct,2011,2011-10,2011Oct,78.9365
767,11,11,Nov,2011,2011-11,2011Nov,81.3574
768,12,12,Dec,2011,2011-12,2011Dec,81.6568
769,1,1,Jan,2012,2012-01,2012Jan,86.2344
770,2,2,Feb,2012,2012-02,2012Feb,89.7464
771,3,3,Mar,2012,2012-03,2012Mar,94.2123
772,4,4,Apr,2012,2012-04,2012Apr,91.3811
773,5,5,May,2012,2012-05,2012May,86.0061
774,6,6,Jun,2012,2012-06,2012Jun,76.4181
775,7,7,Jul,2012,2012-07,2012Jul,83.3615
776,8,8,Aug,2012,2012-08,2012Aug,90.4529
777,9,9,Sep,2012,2012-09,2012Sep,87.9202
778,10,10,Oct,2012,2012-10,2012Oct,85.59
779,11,11,Nov,2012,2012-11,2012Nov,84.8372
780,12,12,Dec,2012,2012-12,2012Dec,82.7839
781,1,1,Jan,2013,2013-01,2013Jan,84.1874
782,2,2,Feb,2013,2013-02,2013Feb,86.7123
783,3,3,Mar,2013,2013-03,2013Mar,84.1555
784,4,4,Apr,2013,2013-04,2013Apr,79.3453
785,5,5,May,2013,2013-05,2013May,79.2452
786,6,6,Jun,2013,2013-06,2013Jun,78.3375
787,7,7,Jul,2013,2013-07,2013Jul,81.8711
788,8,8,Aug,2013,2013-08,2013Aug,82.5541
789,9,9,Sep,2013,2013-09,2013Sep,83.0109
790,10,10,Oct,2013,2013-10,2013Oct,79.9776
791,11,11,Nov,2013,2013-11,2013Nov,80.0078
792,12,12,Dec,2013,2013-12,2013Dec,80.7921
793,1,1,Jan,2014,2014-01,2014Jan,78.7576
794,2,2,Feb,2014,2014-02,2014Feb,79.4208
795,3,3,Mar,2014,2014-03,2014Mar,77.7698
796,4,4,Apr,2014,2014-04,2014Apr,78.1769
797,5,5,May,2014,2014-05,2014May,79.4203
798,6,6,Jun,2014,2014-06,2014Jun,82.2801
799,7,7,Jul,2014,2014-07,2014Jul,79.9469
800,8,8,Aug,2014,2014-08,2014Aug,77.5741
801,9,9,Sep,2014,2014-09,2014Sep,76.4254
802,10,10,Oct,2014,2014-10,2014Oct,69.4637
803,11,11,Nov,2014,2014-11,2014Nov,64.0813
804,12,12,Dec,2014,2014-12,2014Dec,51.28
805,1,1,Jan,2015,2015-01,2015Jan,42.8153
806,2,2,Feb,2015,2015-02,2015Feb,51.9588
807,3,3,Mar,2015,2015-03,2015Mar,NA
808,4,4,Apr,2015,2015-04,2015Apr,NA
809,5,5,May,2015,2015-05,2015May,NA
810,6,6,Jun,2015,2015-06,2015Jun,NA
811,7,7,Jul,2015,2015-07,2015Jul,NA
812,8,8,Aug,2015,2015-08,2015Aug,NA
813,9,9,Sep,2015,2015-09,2015Sep,NA
814,10,10,Oct,2015,2015-10,2015Oct,NA
815,11,11,Nov,2015,2015-11,2015Nov,NA
816,12,12,Dec,2015,2015-12,2015Dec,NA
