,m,month,year,ym,IS-M,IS-D,IS-3M,IL-3,IL-5,IL-10,SPR-C-G,SPR-10Y-M,SPR-10Y-D,SPR-10Y-3M,SPR-1D-M,EX,EXR,HWWA-E,HWWA-EX
231,3,3,1967,1967-03,4.26,4,5.04,NA,NA,NA,NA,NA,NA,NA,-0.26,NA,NA,NA,NA
232,4,4,1967,1967-04,4.24,3.5,4.48,NA,NA,NA,NA,NA,NA,NA,-0.74,NA,NA,NA,NA
233,5,5,1967,1967-05,2.89,3,3.69,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA
234,6,6,1967,1967-06,3.8,3,3.98,NA,NA,NA,NA,NA,NA,NA,-0.8,NA,NA,NA,NA
235,7,7,1967,1967-07,2.41,3,3.51,NA,NA,NA,NA,NA,NA,NA,0.59,NA,NA,NA,NA
236,8,8,1967,1967-08,2.45,3,3.56,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA
237,9,9,1967,1967-09,3.12,3,3.43,NA,NA,NA,NA,NA,NA,NA,-0.12,NA,NA,NA,NA
238,10,10,1967,1967-10,2.06,3,4.2,NA,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA
239,11,11,1967,1967-11,2.16,3,4,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA
240,12,12,1967,1967-12,2.77,3,4.07,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA
241,1,1,1968,1968-01,2.26,3,3.32,NA,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA
242,2,2,1968,1968-02,2.85,3,3.45,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA
243,3,3,1968,1968-03,2.69,3,3.52,NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA
244,4,4,1968,1968-04,2.72,3,3.64,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA
245,5,5,1968,1968-05,2.99,3,3.68,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA
246,6,6,1968,1968-06,2.68,3,3.72,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA
247,7,7,1968,1968-07,2.43,3,3.59,NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA
248,8,8,1968,1968-08,3.07,3,3.55,NA,NA,NA,NA,NA,NA,NA,-0.07,NA,NA,NA,NA
249,9,9,1968,1968-09,2.66,3,3.54,NA,NA,NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA
250,10,10,1968,1968-10,3.18,3,4.75,NA,NA,NA,NA,NA,NA,NA,-0.18,NA,NA,NA,NA
251,11,11,1968,1968-11,1.64,3,4.5,NA,NA,NA,NA,NA,NA,NA,1.36,NA,NA,NA,NA
252,12,12,1968,1968-12,1.94,3,4.44,NA,NA,NA,NA,NA,NA,NA,1.06,NA,NA,NA,NA
253,1,1,1969,1969-01,3.3,3,3.87,NA,NA,NA,NA,NA,NA,NA,-0.3,NA,NA,NA,NA
254,2,2,1969,1969-02,3.27,3,3.91,NA,NA,NA,NA,NA,NA,NA,-0.27,NA,NA,NA,NA
255,3,3,1969,1969-03,3.63,3,4.21,NA,NA,NA,NA,NA,NA,NA,-0.63,NA,NA,NA,NA
256,4,4,1969,1969-04,2.46,4,4.4,NA,NA,NA,NA,NA,NA,NA,1.54,NA,NA,NA,NA
257,5,5,1969,1969-05,1.63,4,4.38,NA,NA,NA,NA,NA,NA,NA,2.37,NA,NA,NA,NA
258,6,6,1969,1969-06,5.02,5,5.5,NA,NA,NA,NA,NA,NA,NA,-0.02,NA,NA,NA,NA
259,7,7,1969,1969-07,5.8,5,5.78,NA,NA,NA,NA,NA,NA,NA,-0.8,NA,NA,NA,NA
260,8,8,1969,1969-08,5.87,5,6.5,NA,NA,NA,NA,NA,NA,NA,-0.87,NA,NA,NA,NA
261,9,9,1969,1969-09,4.03,6,6.94,NA,NA,NA,NA,NA,NA,NA,1.97,NA,NA,NA,NA
262,10,10,1969,1969-10,6.68,6,7.42,NA,NA,NA,NA,NA,NA,NA,-0.68,NA,NA,NA,NA
263,11,11,1969,1969-11,7.64,6,7.69,NA,NA,NA,NA,NA,NA,NA,-1.64,NA,NA,NA,NA
264,12,12,1969,1969-12,8.35,6,8.83,NA,NA,NA,NA,NA,NA,NA,-2.35,NA,NA,NA,NA
265,1,1,1970,1970-01,9.09,6,9.29,NA,NA,NA,NA,NA,NA,NA,-3.09,NA,NA,NA,NA
266,2,2,1970,1970-02,8.48,6,9.51,NA,NA,NA,NA,NA,NA,NA,-2.48,NA,NA,NA,NA
267,3,3,1970,1970-03,9.53,7.5,9.81,NA,NA,NA,NA,NA,NA,NA,-2.03,NA,NA,NA,NA
268,4,4,1970,1970-04,9.65,7.5,9.86,NA,NA,NA,NA,NA,NA,NA,-2.15,NA,NA,NA,NA
269,5,5,1970,1970-05,9.18,7.5,9.93,NA,NA,NA,NA,NA,NA,NA,-1.68,NA,NA,NA,NA
270,6,6,1970,1970-06,8.72,7.5,9.88,NA,NA,NA,NA,NA,NA,NA,-1.22,NA,NA,NA,NA
271,7,7,1970,1970-07,8.8,7,9.59,NA,NA,NA,NA,NA,NA,NA,-1.8,NA,NA,NA,NA
272,8,8,1970,1970-08,7.83,7,9.16,NA,NA,NA,NA,NA,NA,NA,-0.83,NA,NA,NA,NA
273,9,9,1970,1970-09,9.14,7,9.36,NA,NA,NA,NA,NA,NA,NA,-2.14,NA,NA,NA,NA
274,10,10,1970,1970-10,7.44,7,9.53,NA,NA,NA,NA,NA,NA,NA,-0.44,NA,NA,NA,NA
275,11,11,1970,1970-11,8.43,6.5,8.84,NA,NA,NA,NA,NA,NA,NA,-1.93,NA,NA,NA,NA
276,12,12,1970,1970-12,7.47,6,8.12,NA,NA,NA,NA,NA,NA,NA,-1.47,NA,NA,NA,NA
277,1,1,1971,1971-01,7.6,6,7.5,NA,NA,NA,NA,NA,NA,NA,-1.6,NA,NA,NA,NA
278,2,2,1971,1971-02,7.27,6,7.47,NA,NA,NA,NA,NA,NA,NA,-1.27,NA,NA,NA,NA
279,3,3,1971,1971-03,7.36,6,7.46,NA,NA,NA,NA,NA,NA,NA,-1.36,NA,NA,NA,NA
280,4,4,1971,1971-04,4.23,5,6.36,NA,NA,NA,NA,NA,NA,NA,0.77,NA,NA,NA,NA
281,5,5,1971,1971-05,3.33,5,6.16,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA
282,6,6,1971,1971-06,6.94,5,6.8,NA,NA,NA,NA,NA,NA,NA,-1.94,NA,NA,NA,NA
283,7,7,1971,1971-07,6.22,5,7.66,NA,NA,NA,NA,NA,NA,NA,-1.22,NA,NA,NA,NA
284,8,8,1971,1971-08,6.21,5,7.56,NA,NA,NA,NA,NA,NA,NA,-1.21,NA,NA,NA,NA
285,9,9,1971,1971-09,6.99,5,7.59,NA,NA,NA,NA,NA,NA,NA,-1.99,NA,NA,NA,NA
286,10,10,1971,1971-10,7.49,4.5,7.8,NA,NA,NA,NA,NA,NA,NA,-2.99,NA,NA,NA,NA
287,11,11,1971,1971-11,4.54,4.5,6.79,NA,NA,NA,NA,NA,NA,NA,-0.04,NA,NA,NA,NA
288,12,12,1971,1971-12,5.77,4,6.63,NA,NA,NA,NA,NA,NA,NA,-1.77,NA,NA,NA,NA
289,1,1,1972,1972-01,4.2,4,5.19,NA,NA,NA,NA,NA,NA,NA,-0.2,NA,NA,NA,NA
290,2,2,1972,1972-02,4.15,3,4.88,NA,NA,NA,NA,NA,NA,NA,-1.15,NA,NA,NA,NA
291,3,3,1972,1972-03,3.88,3,4.8,NA,NA,NA,NA,NA,NA,NA,-0.88,NA,NA,NA,NA
292,4,4,1972,1972-04,3.77,3,4.78,NA,NA,NA,NA,NA,NA,NA,-0.77,NA,NA,NA,NA
293,5,5,1972,1972-05,2.95,3,4.71,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA
294,6,6,1972,1972-06,2.65,3,4.65,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA
295,7,7,1972,1972-07,2.24,3,4.65,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA
296,8,8,1972,1972-08,4.48,3,4.8,NA,NA,NA,NA,NA,NA,NA,-1.48,NA,NA,NA,NA
297,9,9,1972,1972-09,4.83,3,5.32,NA,NA,NA,NA,NA,NA,NA,-1.83,NA,NA,NA,NA
298,10,10,1972,1972-10,6.07,3.5,6.88,NA,NA,NA,NA,NA,NA,NA,-2.57,NA,NA,NA,NA
299,11,11,1972,1972-11,5.71,4,8.07,NA,NA,NA,NA,NA,NA,NA,-1.71,NA,NA,NA,NA
300,12,12,1972,1972-12,6.69,4.5,8.6,NA,NA,NA,NA,NA,NA,NA,-2.19,NA,NA,NA,NA
301,1,1,1973,1973-01,5.58,5,7.89,NA,NA,NA,NA,NA,NA,NA,-0.58,NA,NA,NA,NA
302,2,2,1973,1973-02,2.18,5,7.96,NA,NA,NA,NA,NA,NA,NA,2.82,NA,NA,NA,NA
303,3,3,1973,1973-03,11.37,5,8.77,NA,NA,NA,NA,NA,NA,NA,-6.37,NA,NA,NA,NA
304,4,4,1973,1973-04,14.84,5,10.62,NA,NA,NA,NA,NA,NA,NA,-9.84,NA,NA,NA,NA
305,5,5,1973,1973-05,7.4,6,12.42,NA,NA,NA,NA,NA,NA,NA,-1.4,NA,NA,NA,NA
306,6,6,1973,1973-06,10.9,7,13.62,NA,NA,NA,NA,NA,NA,NA,-3.9,NA,NA,NA,NA
307,7,7,1973,1973-07,15.78,7,14.3,NA,NA,NA,NA,NA,NA,NA,-8.78,NA,NA,NA,NA
308,8,8,1973,1973-08,10.63,7,14.57,NA,NA,NA,NA,NA,NA,NA,-3.63,NA,NA,NA,NA
309,9,9,1973,1973-09,9.76,7,14.25,NA,NA,NA,NA,NA,NA,NA,-2.76,NA,NA,NA,NA
310,10,10,1973,1973-10,10.57,7,14.49,NA,NA,NA,NA,NA,NA,NA,-3.57,NA,NA,NA,NA
311,11,11,1973,1973-11,11.3,7,13.62,NA,NA,NA,NA,NA,NA,NA,-4.3,NA,NA,NA,NA
312,12,12,1973,1973-12,11.89,7,13.2,NA,NA,NA,NA,NA,NA,NA,-4.89,NA,NA,NA,NA
313,1,1,1974,1974-01,10.4,7,12.09,NA,NA,NA,NA,NA,NA,NA,-3.4,NA,NA,NA,NA
314,2,2,1974,1974-02,9.13,7,10.67,NA,NA,NA,NA,NA,NA,NA,-2.13,NA,NA,NA,NA
315,3,3,1974,1974-03,11.63,7,11.2,NA,NA,NA,NA,NA,NA,NA,-4.63,NA,NA,NA,NA
316,4,4,1974,1974-04,5.33,7,10.07,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA
317,5,5,1974,1974-05,8.36,7,9.1,NA,NA,NA,NA,NA,NA,NA,-1.36,NA,NA,NA,NA
318,6,6,1974,1974-06,8.79,7,9.46,NA,NA,NA,NA,NA,NA,NA,-1.79,NA,NA,NA,NA
319,7,7,1974,1974-07,9.4,7,9.48,NA,NA,NA,NA,NA,NA,NA,-2.4,NA,NA,NA,NA
320,8,8,1974,1974-08,9.3,7,9.65,NA,NA,NA,NA,NA,NA,NA,-2.3,NA,NA,NA,NA
321,9,9,1974,1974-09,9.22,7,9.69,NA,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA,NA
322,10,10,1974,1974-10,9.1,6.5,9.78,NA,NA,NA,NA,NA,NA,NA,-2.6,NA,NA,NA,NA
323,11,11,1974,1974-11,7.38,6.5,9.04,NA,NA,NA,NA,NA,NA,NA,-0.88,NA,NA,NA,NA
324,12,12,1974,1974-12,8.35,6,8.6,NA,NA,NA,NA,NA,NA,NA,-2.35,NA,NA,NA,NA
325,1,1,1975,1975-01,7.71,6,7.74,NA,NA,NA,NA,NA,NA,NA,-1.71,NA,NA,NA,NA
326,2,2,1975,1975-02,4.25,5.5,6.43,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA
327,3,3,1975,1975-03,4.85,5,5.71,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA
328,4,4,1975,1975-04,4.69,5,4.89,NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA
329,5,5,1975,1975-05,5.41,4.5,4.99,NA,NA,NA,NA,NA,NA,NA,-0.91,NA,NA,NA,NA
330,6,6,1975,1975-06,4.98,4.5,4.88,NA,NA,NA,NA,NA,NA,NA,-0.48,NA,NA,NA,NA
331,7,7,1975,1975-07,4.12,4.5,4.66,NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA
332,8,8,1975,1975-08,1.87,4,3.88,NA,NA,NA,NA,NA,NA,NA,2.13,NA,NA,NA,NA
333,9,9,1975,1975-09,4.33,3.5,3.93,NA,NA,NA,NA,NA,NA,NA,-0.83,NA,NA,NA,NA
334,10,10,1975,1975-10,3.33,3.5,4.07,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA
335,11,11,1975,1975-11,3.39,3.5,4.12,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA
336,12,12,1975,1975-12,3.92,3.5,4.21,NA,NA,NA,NA,NA,NA,NA,-0.42,NA,NA,NA,NA
337,1,1,1976,1976-01,3.58,3.5,3.93,NA,NA,NA,NA,NA,NA,NA,-0.08,NA,NA,NA,NA
338,2,2,1976,1976-02,3.28,3.5,3.72,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA
339,3,3,1976,1976-03,3.64,3.5,3.74,NA,NA,NA,NA,NA,NA,NA,-0.14,NA,NA,NA,NA
340,4,4,1976,1976-04,2.81,3.5,3.62,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA,NA,NA
341,5,5,1976,1976-05,3.71,3.5,3.77,NA,NA,NA,NA,NA,NA,NA,-0.21,NA,NA,NA,NA
342,6,6,1976,1976-06,4.31,3.5,4.14,NA,NA,NA,NA,NA,NA,NA,-0.81,NA,NA,NA,NA
343,7,7,1976,1976-07,4.48,3.5,4.47,NA,NA,NA,NA,NA,NA,NA,-0.98,NA,NA,NA,NA
344,8,8,1976,1976-08,4.21,3.5,4.56,NA,NA,NA,NA,NA,NA,NA,-0.71,NA,NA,NA,NA
345,9,9,1976,1976-09,4.33,3.5,4.56,NA,NA,NA,NA,NA,NA,NA,-0.83,NA,NA,NA,NA
346,10,10,1976,1976-10,3.26,3.5,4.85,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA
347,11,11,1976,1976-11,3.98,3.5,4.69,NA,NA,NA,NA,NA,NA,NA,-0.48,NA,NA,NA,NA
348,12,12,1976,1976-12,5.03,3.5,4.93,NA,NA,NA,NA,NA,NA,NA,-1.53,NA,NA,NA,NA
349,1,1,1977,1977-01,4.57,3.5,4.78,NA,NA,NA,NA,NA,NA,NA,-1.07,NA,NA,NA,NA
350,2,2,1977,1977-02,4.36,3.5,4.71,NA,NA,NA,NA,NA,NA,NA,-0.86,NA,NA,NA,NA
351,3,3,1977,1977-03,4.53,3.5,4.73,NA,NA,NA,NA,NA,NA,NA,-1.03,NA,NA,NA,NA
352,4,4,1977,1977-04,4.52,3.5,4.62,NA,NA,NA,NA,NA,NA,NA,-1.02,NA,NA,NA,NA
353,5,5,1977,1977-05,4.1,3.5,4.44,NA,NA,NA,NA,NA,NA,NA,-0.6,NA,NA,NA,NA
354,6,6,1977,1977-06,4.13,3.5,4.28,NA,NA,NA,NA,NA,NA,NA,-0.63,NA,NA,NA,NA
355,7,7,1977,1977-07,4.26,3.5,4.29,NA,NA,NA,NA,NA,NA,NA,-0.76,NA,NA,NA,NA
356,8,8,1977,1977-08,4.03,3.5,4.12,NA,NA,NA,NA,NA,NA,NA,-0.53,NA,NA,NA,NA
357,9,9,1977,1977-09,4.01,3.5,4.15,NA,NA,NA,NA,NA,NA,NA,-0.51,NA,NA,NA,NA
358,10,10,1977,1977-10,3.98,3.5,4.13,NA,NA,NA,NA,NA,NA,NA,-0.48,NA,NA,NA,NA
359,11,11,1977,1977-11,3.94,3.5,4.15,NA,NA,NA,NA,NA,NA,NA,-0.44,NA,NA,NA,NA
360,12,12,1977,1977-12,3.24,3,3.98,NA,NA,NA,NA,NA,NA,NA,-0.24,NA,NA,NA,NA
361,1,1,1978,1978-01,3.37,3,3.58,NA,NA,NA,NA,NA,NA,NA,-0.37,NA,NA,NA,NA
362,2,2,1978,1978-02,3.34,3,3.46,NA,NA,NA,NA,NA,NA,NA,-0.34,NA,NA,NA,NA
363,3,3,1978,1978-03,3.55,3,3.51,NA,NA,NA,NA,NA,NA,NA,-0.55,NA,NA,NA,NA
364,4,4,1978,1978-04,3.53,3,3.56,NA,NA,NA,NA,NA,NA,NA,-0.53,NA,NA,NA,NA
365,5,5,1978,1978-05,3.54,3,3.6,NA,NA,NA,NA,NA,NA,NA,-0.54,NA,NA,NA,NA
366,6,6,1978,1978-06,3.55,3,3.68,NA,NA,NA,NA,NA,NA,NA,-0.55,NA,NA,NA,NA
367,7,7,1978,1978-07,3.4,3,3.75,NA,NA,NA,NA,NA,NA,NA,-0.4,NA,NA,NA,NA
368,8,8,1978,1978-08,3.23,3,3.7,NA,NA,NA,NA,NA,NA,NA,-0.23,NA,NA,NA,NA
369,9,9,1978,1978-09,3.51,3,3.7,NA,NA,NA,NA,NA,NA,NA,-0.51,NA,NA,18.1,47.8
370,10,10,1978,1978-10,3.07,3,3.95,NA,NA,NA,NA,NA,NA,NA,-0.07,NA,NA,17.5,47.6
371,11,11,1978,1978-11,2.67,3,3.85,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,19.9,49.2
372,12,12,1978,1978-12,3.56,3,4.06,NA,NA,NA,NA,NA,NA,NA,-0.56,NA,NA,20.3,48.3
373,1,1,1979,1979-01,2.99,3,3.89,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,23.2,48.1
374,2,2,1979,1979-02,3.81,3,4.15,NA,NA,NA,NA,NA,NA,NA,-0.81,NA,NA,30.1,50.6
375,3,3,1979,1979-03,4.32,4,4.47,NA,NA,NA,NA,NA,NA,NA,-0.32,NA,NA,29.3,52.4
376,4,4,1979,1979-04,5.24,4,5.54,NA,NA,NA,NA,NA,NA,NA,-1.24,NA,NA,28.1,53.5
377,5,5,1979,1979-05,5.16,4,5.92,NA,NA,NA,NA,NA,NA,NA,-1.16,NA,NA,38.3,54.4
378,6,6,1979,1979-06,5.6,4,6.46,NA,NA,NA,NA,NA,NA,NA,-1.6,NA,NA,45,57.7
379,7,7,1979,1979-07,5.73,5,6.84,NA,NA,NA,NA,NA,NA,NA,-0.73,NA,NA,41.1,55.8
380,8,8,1979,1979-08,6.36,5,7.09,NA,NA,NA,NA,NA,NA,NA,-1.36,NA,NA,42.2,54.5
381,9,9,1979,1979-09,6.5,5,7.89,NA,NA,NA,NA,NA,NA,NA,-1.5,NA,NA,43.2,54.4
382,10,10,1979,1979-10,7.87,5,8.76,NA,NA,NA,NA,NA,NA,NA,-2.87,NA,NA,46.9,54.9
383,11,11,1979,1979-11,7.86,6,9.65,NA,NA,NA,NA,NA,NA,NA,-1.86,NA,NA,50.5,55.1
384,12,12,1979,1979-12,9.02,6,9.58,NA,NA,NA,NA,NA,NA,NA,-3.02,NA,NA,49.1,54.7
385,1,1,1980,1980-01,8.25,6,8.86,NA,NA,NA,NA,NA,NA,NA,-2.25,NA,NA,44.8,55.7
386,2,2,1980,1980-02,8.06,7,8.97,NA,NA,NA,NA,NA,NA,NA,-1.06,NA,NA,42.7,58.8
387,3,3,1980,1980-03,8.61,7,9.64,NA,NA,NA,NA,NA,NA,NA,-1.61,NA,NA,45.3,58.7
388,4,4,1980,1980-04,9.05,7,10.22,NA,NA,NA,NA,NA,NA,NA,-2.05,NA,NA,46.5,57.2
389,5,5,1980,1980-05,9.8,7.5,10.26,NA,NA,NA,NA,NA,NA,NA,-2.3,NA,NA,44.6,55.5
390,6,6,1980,1980-06,10.04,7.5,10.11,NA,NA,NA,NA,NA,NA,NA,-2.54,NA,NA,43.5,53.5
391,7,7,1980,1980-07,9.8,7.5,9.7,NA,NA,NA,NA,NA,NA,NA,-2.3,NA,NA,41.8,54.2
392,8,8,1980,1980-08,8.92,7.5,8.98,NA,NA,NA,NA,NA,NA,NA,-1.42,NA,NA,38.9,55.7
393,9,9,1980,1980-09,9.27,7.5,8.97,NA,NA,NA,NA,NA,NA,NA,-1.77,NA,NA,41.2,56.2
394,10,10,1980,1980-10,9.01,7.5,9.08,NA,NA,NA,NA,NA,NA,NA,-1.51,NA,NA,46.1,57.2
395,11,11,1980,1980-11,8.76,7.5,9.45,NA,NA,NA,NA,NA,NA,NA,-1.26,NA,NA,52,59.2
396,12,12,1980,1980-12,9.16,7.5,10.2,NA,NA,NA,NA,NA,NA,NA,-1.66,NA,NA,52.7,57.8
397,1,1,1981,1981-01,9.09,7.5,9.47,NA,NA,NA,NA,NA,NA,NA,-1.59,NA,NA,52.2,58.3
398,2,2,1981,1981-02,10.38,7.5,10.67,NA,NA,NA,NA,NA,NA,NA,-2.88,NA,NA,52.9,60.8
399,3,3,1981,1981-03,11.97,7.5,13.6,NA,NA,NA,NA,NA,NA,NA,-4.47,NA,NA,52.3,60.5
400,4,4,1981,1981-04,11.31,7.5,13.19,NA,NA,NA,NA,NA,NA,NA,-3.81,NA,NA,53.2,61.9
401,5,5,1981,1981-05,11.83,7.5,13.2,NA,NA,NA,NA,NA,NA,NA,-4.33,NA,NA,52.4,62
402,6,6,1981,1981-06,11.93,7.5,13.09,NA,NA,NA,NA,NA,NA,NA,-4.43,NA,NA,51.5,61.8
403,7,7,1981,1981-07,11.98,7.5,12.96,NA,NA,NA,NA,NA,NA,NA,-4.48,NA,NA,56.2,63.8
404,8,8,1981,1981-08,11.97,7.5,12.9,NA,NA,NA,NA,NA,NA,NA,-4.47,NA,NA,58.4,65.4
405,9,9,1981,1981-09,12,7.5,12.5,NA,NA,NA,NA,NA,NA,NA,-4.5,NA,NA,55.6,60.6
406,10,10,1981,1981-10,11.3,7.5,11.78,NA,NA,NA,NA,NA,NA,NA,-3.8,NA,NA,55.3,58.6
407,11,11,1981,1981-11,10.81,7.5,11.08,NA,NA,NA,NA,NA,NA,NA,-3.31,NA,NA,56.3,57.3
408,12,12,1981,1981-12,10.58,7.5,10.82,NA,NA,NA,NA,NA,NA,NA,-3.08,NA,NA,56.7,58.2
409,1,1,1982,1982-01,10.1,7.5,10.46,NA,NA,NA,NA,NA,NA,NA,-2.6,NA,NA,56.6,59.5
410,2,2,1982,1982-02,10.06,7.5,10.27,9.83,9.79,NA,0.37,NA,NA,NA,-2.56,NA,NA,50.5,61.4
411,3,3,1982,1982-03,9.83,7.5,9.87,9.49,9.48,NA,0.41,NA,NA,NA,-2.33,NA,NA,48.9,60.4
412,4,4,1982,1982-04,9.47,7.5,9.33,9,8.98,NA,0.4,NA,NA,NA,-1.97,NA,NA,56.3,60.7
413,5,5,1982,1982-05,9.11,7.5,9.18,8.79,8.74,NA,0.31,NA,NA,NA,-1.61,NA,NA,57.1,58.3
414,6,6,1982,1982-06,9.02,7.5,9.28,9.16,9.1,NA,0.14,NA,NA,NA,-1.52,NA,NA,59.6,59
415,7,7,1982,1982-07,9.02,7.5,9.46,9.39,9.29,NA,0.11,NA,NA,NA,-1.52,NA,NA,58.7,59.8
416,8,8,1982,1982-08,8.78,7,9,9.11,9.02,NA,0.29,NA,NA,NA,-1.78,NA,NA,57.9,58.7
417,9,9,1982,1982-09,7.97,7,8.18,8.64,8.61,NA,0.66,NA,NA,NA,-0.97,NA,NA,61.6,59.2
418,10,10,1982,1982-10,7.46,6,7.58,8.24,8.18,NA,0.66,NA,NA,NA,-1.46,NA,NA,62.6,58.6
419,11,11,1982,1982-11,7.02,6,7.31,8.1,8.06,NA,0.4,NA,NA,NA,-1.02,NA,NA,60.4,59.9
420,12,12,1982,1982-12,6.15,5,6.62,7.81,7.81,NA,0.39,NA,NA,NA,-1.15,NA,NA,55.1,57.9
421,1,1,1983,1983-01,5.85,5,5.82,7.46,7.61,NA,0.44,NA,NA,NA,-0.85,NA,NA,53.2,58.5
422,2,2,1983,1983-02,5.74,5,5.83,7.44,7.64,NA,0.26,NA,NA,NA,-0.74,NA,NA,51.5,61.2
423,3,3,1983,1983-03,5.51,4,5.45,7.08,7.4,NA,0.52,NA,NA,NA,-1.51,NA,NA,50.4,63.3
424,4,4,1983,1983-04,4.93,4,5.2,7.13,7.43,NA,0.17,NA,NA,NA,-0.93,NA,NA,53.8,66.8
425,5,5,1983,1983-05,5.04,4,5.33,7.42,7.61,NA,-0.02,NA,NA,NA,-1.04,NA,NA,53.8,68.5
426,6,6,1983,1983-06,5.05,4,5.57,7.9,8,NA,0,NA,NA,NA,-1.05,NA,NA,56.9,70.7
427,7,7,1983,1983-07,5.05,4,5.57,7.95,8.1,NA,0.05,NA,NA,NA,-1.05,NA,NA,57.9,73
428,8,8,1983,1983-08,5.06,4,5.71,8.12,8.29,NA,-0.02,NA,NA,NA,-1.06,NA,NA,60.2,80.4
429,9,9,1983,1983-09,5.42,4,5.88,8.2,8.34,NA,0.1,NA,NA,NA,-1.42,NA,NA,58.8,82.6
430,10,10,1983,1983-10,5.53,4,6.18,7.97,8.14,NA,0.33,NA,NA,NA,-1.53,NA,NA,56.8,80.6
431,11,11,1983,1983-11,5.57,4,6.3,7.87,8.12,NA,0.43,NA,NA,NA,-1.57,NA,NA,56.5,81.7
432,12,12,1983,1983-12,5.61,4,6.48,8.08,8.24,NA,0.22,NA,NA,NA,-1.61,NA,NA,57.4,83.8
433,1,1,1984,1984-01,5.56,4,6.12,8.04,8.22,NA,0.26,NA,NA,NA,-1.56,NA,NA,60.2,86.8
434,2,2,1984,1984-02,5.53,4,5.95,7.77,8.04,NA,0.23,NA,NA,NA,-1.53,NA,NA,58.6,83.7
435,3,3,1984,1984-03,5.53,4,5.86,7.53,7.91,NA,0.47,NA,NA,NA,-1.53,NA,NA,57.2,82.7
436,4,4,1984,1984-04,5.49,4,5.84,7.59,7.96,NA,0.41,NA,NA,NA,-1.49,NA,NA,58.1,83.9
437,5,5,1984,1984-05,5.54,4,6.1,7.74,8.09,NA,0.26,NA,NA,NA,-1.54,NA,NA,59.9,87.3
438,6,6,1984,1984-06,5.52,4.5,6.13,7.79,8.12,NA,0.21,NA,NA,NA,-1.02,NA,NA,58.2,84.3
439,7,7,1984,1984-07,5.56,4.5,6.13,7.82,8.12,NA,0.18,NA,NA,NA,-1.06,NA,NA,58.5,81.9
440,8,8,1984,1984-08,5.52,4.5,6.02,7.65,7.96,NA,0.25,NA,NA,NA,-1.02,NA,NA,60,81.2
441,9,9,1984,1984-09,5.55,4.5,5.82,7.33,7.74,NA,0.37,NA,NA,NA,-1.05,NA,NA,63.1,83.2
442,10,10,1984,1984-10,5.61,4.5,6.07,7.04,7.51,NA,0.56,NA,NA,NA,-1.11,NA,NA,62.5,83.4
443,11,11,1984,1984-11,5.51,4.5,5.96,6.85,7.3,NA,0.45,NA,NA,NA,-1.01,NA,NA,61.4,82.1
444,12,12,1984,1984-12,5.62,4.5,5.83,6.7,7.1,NA,0.5,NA,NA,NA,-1.12,NA,NA,62.3,82.3
445,1,1,1985,1985-01,5.52,4.5,5.87,6.84,7.19,NA,0.36,NA,NA,NA,-1.02,NA,NA,63.7,83.5
446,2,2,1985,1985-02,5.78,4.5,6.16,7.2,7.49,NA,0,NA,NA,NA,-1.28,NA,NA,69,85.7
447,3,3,1985,1985-03,5.85,4.5,6.39,7.39,7.6,NA,-0.09,NA,NA,NA,-1.35,NA,NA,69.1,85.7
