m,month,m3,year,ym,ym3,OIL
6,6,Jun,1994,1994-06,1994Jun,14.2137
7,7,Jul,1994,1994-07,1994Jul,14.4743
8,8,Aug,1994,1994-08,1994Aug,13.9764
9,9,Sep,1994,1994-09,1994Sep,13.1558
10,10,Oct,1994,1994-10,1994Oct,13.0991
11,11,Nov,1994,1994-11,1994Nov,13.7831
12,12,Dec,1994,1994-12,1994Dec,13.2546
1,1,Jan,1995,1995-01,1995Jan,13.3426
2,2,Feb,1995,1995-02,1995Feb,13.5011
3,3,Mar,1995,1995-03,1995Mar,12.8245
4,4,Apr,1995,1995-04,1995Apr,13.6595
5,5,May,1995,1995-05,1995May,13.8754
6,6,Jun,1995,1995-06,1995Jun,12.9011
7,7,Jul,1995,1995-07,1995Jul,11.871
8,8,Aug,1995,1995-08,1995Aug,12.3954
9,9,Sep,1995,1995-09,1995Sep,12.8179
10,10,Oct,1995,1995-10,1995Oct,12.1219
11,11,Nov,1995,1995-11,1995Nov,12.6176
12,12,Dec,1995,1995-12,1995Dec,13.6362
1,1,Jan,1996,1996-01,1996Jan,13.5422
2,2,Feb,1996,1996-02,1996Feb,13.362
3,3,Mar,1996,1996-03,1996Mar,14.5735
4,4,Apr,1996,1996-04,1996Apr,15.8357
5,5,May,1996,1996-05,1996May,14.9926
6,6,Jun,1996,1996-06,1996Jun,14.5078
7,7,Jul,1996,1996-07,1996Jul,15.2648
8,8,Aug,1996,1996-08,1996Aug,15.7163
9,9,Sep,1996,1996-09,1996Sep,17.7969
10,10,Oct,1996,1996-10,1996Oct,19.0408
11,11,Nov,1996,1996-11,1996Nov,17.8571
12,12,Dec,1996,1996-12,1996Dec,18.815
1,1,Jan,1997,1997-01,1997Jan,19.0961
2,2,Feb,1997,1997-02,1997Feb,17.6215
3,3,Mar,1997,1997-03,1997Mar,17.0163
4,4,Apr,1997,1997-04,1997Apr,15.8286
5,5,May,1997,1997-05,1997May,16.7818
6,6,Jun,1997,1997-06,1997Jun,15.8726
7,7,Jul,1997,1997-07,1997Jul,16.6621
8,8,Aug,1997,1997-08,1997Aug,17.5709
9,9,Sep,1997,1997-09,1997Sep,16.9914
10,10,Oct,1997,1997-10,1997Oct,18.0412
11,11,Nov,1997,1997-11,1997Nov,16.9764
12,12,Dec,1997,1997-12,1997Dec,15.7648
1,1,Jan,1998,1998-01,1998Jan,14.3927
2,2,Feb,1998,1998-02,1998Feb,13.5061
3,3,Mar,1998,1998-03,1998Mar,12.7433
4,4,Apr,1998,1998-04,1998Apr,13.017
5,5,May,1998,1998-05,1998May,13.0171
6,6,Jun,1998,1998-06,1998Jun,12.2412
7,7,Jul,1998,1998-07,1998Jul,11.8878
8,8,Aug,1998,1998-08,1998Aug,11.2511
9,9,Sep,1998,1998-09,1998Sep,11.8583
10,10,Oct,1998,1998-10,1998Oct,11.1202
11,11,Nov,1998,1998-11,1998Nov,10.185
12,12,Dec,1998,1998-12,1998Dec,8.7563
1,1,Jan,1999,1999-01,1999Jan,9.5267
2,2,Feb,1999,1999-02,1999Feb,9.4106
3,3,Mar,1999,1999-03,1999Mar,11.878
4,4,Apr,1999,1999-04,1999Apr,14.4228
5,5,May,1999,1999-05,1999May,14.896
6,6,Jun,1999,1999-06,1999Jun,15.6664
7,7,Jul,1999,1999-07,1999Jul,18.1469
8,8,Aug,1999,1999-08,1999Aug,19.3069
9,9,Sep,1999,1999-09,1999Sep,21.6807
10,10,Oct,1999,1999-10,1999Oct,20.7934
11,11,Nov,1999,1999-11,1999Nov,23.4241
12,12,Dec,1999,1999-12,1999Dec,24.8273
1,1,Jan,2000,2000-01,2000Jan,24.9276
2,2,Feb,2000,2000-02,2000Feb,27.4256
3,3,Mar,2000,2000-03,2000Mar,28.1746
4,4,Apr,2000,2000-04,2000Apr,24.5615
5,5,May,2000,2000-05,2000May,30.2532
6,6,Jun,2000,2000-06,2000Jun,31.2514
7,7,Jul,2000,2000-07,2000Jul,30.4733
8,8,Aug,2000,2000-08,2000Aug,33.3047
9,9,Sep,2000,2000-09,2000Sep,37.2103
10,10,Oct,2000,2000-10,2000Oct,36.7711
11,11,Nov,2000,2000-11,2000Nov,37.7163
12,12,Dec,2000,2000-12,2000Dec,28.8488
1,1,Jan,2001,2001-01,2001Jan,27.4682
2,2,Feb,2001,2001-02,2001Feb,29.8793
3,3,Mar,2001,2001-03,2001Mar,28.0598
4,4,Apr,2001,2001-04,2001Apr,29.7733
5,5,May,2001,2001-05,2001May,32.6926
6,6,Jun,2001,2001-06,2001Jun,32.4803
7,7,Jul,2001,2001-07,2001Jul,29.4168
8,8,Aug,2001,2001-08,2001Aug,28.7054
9,9,Sep,2001,2001-09,2001Sep,28.7614
10,10,Oct,2001,2001-10,2001Oct,23.8075
11,11,Nov,2001,2001-11,2001Nov,21.6987
12,12,Dec,2001,2001-12,2001Dec,21.469
1,1,Jan,2002,2002-01,2002Jan,22.5709
2,2,Feb,2002,2002-02,2002Feb,23.4545
3,3,Mar,2002,2002-03,2002Mar,27.8976
4,4,Apr,2002,2002-04,2002Apr,29.2965
5,5,May,2002,2002-05,2002May,28.1191
6,6,Jun,2002,2002-06,2002Jun,25.812
7,7,Jul,2002,2002-07,2002Jul,25.931
8,8,Aug,2002,2002-08,2002Aug,26.9925
9,9,Sep,2002,2002-09,2002Sep,28.9213
10,10,Oct,2002,2002-10,2002Oct,27.8898
11,11,Nov,2002,2002-11,2002Nov,24.2473
12,12,Dec,2002,2002-12,2002Dec,27.1056
1,1,Jan,2003,2003-01,2003Jan,28.2833
2,2,Feb,2003,2003-02,2003Feb,29.8076
3,3,Mar,2003,2003-03,2003Mar,27.1826
4,4,Apr,2003,2003-04,2003Apr,22.8764
5,5,May,2003,2003-05,2003May,21.938
6,6,Jun,2003,2003-06,2003Jun,23.3076
7,7,Jul,2003,2003-07,2003Jul,24.9572
8,8,Aug,2003,2003-08,2003Aug,26.4694
9,9,Sep,2003,2003-09,2003Sep,23.9297
10,10,Oct,2003,2003-10,2003Oct,24.7033
11,11,Nov,2003,2003-11,2003Nov,24.646
12,12,Dec,2003,2003-12,2003Dec,24.0496
1,1,Jan,2004,2004-01,2004Jan,24.2096
2,2,Feb,2004,2004-02,2004Feb,24.0717
3,3,Mar,2004,2004-03,2004Mar,26.6673
4,4,Apr,2004,2004-04,2004Apr,27.6457
5,5,May,2004,2004-05,2004May,30.8791
6,6,Jun,2004,2004-06,2004Jun,29.3277
7,7,Jul,2004,2004-07,2004Jul,30.7268
8,8,Aug,2004,2004-08,2004Aug,34.1204
9,9,Sep,2004,2004-09,2004Sep,35.0205
10,10,Oct,2004,2004-10,2004Oct,39.3565
11,11,Nov,2004,2004-11,2004Nov,34.4724
12,12,Dec,2004,2004-12,2004Dec,29.9761
1,1,Jan,2005,2005-01,2005Jan,33.6007
2,2,Feb,2005,2005-02,2005Feb,35.2464
3,3,Mar,2005,2005-03,2005Mar,40.4137
4,4,Apr,2005,2005-04,2005Apr,41.3922
5,5,May,2005,2005-05,2005May,39.4243
6,6,Jun,2005,2005-06,2005Jun,45.7259
7,7,Jul,2005,2005-07,2005Jul,48.2549
8,8,Aug,2005,2005-08,2005Aug,52.0461
9,9,Sep,2005,2005-09,2005Sep,52.1871
10,10,Oct,2005,2005-10,2005Oct,49.3474
11,11,Nov,2005,2005-11,2005Nov,47.8653
12,12,Dec,2005,2005-12,2005Dec,48.5179
1,1,Jan,2006,2006-01,2006Jan,52.4815
2,2,Feb,2006,2006-02,2006Feb,51.817
3,3,Mar,2006,2006-03,2006Mar,52.5811
4,4,Apr,2006,2006-04,2006Apr,57.5616
5,5,May,2006,2006-05,2006May,55.7091
6,6,Jun,2006,2006-06,2006Jun,55.4378
7,7,Jul,2006,2006-07,2006Jul,58.7493
8,8,Aug,2006,2006-08,2006Aug,57.794
9,9,Sep,2006,2006-09,2006Sep,50.282
10,10,Oct,2006,2006-10,2006Oct,47.6976
11,11,Nov,2006,2006-11,2006Nov,46.7381
12,12,Dec,2006,2006-12,2006Dec,47.4282
1,1,Jan,2007,2007-01,2007Jan,42.2269
2,2,Feb,2007,2007-02,2007Feb,44.9066
3,3,Mar,2007,2007-03,2007Mar,47.2648
4,4,Apr,2007,2007-04,2007Apr,50.2325
5,5,May,2007,2007-05,2007May,50.2504
6,6,Jun,2007,2007-06,2007Jun,52.5685
7,7,Jul,2007,2007-07,2007Jul,55.2325
8,8,Aug,2007,2007-08,2007Aug,52.3674
9,9,Sep,2007,2007-09,2007Sep,55.1692
10,10,Oct,2007,2007-10,2007Oct,57.7252
11,11,Nov,2007,2007-11,2007Nov,62.8231
12,12,Dec,2007,2007-12,2007Dec,62.7599
1,1,Jan,2008,2008-01,2008Jan,62.4387
2,2,Feb,2008,2008-02,2008Feb,64.0862
3,3,Mar,2008,2008-03,2008Mar,66.1209
4,4,Apr,2008,2008-04,2008Apr,69.8474
5,5,May,2008,2008-05,2008May,80.1039
6,6,Jun,2008,2008-06,2008Jun,85.9319
7,7,Jul,2008,2008-07,2008Jul,85.2843
8,8,Aug,2008,2008-08,2008Aug,77.0383
9,9,Sep,2008,2008-09,2008Sep,69.9981
10,10,Oct,2008,2008-10,2008Oct,55.2039
11,11,Nov,2008,2008-11,2008Nov,43.1188
12,12,Dec,2008,2008-12,2008Dec,32.077
1,1,Jan,2009,2009-01,2009Jan,34.2974
2,2,Feb,2009,2009-02,2009Feb,34.5613
3,3,Mar,2009,2009-03,2009Mar,36.5235
4,4,Apr,2009,2009-04,2009Apr,39.0474
5,5,May,2009,2009-05,2009May,42.8033
6,6,Jun,2009,2009-06,2009Jun,49.5164
7,7,Jul,2009,2009-07,2009Jul,46.459
8,8,Aug,2009,2009-08,2009Aug,51.1313
9,9,Sep,2009,2009-09,2009Sep,46.9331
10,10,Oct,2009,2009-10,2009Oct,49.7654
11,11,Nov,2009,2009-11,2009Nov,52.0729
12,12,Dec,2009,2009-12,2009Dec,51.6425
1,1,Jan,2010,2010-01,2010Jan,53.9784
2,2,Feb,2010,2010-02,2010Feb,54.4891
3,3,Mar,2010,2010-03,2010Mar,59.0665
4,4,Apr,2010,2010-04,2010Apr,63.9929
5,5,May,2010,2010-05,2010May,61.6167
6,6,Jun,2010,2010-06,2010Jun,62.1816
7,7,Jul,2010,2010-07,2010Jul,58.9178
8,8,Aug,2010,2010-08,2010Aug,59.9151
9,9,Sep,2010,2010-09,2010Sep,59.8432
10,10,Oct,2010,2010-10,2010Oct,60.2167
11,11,Nov,2010,2010-11,2010Nov,63.1009
12,12,Dec,2010,2010-12,2010Dec,69.578
1,1,Jan,2011,2011-01,2011Jan,72.5877
2,2,Feb,2011,2011-02,2011Feb,76.6326
3,3,Mar,2011,2011-03,2011Mar,82.1068
4,4,Apr,2011,2011-04,2011Apr,85.1395
5,5,May,2011,2011-05,2011May,79.8296
6,6,Jun,2011,2011-06,2011Jun,79.0854
7,7,Jul,2011,2011-07,2011Jul,81.7058
8,8,Aug,2011,2011-08,2011Aug,76.714
9,9,Sep,2011,2011-09,2011Sep,79.8159
10,10,Oct,2011,2011-10,2011Oct,78.9365
11,11,Nov,2011,2011-11,2011Nov,81.3574
12,12,Dec,2011,2011-12,2011Dec,81.6568
1,1,Jan,2012,2012-01,2012Jan,86.2344
2,2,Feb,2012,2012-02,2012Feb,89.7464
3,3,Mar,2012,2012-03,2012Mar,94.2123
4,4,Apr,2012,2012-04,2012Apr,91.3811
5,5,May,2012,2012-05,2012May,86.0061
6,6,Jun,2012,2012-06,2012Jun,76.4181
7,7,Jul,2012,2012-07,2012Jul,83.3615
8,8,Aug,2012,2012-08,2012Aug,90.4529
9,9,Sep,2012,2012-09,2012Sep,87.9202
10,10,Oct,2012,2012-10,2012Oct,85.59
11,11,Nov,2012,2012-11,2012Nov,84.8372
12,12,Dec,2012,2012-12,2012Dec,82.7839
1,1,Jan,2013,2013-01,2013Jan,84.1874
2,2,Feb,2013,2013-02,2013Feb,86.7123
3,3,Mar,2013,2013-03,2013Mar,84.1555
4,4,Apr,2013,2013-04,2013Apr,79.3453
5,5,May,2013,2013-05,2013May,79.2452
6,6,Jun,2013,2013-06,2013Jun,78.3375
7,7,Jul,2013,2013-07,2013Jul,81.8711
8,8,Aug,2013,2013-08,2013Aug,82.5541
9,9,Sep,2013,2013-09,2013Sep,83.0109
10,10,Oct,2013,2013-10,2013Oct,79.9776
11,11,Nov,2013,2013-11,2013Nov,80.0078
12,12,Dec,2013,2013-12,2013Dec,80.7921
1,1,Jan,2014,2014-01,2014Jan,78.7576
2,2,Feb,2014,2014-02,2014Feb,79.4208
3,3,Mar,2014,2014-03,2014Mar,77.7698
4,4,Apr,2014,2014-04,2014Apr,78.1769
5,5,May,2014,2014-05,2014May,79.4203
6,6,Jun,2014,2014-06,2014Jun,82.2801
7,7,Jul,2014,2014-07,2014Jul,79.9469
8,8,Aug,2014,2014-08,2014Aug,77.5741
9,9,Sep,2014,2014-09,2014Sep,76.4254
10,10,Oct,2014,2014-10,2014Oct,69.4637
11,11,Nov,2014,2014-11,2014Nov,64.0813
12,12,Dec,2014,2014-12,2014Dec,51.28
1,1,Jan,2015,2015-01,2015Jan,42.8153
2,2,Feb,2015,2015-02,2015Feb,51.9588
3,3,Mar,2015,2015-03,2015Mar,NA
4,4,Apr,2015,2015-04,2015Apr,NA
5,5,May,2015,2015-05,2015May,NA
6,6,Jun,2015,2015-06,2015Jun,NA
7,7,Jul,2015,2015-07,2015Jul,NA
8,8,Aug,2015,2015-08,2015Aug,NA
9,9,Sep,2015,2015-09,2015Sep,NA
10,10,Oct,2015,2015-10,2015Oct,NA
11,11,Nov,2015,2015-11,2015Nov,NA
12,12,Dec,2015,2015-12,2015Dec,NA
