"",BBEX3.D.KRW.USD.CA.AA.000,BBEX3.D.KRW.USD.CA.AA.000_FLAGS
1987-05-06,.,No value available
1987-05-07,.,No value available
1987-05-08,.,No value available
1987-05-09,.,No value available
1987-05-10,.,No value available
1987-05-11,.,No value available
1987-05-12,.,No value available
1987-05-13,.,No value available
1987-05-14,.,No value available
1987-05-15,825.60,
1987-05-16,.,No value available
1987-05-17,.,No value available
1987-05-18,.,No value available
1987-05-19,.,No value available
1987-05-20,.,No value available
1987-05-21,.,No value available
1987-05-22,.,No value available
1987-05-23,.,No value available
1987-05-24,.,No value available
1987-05-25,.,No value available
1987-05-26,.,No value available
1987-05-27,.,No value available
1987-05-28,.,No value available
1987-05-29,.,No value available
1987-05-30,818.90,
1987-05-31,.,No value available
1987-06-01,.,No value available
1987-06-02,.,No value available
1987-06-03,.,No value available
1987-06-04,.,No value available
1987-06-05,.,No value available
1987-06-06,.,No value available
1987-06-07,.,No value available
1987-06-08,.,No value available
1987-06-09,.,No value available
1987-06-10,.,No value available
1987-06-11,.,No value available
1987-06-12,.,No value available
1987-06-13,.,No value available
1987-06-14,.,No value available
1987-06-15,.,No value available
1987-06-16,810.00,
1987-06-17,.,No value available
1987-06-18,.,No value available
1987-06-19,.,No value available
1987-06-20,.,No value available
1987-06-21,.,No value available
1987-06-22,.,No value available
1987-06-23,.,No value available
1987-06-24,.,No value available
1987-06-25,.,No value available
1987-06-26,.,No value available
1987-06-27,.,No value available
1987-06-28,.,No value available
1987-06-29,.,No value available
1987-06-30,805.20,
1987-07-01,.,No value available
1987-07-02,.,No value available
1987-07-03,.,No value available
1987-07-04,.,No value available
1987-07-05,.,No value available
1987-07-06,.,No value available
1987-07-07,.,No value available
1987-07-08,.,No value available
1987-07-09,.,No value available
1987-07-10,.,No value available
1987-07-11,.,No value available
1987-07-12,.,No value available
1987-07-13,.,No value available
1987-07-14,.,No value available
1987-07-15,804.30,
1987-07-16,.,No value available
1987-07-17,.,No value available
1987-07-18,.,No value available
1987-07-19,.,No value available
1987-07-20,.,No value available
1987-07-21,.,No value available
1987-07-22,.,No value available
1987-07-23,.,No value available
1987-07-24,.,No value available
1987-07-25,.,No value available
1987-07-26,.,No value available
1987-07-27,.,No value available
1987-07-28,.,No value available
1987-07-29,.,No value available
1987-07-30,.,No value available
1987-07-31,804.30,
1987-08-01,.,No value available
1987-08-02,.,No value available
1987-08-03,.,No value available
1987-08-04,.,No value available
1987-08-05,.,No value available
1987-08-06,.,No value available
1987-08-07,.,No value available
1987-08-08,.,No value available
1987-08-09,.,No value available
1987-08-10,.,No value available
1987-08-11,.,No value available
1987-08-12,.,No value available
1987-08-13,.,No value available
1987-08-14,804.90,
1987-08-15,.,No value available
1987-08-16,.,No value available
1987-08-17,.,No value available
1987-08-18,.,No value available
1987-08-19,.,No value available
1987-08-20,.,No value available
1987-08-21,.,No value available
1987-08-22,.,No value available
1987-08-23,.,No value available
1987-08-24,.,No value available
1987-08-25,.,No value available
1987-08-26,.,No value available
1987-08-27,.,No value available
1987-08-28,.,No value available
1987-08-29,804.00,
1987-08-30,.,No value available
1987-08-31,.,No value available
1987-09-01,.,No value available
1987-09-02,.,No value available
1987-09-03,.,No value available
1987-09-04,.,No value available
1987-09-05,.,No value available
1987-09-06,.,No value available
1987-09-07,.,No value available
1987-09-08,.,No value available
1987-09-09,.,No value available
1987-09-10,.,No value available
1987-09-11,.,No value available
1987-09-12,.,No value available
1987-09-13,.,No value available
1987-09-14,.,No value available
1987-09-15,803.00,
1987-09-16,.,No value available
1987-09-17,.,No value available
1987-09-18,.,No value available
1987-09-19,.,No value available
1987-09-20,.,No value available
1987-09-21,.,No value available
1987-09-22,.,No value available
1987-09-23,.,No value available
1987-09-24,.,No value available
1987-09-25,.,No value available
1987-09-26,.,No value available
1987-09-27,.,No value available
1987-09-28,.,No value available
1987-09-29,.,No value available
1987-09-30,802.10,
1987-10-01,.,No value available
1987-10-02,.,No value available
1987-10-03,.,No value available
1987-10-04,.,No value available
1987-10-05,.,No value available
1987-10-06,.,No value available
1987-10-07,.,No value available
1987-10-08,.,No value available
1987-10-09,.,No value available
1987-10-10,.,No value available
1987-10-11,.,No value available
1987-10-12,.,No value available
1987-10-13,.,No value available
1987-10-14,.,No value available
1987-10-15,801.60,
1987-10-16,.,No value available
1987-10-17,.,No value available
1987-10-18,.,No value available
1987-10-19,.,No value available
1987-10-20,.,No value available
1987-10-21,.,No value available
1987-10-22,.,No value available
1987-10-23,.,No value available
1987-10-24,.,No value available
1987-10-25,.,No value available
1987-10-26,.,No value available
1987-10-27,.,No value available
1987-10-28,.,No value available
1987-10-29,.,No value available
1987-10-30,.,No value available
1987-10-31,797.70,
1987-11-01,.,No value available
1987-11-02,.,No value available
1987-11-03,.,No value available
1987-11-04,.,No value available
1987-11-05,.,No value available
1987-11-06,.,No value available
1987-11-07,.,No value available
1987-11-08,.,No value available
1987-11-09,.,No value available
1987-11-10,.,No value available
1987-11-11,.,No value available
1987-11-12,.,No value available
1987-11-13,.,No value available
1987-11-14,795.20,
1987-11-15,.,No value available
1987-11-16,.,No value available
1987-11-17,.,No value available
1987-11-18,.,No value available
1987-11-19,.,No value available
1987-11-20,.,No value available
1987-11-21,.,No value available
1987-11-22,.,No value available
1987-11-23,.,No value available
1987-11-24,.,No value available
1987-11-25,.,No value available
1987-11-26,.,No value available
1987-11-27,.,No value available
1987-11-28,792.80,
1987-11-29,.,No value available
1987-11-30,.,No value available
1987-12-01,.,No value available
1987-12-02,.,No value available
1987-12-03,.,No value available
1987-12-04,.,No value available
1987-12-05,.,No value available
1987-12-06,.,No value available
1987-12-07,.,No value available
1987-12-08,.,No value available
1987-12-09,.,No value available
1987-12-10,.,No value available
1987-12-11,.,No value available
1987-12-12,.,No value available
1987-12-13,.,No value available
1987-12-14,.,No value available
1987-12-15,791.50,
1987-12-16,.,No value available
1987-12-17,.,No value available
1987-12-18,.,No value available
1987-12-19,.,No value available
1987-12-20,.,No value available
1987-12-21,.,No value available
1987-12-22,.,No value available
1987-12-23,.,No value available
1987-12-24,.,No value available
1987-12-25,.,No value available
1987-12-26,.,No value available
1987-12-27,.,No value available
1987-12-28,.,No value available
1987-12-29,.,No value available
1987-12-30,.,No value available
1987-12-31,788.70,
1988-01-01,.,No value available
1988-01-02,.,No value available
1988-01-03,.,No value available
1988-01-04,787.90,
1988-01-05,788.00,
1988-01-06,788.10,
1988-01-07,788.20,
1988-01-08,788.30,
1988-01-09,787.50,
1988-01-10,.,No value available
1988-01-11,.,No value available
1988-01-12,786.70,
1988-01-13,785.90,
1988-01-14,784.70,
1988-01-15,783.90,
1988-01-16,784.00,
1988-01-17,.,No value available
1988-01-18,.,No value available
1988-01-19,784.10,
1988-01-20,782.90,
1988-01-21,781.70,
1988-01-22,780.90,
1988-01-23,781.00,
1988-01-24,.,No value available
1988-01-25,.,No value available
1988-01-26,781.10,
1988-01-27,780.30,
1988-01-28,779.10,
1988-01-29,777.90,
1988-01-30,778.00,
1988-01-31,.,No value available
1988-02-01,.,No value available
1988-02-02,778.10,
1988-02-03,776.90,
1988-02-04,776.10,
1988-02-05,776.20,
1988-02-06,776.30,
1988-02-07,.,No value available
1988-02-08,.,No value available
1988-02-09,776.40,
1988-02-10,774.70,
1988-02-11,773.10,
1988-02-12,771.40,
1988-02-13,771.50,
1988-02-14,.,No value available
1988-02-15,.,No value available
1988-02-16,769.80,
1988-02-17,768.10,
1988-02-18,.,No value available
1988-02-19,766.40,
1988-02-20,764.70,
1988-02-21,.,No value available
1988-02-22,.,No value available
1988-02-23,762.80,
1988-02-24,760.90,
1988-02-25,.,No value available
1988-02-26,759.20,
1988-02-27,757.30,
1988-02-28,.,No value available
1988-02-29,.,No value available
1988-03-01,.,No value available
1988-03-02,757.40,
1988-03-03,757.50,
1988-03-04,757.60,
1988-03-05,756.70,
1988-03-06,.,No value available
1988-03-07,.,No value available
1988-03-08,755.20,
1988-03-09,753.70,
1988-03-10,.,No value available
1988-03-11,752.80,
1988-03-12,751.40,
1988-03-13,.,No value available
1988-03-14,.,No value available
1988-03-15,750.50,
1988-03-16,750.60,
1988-03-17,749.70,
1988-03-18,749.80,
1988-03-19,748.90,
1988-03-20,.,No value available
1988-03-21,.,No value available
1988-03-22,747.40,
1988-03-23,747.40,
1988-03-24,746.50,
1988-03-25,745.00,
1988-03-26,744.10,
1988-03-27,.,No value available
1988-03-28,.,No value available
1988-03-29,742.60,
1988-03-30,742.70,
1988-03-31,742.80,
1988-04-01,741.30,
1988-04-02,739.80,
1988-04-03,.,No value available
1988-04-04,.,No value available
1988-04-05,.,No value available
1988-04-06,739.90,
1988-04-07,740.00,
1988-04-08,740.10,
1988-04-09,739.40,
1988-04-10,.,No value available
1988-04-11,.,No value available
1988-04-12,739.50,
1988-04-13,739.60,
1988-04-14,739.70,
1988-04-15,738.50,
1988-04-16,737.30,
1988-04-17,.,No value available
1988-04-18,.,No value available
1988-04-19,737.40,
1988-04-20,737.50,
1988-04-21,736.80,
1988-04-22,736.90,
1988-04-23,737.00,
1988-04-24,.,No value available
1988-04-25,.,No value available
1988-04-26,.,No value available
1988-04-27,737.10,
1988-04-28,737.20,
1988-04-29,736.50,
1988-04-30,.,No value available
1988-05-01,.,No value available
1988-05-02,736.60,
1988-05-03,736.70,
1988-05-04,736.80,
1988-05-05,.,No value available
1988-05-06,735.90,
1988-05-07,.,No value available
1988-05-08,.,No value available
1988-05-09,735.00,
1988-05-10,734.10,
1988-05-11,733.20,
1988-05-12,.,No value available
1988-05-13,732.40,
1988-05-14,731.50,
1988-05-15,.,No value available
1988-05-16,.,No value available
1988-05-17,731.60,
1988-05-18,731.70,
1988-05-19,731.80,
1988-05-20,730.90,
1988-05-21,.,No value available
1988-05-22,.,No value available
1988-05-23,.,No value available
1988-05-24,730.10,
1988-05-25,729.30,
1988-05-26,729.40,
1988-05-27,729.50,
1988-05-28,.,No value available
1988-05-29,.,No value available
1988-05-30,729.60,
1988-05-31,729.60,
1988-06-01,729.70,
1988-06-02,726.60,
1988-06-03,729.90,
1988-06-04,729.00,
1988-06-05,.,No value available
1988-06-06,.,No value available
1988-06-07,728.10,
1988-06-08,726.60,
1988-06-09,726.00,
1988-06-10,725.30,
1988-06-11,.,No value available
1988-06-12,.,No value available
1988-06-13,725.30,
1988-06-14,725.40,
1988-06-15,725.50,
1988-06-16,725.60,
1988-06-17,.,No value available
1988-06-18,725.00,
1988-06-19,.,No value available
1988-06-20,.,No value available
1988-06-21,725.10,
1988-06-22,725.20,
1988-06-23,725.30,
1988-06-24,725.40,
1988-06-25,725.50,
1988-06-26,.,No value available
1988-06-27,.,No value available
1988-06-28,725.60,
1988-06-29,724.90,
1988-06-30,725.00,
1988-07-01,725.40,
1988-07-02,725.50,
1988-07-03,.,No value available
1988-07-04,.,No value available
1988-07-05,725.60,
1988-07-06,724.80,
1988-07-07,724.00,
1988-07-08,723.20,
1988-07-09,723.30,
1988-07-10,.,No value available
1988-07-11,.,No value available
1988-07-12,723.40,
1988-07-13,722.70,
1988-07-14,722.80,
1988-07-15,722.90,
1988-07-16,723.00,
1988-07-17,.,No value available
1988-07-18,.,No value available
1988-07-19,723.10,
1988-07-20,722.30,
1988-07-21,721.90,
1988-07-22,721.40,
1988-07-23,720.90,
1988-07-24,.,No value available
1988-07-25,.,No value available
1988-07-26,721.00,
1988-07-27,721.10,
1988-07-28,721.20,
1988-07-29,720.80,
1988-07-30,720.90,
1988-07-31,.,No value available
1988-08-01,.,No value available
1988-08-02,720.50,
1988-08-03,720.20,
1988-08-04,720.30,
1988-08-05,720.40,
1988-08-06,720.50,
1988-08-07,.,No value available
1988-08-08,.,No value available
1988-08-09,720.60,
1988-08-10,720.70,
1988-08-11,720.80,
1988-08-12,720.30,
1988-08-13,719.80,
1988-08-14,.,No value available
1988-08-15,.,No value available
1988-08-16,719.90,
1988-08-17,720.00,
1988-08-18,720.10,
1988-08-19,719.80,
1988-08-20,719.50,
1988-08-21,.,No value available
1988-08-22,.,No value available
1988-08-23,719.60,
1988-08-24,719.70,
1988-08-25,719.30,
1988-08-26,718.80,
1988-08-27,718.90,
1988-08-28,.,No value available
1988-08-29,.,No value available
1988-08-30,719.00,
1988-08-31,719.10,
1988-09-01,719.20,
1988-09-02,719.20,
1988-09-03,718.90,
1988-09-04,.,No value available
1988-09-05,.,No value available
1988-09-06,718.40,
1988-09-07,717.90,
1988-09-08,717.40,
1988-09-09,717.50,
1988-09-10,717.10,
1988-09-11,.,No value available
1988-09-12,.,No value available
1988-09-13,717.20,
1988-09-14,716.90,
1988-09-15,717.00,
1988-09-16,717.10,
1988-09-17,.,No value available
1988-09-18,.,No value available
1988-09-19,717.10,
1988-09-20,716.70,
1988-09-21,716.80,
1988-09-22,716.90,
1988-09-23,717.00,
1988-09-24,716.70,
1988-09-25,.,No value available
1988-09-26,.,No value available
1988-09-27,716.80,
1988-09-28,716.50,
1988-09-29,716.00,
1988-09-30,716.10,
1988-10-01,.,No value available
1988-10-02,.,No value available
1988-10-03,.,No value available
1988-10-04,715.60,
1988-10-05,715.10,
1988-10-06,715.20,
1988-10-07,714.30,
1988-10-08,713.40,
1988-10-09,.,No value available
1988-10-10,.,No value available
1988-10-11,711.90,
1988-10-12,710.40,
1988-10-13,708.90,
1988-10-14,707.40,
1988-10-15,705.90,
1988-10-16,.,No value available
1988-10-17,.,No value available
1988-10-18,705.00,
1988-10-19,705.10,
1988-10-20,704.20,
1988-10-21,702.70,
1988-10-22,701.20,
1988-10-23,.,No value available
1988-10-24,.,No value available
1988-10-25,701.30,
1988-10-26,701.40,
1988-10-27,699.90,
1988-10-28,698.40,
1988-10-29,698.50,
1988-10-30,.,No value available
1988-10-31,.,No value available
1988-11-01,697.10,
1988-11-02,697.20,
1988-11-03,695.70,
1988-11-04,694.80,
1988-11-05,.,No value available
1988-11-06,.,No value available
1988-11-07,694.90,
1988-11-08,694.00,
1988-11-09,694.10,
1988-11-10,692.60,
1988-11-11,691.10,
1988-11-12,.,No value available
1988-11-13,.,No value available
1988-11-14,690.30,
1988-11-15,690.40,
1988-11-16,.,No value available
1988-11-17,688.80,
1988-11-18,688.00,
1988-11-19,.,No value available
1988-11-20,.,No value available
1988-11-21,688.10,
1988-11-22,687.30,
1988-11-23,686.50,
1988-11-24,685.90,
1988-11-25,685.10,
1988-11-26,.,No value available
1988-11-27,.,No value available
1988-11-28,685.20,
1988-11-29,685.30,
1988-11-30,684.70,
1988-12-01,684.20,
1988-12-02,683.60,
1988-12-03,.,No value available
1988-12-04,.,No value available
1988-12-05,683.10,
1988-12-06,682.50,
1988-12-07,682.60,
1988-12-08,682.70,
1988-12-09,682.20,
1988-12-10,.,No value available
1988-12-11,.,No value available
1988-12-12,681.90,
1988-12-13,682.00,
1988-12-14,682.10,
1988-12-15,681.80,
1988-12-16,681.90,
1988-12-17,.,No value available
1988-12-18,.,No value available
1988-12-19,682.00,
1988-12-20,682.10,
1988-12-21,682.20,
1988-12-22,681.70,
1988-12-23,681.80,
1988-12-24,.,No value available
1988-12-25,.,No value available
1988-12-26,.,No value available
1988-12-27,681.90,
1988-12-28,682.00,
1988-12-29,682.10,
1988-12-30,681.80,
1988-12-31,681.30,
1989-01-01,.,No value available
1989-01-02,.,No value available
1989-01-03,.,No value available
1989-01-04,680.80,
1989-01-05,680.90,
1989-01-06,681.00,
1989-01-07,.,No value available
1989-01-08,.,No value available
1989-01-09,681.10,
1989-01-10,681.20,
1989-01-11,681.20,
1989-01-12,680.90,
1989-01-13,680.20,
1989-01-14,.,No value available
1989-01-15,.,No value available
1989-01-16,680.30,
1989-01-17,680.40,
1989-01-18,679.70,
1989-01-19,679.80,
1989-01-20,679.90,
1989-01-21,.,No value available
1989-01-22,.,No value available
1989-01-23,679.00,
1989-01-24,678.30,
1989-01-25,677.40,
1989-01-26,677.50,
1989-01-27,677.60,
1989-01-28,.,No value available
1989-01-29,.,No value available
1989-01-30,677.70,
1989-01-31,677.80,
1989-02-01,677.90,
1989-02-02,678.00,
1989-02-03,677.30,
1989-02-04,677.40,
1989-02-05,.,No value available
1989-02-06,.,No value available
1989-02-07,.,No value available
1989-02-08,677.50,
1989-02-09,676.80,
1989-02-10,675.90,
1989-02-11,.,No value available
1989-02-12,.,No value available
1989-02-13,675.00,
1989-02-14,675.10,
1989-02-15,674.20,
1989-02-16,673.30,
1989-02-17,673.40,
1989-02-18,.,No value available
1989-02-19,.,No value available
1989-02-20,672.50,
1989-02-21,672.60,
1989-02-22,672.70,
1989-02-23,671.90,
1989-02-24,671.00,
1989-02-25,.,No value available
1989-02-26,.,No value available
1989-02-27,671.10,
1989-02-28,670.40,
1989-03-01,.,No value available
1989-03-02,670.50,
1989-03-03,670.60,
1989-03-04,.,No value available
1989-03-05,.,No value available
1989-03-06,669.90,
1989-03-07,670.00,
1989-03-08,670.10,
1989-03-09,670.20,
1989-03-10,.,No value available
1989-03-11,.,No value available
1989-03-12,.,No value available
1989-03-13,670.30,
1989-03-14,670.40,
1989-03-15,670.30,
1989-03-16,670.40,
1989-03-17,670.50,
1989-03-18,.,No value available
1989-03-19,.,No value available
1989-03-20,670.60,
1989-03-21,670.70,
1989-03-22,670.60,
1989-03-23,670.50,
1989-03-24,.,No value available
1989-03-25,.,No value available
1989-03-26,.,No value available
1989-03-27,.,No value available
1989-03-28,670.20,
1989-03-29,670.30,
1989-03-30,670.40,
1989-03-31,669.20,
1989-04-01,.,No value available
1989-04-02,.,No value available
1989-04-03,668.30,
1989-04-04,667.10,
1989-04-05,.,No value available
1989-04-06,665.90,
1989-04-07,665.00,
1989-04-08,.,No value available
1989-04-09,.,No value available
1989-04-10,664.70,
1989-04-11,664.80,
1989-04-12,664.80,
1989-04-13,664.90,
1989-04-14,664.60,
1989-04-15,.,No value available
1989-04-16,.,No value available
1989-04-17,664.70,
1989-04-18,664.20,
1989-04-19,663.90,
1989-04-20,664.00,
1989-04-21,663.50,
1989-04-22,.,No value available
1989-04-23,.,No value available
1989-04-24,663.20,
1989-04-25,663.30,
1989-04-26,663.40,
1989-04-27,663.50,
1989-04-28,663.50,
1989-04-29,.,No value available
1989-04-30,.,No value available
1989-05-01,.,No value available
1989-05-02,663.70,
1989-05-03,663.70,
1989-05-04,663.70,
1989-05-05,.,No value available
1989-05-06,.,No value available
1989-05-07,.,No value available
1989-05-08,663.70,
1989-05-09,663.70,
1989-05-10,663.70,
1989-05-11,663.70,
1989-05-12,.,No value available
1989-05-13,.,No value available
1989-05-14,.,No value available
1989-05-15,663.80,
1989-05-16,663.90,
1989-05-17,663.80,
1989-05-18,663.90,
1989-05-19,664.00,
1989-05-20,.,No value available
1989-05-21,.,No value available
1989-05-22,664.00,
1989-05-23,664.10,
1989-05-24,664.10,
1989-05-25,.,No value available
1989-05-26,664.00,
1989-05-27,.,No value available
1989-05-28,.,No value available
1989-05-29,663.90,
1989-05-30,663.90,
1989-05-31,664.00,
1989-06-01,663.90,
1989-06-02,663.90,
1989-06-03,.,No value available
1989-06-04,.,No value available
1989-06-05,663.80,
1989-06-06,.,No value available
1989-06-07,663.90,
1989-06-08,663.80,
1989-06-09,663.80,
1989-06-10,.,No value available
1989-06-11,.,No value available
1989-06-12,663.90,
1989-06-13,664.20,
1989-06-14,664.10,
1989-06-15,664.40,
1989-06-16,664.30,
1989-06-17,.,No value available
1989-06-18,.,No value available
1989-06-19,664.20,
1989-06-20,664.10,
1989-06-21,664.00,
1989-06-22,663.90,
1989-06-23,663.80,
1989-06-24,.,No value available
1989-06-25,.,No value available
1989-06-26,663.70,
1989-06-27,664.00,
1989-06-28,664.10,
1989-06-29,664.40,
1989-06-30,664.50,
1989-07-01,.,No value available
1989-07-02,.,No value available
1989-07-03,664.60,
1989-07-04,664.50,
1989-07-05,664.40,
1989-07-06,664.30,
1989-07-07,664.20,
1989-07-08,.,No value available
1989-07-09,.,No value available
1989-07-10,664.30,
1989-07-11,664.20,
1989-07-12,664.50,
1989-07-13,664.40,
1989-07-14,664.30,
1989-07-15,664.60,
1989-07-16,.,No value available
1989-07-17,.,No value available
1989-07-18,664.90,
1989-07-19,665.00,
1989-07-20,664.90,
1989-07-21,664.80,
1989-07-22,.,No value available
1989-07-23,.,No value available
1989-07-24,664.70,
1989-07-25,664.90,
1989-07-26,664.80,
1989-07-27,664.70,
1989-07-28,664.60,
1989-07-29,.,No value available
1989-07-30,.,No value available
1989-07-31,664.70,
1989-08-01,664.60,
1989-08-02,664.50,
1989-08-03,664.60,
1989-08-04,664.80,
1989-08-05,.,No value available
1989-08-06,.,No value available
1989-08-07,665.10,
1989-08-08,665.40,
1989-08-09,665.30,
1989-08-10,665.40,
1989-08-11,665.30,
1989-08-12,.,No value available
1989-08-13,.,No value available
1989-08-14,665.60,
1989-08-15,.,No value available
1989-08-16,665.90,
1989-08-17,665.80,
1989-08-18,666.10,
1989-08-19,.,No value available
1989-08-20,.,No value available
1989-08-21,666.00,
1989-08-22,666.10,
1989-08-23,666.00,
1989-08-24,666.10,
1989-08-25,666.30,
1989-08-26,.,No value available
1989-08-27,.,No value available
1989-08-28,666.40,
1989-08-29,666.50,
1989-08-30,666.40,
1989-08-31,666.50,
1989-09-01,666.80,
1989-09-02,.,No value available
1989-09-03,.,No value available
1989-09-04,667.00,
1989-09-05,667.20,
1989-09-06,667.40,
1989-09-07,667.30,
1989-09-08,667.50,
1989-09-09,.,No value available
1989-09-10,.,No value available
1989-09-11,667.60,
1989-09-12,667.70,
1989-09-13,.,No value available
1989-09-14,.,No value available
1989-09-15,.,No value available
1989-09-16,.,No value available
1989-09-17,.,No value available
1989-09-18,667.60,
1989-09-19,667.50,
1989-09-20,667.42,
1989-09-21,667.32,
1989-09-22,667.23,
1989-09-23,.,No value available
1989-09-24,.,No value available
1989-09-25,667.40,
1989-09-26,667.30,
1989-09-27,667.40,
1989-09-28,667.30,
1989-09-29,667.50,
1989-09-30,667.40,
1989-10-01,.,No value available
1989-10-02,.,No value available
1989-10-03,.,No value available
1989-10-04,667.70,
1989-10-05,667.80,
1989-10-06,668.00,
1989-10-07,668.20,
1989-10-08,.,No value available
1989-10-09,.,No value available
1989-10-10,668.30,
1989-10-11,668.60,
1989-10-12,668.90,
1989-10-13,668.80,
1989-10-14,.,No value available
1989-10-15,.,No value available
1989-10-16,668.70,
1989-10-17,668.60,
1989-10-18,668.90,
1989-10-19,668.80,
1989-10-20,668.70,
1989-10-21,.,No value available
1989-10-22,.,No value available
1989-10-23,668.90,
1989-10-24,669.00,
1989-10-25,668.90,
1989-10-26,668.80,
1989-10-27,669.00,
1989-10-28,.,No value available
1989-10-29,.,No value available
1989-10-30,669.10,
1989-10-31,669.00,
1989-11-01,669.20,
1989-11-02,669.40,
1989-11-03,669.50,
1989-11-04,.,No value available
1989-11-05,.,No value available
1989-11-06,669.40,
1989-11-07,669.60,
1989-11-08,669.50,
1989-11-09,669.40,
1989-11-10,669.50,
1989-11-11,.,No value available
1989-11-12,.,No value available
1989-11-13,669.60,
1989-11-14,669.80,
1989-11-15,669.70,
1989-11-16,669.60,
1989-11-17,669.70,
1989-11-18,.,No value available
1989-11-19,.,No value available
1989-11-20,669.80,
1989-11-21,669.90,
1989-11-22,.,No value available
1989-11-23,669.70,
1989-11-24,670.40,
1989-11-25,.,No value available
1989-11-26,.,No value available
1989-11-27,670.10,
1989-11-28,670.00,
1989-11-29,670.30,
1989-11-30,670.10,
1989-12-01,670.10,
1989-12-02,.,No value available
1989-12-03,.,No value available
1989-12-04,670.40,
1989-12-05,670.70,
1989-12-06,671.00,
1989-12-07,670.90,
1989-12-08,670.80,
1989-12-09,.,No value available
1989-12-10,.,No value available
1989-12-11,671.30,
1989-12-12,671.20,
1989-12-13,671.00,
1989-12-14,670.90,
1989-12-15,671.80,
1989-12-16,.,No value available
1989-12-17,.,No value available
1989-12-18,672.50,
1989-12-19,672.40,
1989-12-20,673.10,
1989-12-21,674.00,
1989-12-22,673.90,
1989-12-23,.,No value available
1989-12-24,.,No value available
1989-12-25,.,No value available
1989-12-26,.,No value available
1989-12-27,675.40,
1989-12-28,675.20,
1989-12-29,676.00,
1989-12-30,676.90,
1989-12-31,.,No value available
1990-01-01,.,No value available
1990-01-02,.,No value available
1990-01-03,678.10,
1990-01-04,678.80,
1990-01-05,678.30,
1990-01-06,.,No value available
1990-01-07,.,No value available
1990-01-08,678.20,
1990-01-09,678.60,
1990-01-10,679.30,
1990-01-11,679.80,
1990-01-12,680.20,
1990-01-13,.,No value available
1990-01-14,.,No value available
1990-01-15,680.60,
1990-01-16,680.30,
1990-01-17,681.20,
1990-01-18,681.10,
1990-01-19,681.80,
1990-01-20,.,No value available
1990-01-21,.,No value available
1990-01-22,682.50,
1990-01-23,683.00,
1990-01-24,682.50,
1990-01-25,682.40,
1990-01-26,.,No value available
1990-01-27,.,No value available
1990-01-28,.,No value available
1990-01-29,682.30,
1990-01-30,682.90,
1990-01-31,683.60,
1990-02-01,684.10,
1990-02-02,684.70,
1990-02-03,.,No value available
1990-02-04,.,No value available
1990-02-05,685.40,
1990-02-06,685.30,
1990-02-07,685.10,
1990-02-08,685.60,
1990-02-09,686.40,
1990-02-10,.,No value available
1990-02-11,.,No value available
1990-02-12,686.30,
1990-02-13,686.20,
1990-02-14,687.00,
1990-02-15,686.90,
1990-02-16,687.40,
1990-02-17,.,No value available
1990-02-18,.,No value available
1990-02-19,687.90,
1990-02-20,687.70,
1990-02-21,688.20,
1990-02-22,688.10,
1990-02-23,688.90,
1990-02-24,.,No value available
1990-02-25,.,No value available
1990-02-26,689.70,
1990-02-27,690.60,
1990-02-28,691.30,
1990-03-01,.,No value available
1990-03-02,691.30,
1990-03-03,.,No value available
1990-03-04,.,No value available
1990-03-05,690.50,
1990-03-06,692.00,
1990-03-07,692.90,
1990-03-08,694.20,
1990-03-09,695.40,
1990-03-10,.,No value available
1990-03-11,.,No value available
1990-03-12,695.70,
1990-03-13,696.00,
1990-03-14,695.90,
1990-03-15,695.50,
1990-03-16,694.50,
1990-03-17,.,No value available
1990-03-18,.,No value available
1990-03-19,693.60,
1990-03-20,694.30,
1990-03-21,694.70,
1990-03-22,695.10,
1990-03-23,695.50,
1990-03-24,.,No value available
1990-03-25,.,No value available
1990-03-26,696.80,
1990-03-27,698.20,
1990-03-28,698.50,
1990-03-29,697.50,
1990-03-30,698.10,
1990-03-31,.,No value available
1990-04-01,.,No value available
1990-04-02,699.30,
1990-04-03,701.00,
1990-04-04,702.80,
1990-04-05,.,No value available
1990-04-06,703.40,
1990-04-07,.,No value available
1990-04-08,.,No value available
1990-04-09,703.80,
1990-04-10,704.10,
1990-04-11,704.20,
1990-04-12,703.40,
1990-04-13,.,No value available
1990-04-14,.,No value available
1990-04-15,.,No value available
1990-04-16,.,No value available
1990-04-17,704.10,
1990-04-18,704.30,
1990-04-19,704.20,
1990-04-20,702.90,
1990-04-21,702.30,
1990-04-22,.,No value available
1990-04-23,702.30,
1990-04-24,702.30,
1990-04-25,702.80,
1990-04-26,703.40,
1990-04-27,703.80,
1990-04-28,704.20,
1990-04-29,.,No value available
1990-04-30,704.20,
1990-05-01,703.60,
1990-05-02,.,No value available
1990-05-03,703.00,
1990-05-04,702.70,
1990-05-05,.,No value available
1990-05-06,.,No value available
1990-05-07,703.00,
1990-05-08,704.50,
1990-05-09,705.10,
1990-05-10,704.70,
1990-05-11,704.80,
1990-05-12,704.90,
1990-05-13,.,No value available
1990-05-14,704.90,
1990-05-15,705.30,
1990-05-16,705.70,
1990-05-17,706.10,
1990-05-18,706.40,
1990-05-19,707.20,
1990-05-20,.,No value available
1990-05-21,707.20,
1990-05-22,708.90,
1990-05-23,709.20,
1990-05-24,708.70,
1990-05-25,709.00,
1990-05-26,709.10,
1990-05-27,.,No value available
1990-05-28,709.10,
