"",BBEX3.D.ISK.EUR.BB.AC.000,BBEX3.D.ISK.EUR.BB.AC.000_FLAGS
2005-03-05,.,No value available
2005-03-06,.,No value available
2005-03-07,79.80,
2005-03-08,79.39,
2005-03-09,79.14,
2005-03-10,79.14,
2005-03-11,79.27,
2005-03-12,.,No value available
2005-03-13,.,No value available
2005-03-14,79.01,
2005-03-15,78.58,
2005-03-16,78.71,
2005-03-17,78.24,
2005-03-18,78.08,
2005-03-19,.,No value available
2005-03-20,.,No value available
2005-03-21,77.49,
2005-03-22,78.65,
2005-03-23,79.77,
2005-03-24,79.68,
2005-03-25,.,No value available
2005-03-26,.,No value available
2005-03-27,.,No value available
2005-03-28,.,No value available
2005-03-29,79.43,
2005-03-30,79.33,
2005-03-31,78.64,
2005-04-01,78.59,
2005-04-02,.,No value available
2005-04-03,.,No value available
2005-04-04,78.43,
2005-04-05,78.32,
2005-04-06,78.76,
2005-04-07,78.94,
2005-04-08,78.72,
2005-04-09,.,No value available
2005-04-10,.,No value available
2005-04-11,79.51,
2005-04-12,80.47,
2005-04-13,81.60,
2005-04-14,81.17,
2005-04-15,80.97,
2005-04-16,.,No value available
2005-04-17,.,No value available
2005-04-18,81.78,
2005-04-19,81.88,
2005-04-20,81.62,
2005-04-21,81.75,
2005-04-22,81.46,
2005-04-23,.,No value available
2005-04-24,.,No value available
2005-04-25,82.09,
2005-04-26,82.46,
2005-04-27,82.36,
2005-04-28,82.30,
2005-04-29,81.67,
2005-04-30,.,No value available
2005-05-01,.,No value available
2005-05-02,81.20,
2005-05-03,82.24,
2005-05-04,82.95,
2005-05-05,83.14,
2005-05-06,83.07,
2005-05-07,.,No value available
2005-05-08,.,No value available
2005-05-09,82.84,
2005-05-10,83.21,
2005-05-11,83.49,
2005-05-12,84.29,
2005-05-13,84.25,
2005-05-14,.,No value available
2005-05-15,.,No value available
2005-05-16,84.25,
2005-05-17,83.29,
2005-05-18,82.94,
2005-05-19,82.13,
2005-05-20,81.96,
2005-05-21,.,No value available
2005-05-22,.,No value available
2005-05-23,81.93,
2005-05-24,81.03,
2005-05-25,81.11,
2005-05-26,81.02,
2005-05-27,81.13,
2005-05-28,.,No value available
2005-05-29,.,No value available
2005-05-30,80.56,
2005-05-31,79.81,
2005-06-01,79.14,
2005-06-02,79.77,
2005-06-03,80.66,
2005-06-04,.,No value available
2005-06-05,.,No value available
2005-06-06,79.38,
2005-06-07,78.56,
2005-06-08,78.54,
2005-06-09,78.73,
2005-06-10,78.80,
2005-06-11,.,No value available
2005-06-12,.,No value available
2005-06-13,79.14,
2005-06-14,79.66,
2005-06-15,79.79,
2005-06-16,79.07,
2005-06-17,79.31,
2005-06-18,.,No value available
2005-06-19,.,No value available
2005-06-20,79.64,
2005-06-21,79.71,
2005-06-22,79.54,
2005-06-23,79.85,
2005-06-24,79.67,
2005-06-25,.,No value available
2005-06-26,.,No value available
2005-06-27,78.94,
2005-06-28,78.98,
2005-06-29,78.99,
2005-06-30,78.71,
2005-07-01,78.76,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,78.18,
2005-07-05,78.47,
2005-07-06,78.27,
2005-07-07,78.57,
2005-07-08,78.51,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,78.76,
2005-07-12,78.89,
2005-07-13,78.94,
2005-07-14,78.70,
2005-07-15,78.54,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,78.65,
2005-07-19,78.27,
2005-07-20,78.48,
2005-07-21,78.43,
2005-07-22,78.50,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,78.04,
2005-07-26,77.76,
2005-07-27,77.51,
2005-07-28,77.82,
2005-07-29,78.32,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,78.66,
2005-08-02,78.36,
2005-08-03,78.05,
2005-08-04,78.14,
2005-08-05,78.48,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,78.86,
2005-08-09,79.69,
2005-08-10,79.47,
2005-08-11,79.48,
2005-08-12,79.02,
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,78.69,
2005-08-16,78.70,
2005-08-17,78.63,
2005-08-18,78.18,
2005-08-19,78.11,
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,78.01,
2005-08-23,77.93,
2005-08-24,78.14,
2005-08-25,77.89,
2005-08-26,78.06,
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,77.56,
2005-08-30,77.40,
2005-08-31,76.95,
2005-09-01,76.98,
2005-09-02,76.77,
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,76.99,
2005-09-06,77.18,
2005-09-07,77.21,
2005-09-08,77.74,
2005-09-09,77.97,
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,77.19,
2005-09-13,76.48,
2005-09-14,76.57,
2005-09-15,76.10,
2005-09-16,75.83,
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,75.40,
2005-09-20,75.01,
2005-09-21,75.08,
2005-09-22,74.99,
2005-09-23,75.20,
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,75.46,
2005-09-27,75.49,
2005-09-28,75.89,
2005-09-29,75.72,
2005-09-30,74.12,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,73.53,
2005-10-04,73.48,
2005-10-05,73.22,
2005-10-06,74.02,
2005-10-07,74.80,
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,74.34,
2005-10-11,73.71,
2005-10-12,73.59,
2005-10-13,73.84,
2005-10-14,73.28,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,73.35,
2005-10-18,72.98,
2005-10-19,72.85,
2005-10-20,72.09,
2005-10-21,72.25,
2005-10-22,.,No value available
2005-10-23,.,No value available
2005-10-24,72.16,
2005-10-25,72.43,
2005-10-26,72.70,
2005-10-27,73.25,
2005-10-28,73.56,
2005-10-29,.,No value available
2005-10-30,.,No value available
2005-10-31,73.69,
2005-11-01,72.34,
2005-11-02,71.67,
2005-11-03,71.98,
2005-11-04,72.00,
2005-11-05,.,No value available
2005-11-06,.,No value available
2005-11-07,71.46,
2005-11-08,71.89,
2005-11-09,72.47,
2005-11-10,72.74,
2005-11-11,72.53,
2005-11-12,.,No value available
2005-11-13,.,No value available
2005-11-14,72.85,
2005-11-15,72.80,
2005-11-16,72.48,
2005-11-17,72.40,
2005-11-18,72.48,
2005-11-19,.,No value available
2005-11-20,.,No value available
2005-11-21,73.17,
2005-11-22,73.82,
2005-11-23,74.23,
2005-11-24,74.37,
2005-11-25,74.21,
2005-11-26,.,No value available
2005-11-27,.,No value available
2005-11-28,74.45,
2005-11-29,74.77,
2005-11-30,74.39,
2005-12-01,74.40,
2005-12-02,74.73,
2005-12-03,.,No value available
2005-12-04,.,No value available
2005-12-05,75.62,
2005-12-06,76.26,
2005-12-07,76.04,
2005-12-08,76.08,
2005-12-09,75.49,
2005-12-10,.,No value available
2005-12-11,.,No value available
2005-12-12,75.32,
2005-12-13,75.23,
2005-12-14,74.82,
2005-12-15,74.81,
2005-12-16,74.67,
2005-12-17,.,No value available
2005-12-18,.,No value available
2005-12-19,75.49,
2005-12-20,75.61,
2005-12-21,75.42,
2005-12-22,75.72,
2005-12-23,75.58,
2005-12-24,.,No value available
2005-12-25,.,No value available
2005-12-26,.,No value available
2005-12-27,75.45,
2005-12-28,75.83,
2005-12-29,75.34,
2005-12-30,74.57,
2005-12-31,.,No value available
2006-01-01,.,No value available
2006-01-02,74.64,
2006-01-03,74.40,
2006-01-04,74.72,
2006-01-05,74.85,
2006-01-06,74.15,
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,73.75,
2006-01-10,73.92,
2006-01-11,74.03,
2006-01-12,73.81,
2006-01-13,74.01,
2006-01-14,.,No value available
2006-01-15,.,No value available
2006-01-16,74.14,
2006-01-17,74.10,
2006-01-18,74.61,
2006-01-19,74.80,
2006-01-20,74.41,
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,75.06,
2006-01-24,75.35,
2006-01-25,75.13,
2006-01-26,74.86,
2006-01-27,75.29,
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,75.04,
2006-01-31,75.73,
2006-02-01,76.00,
2006-02-02,76.34,
2006-02-03,75.96,
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,75.57,
2006-02-07,75.09,
2006-02-08,74.97,
2006-02-09,75.26,
2006-02-10,75.74,
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,76.02,
2006-02-14,76.04,
2006-02-15,75.92,
2006-02-16,75.66,
2006-02-17,75.42,
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,75.42,
2006-02-21,77.02,
2006-02-22,80.48,
2006-02-23,79.32,
2006-02-24,78.82,
2006-02-25,.,No value available
2006-02-26,.,No value available
2006-02-27,78.62,
2006-02-28,77.78,
2006-03-01,77.33,
2006-03-02,78.78,
2006-03-03,79.11,
2006-03-04,.,No value available
2006-03-05,.,No value available
2006-03-06,79.51,
2006-03-07,79.53,
2006-03-08,82.13,
2006-03-09,82.67,
2006-03-10,83.97,
2006-03-11,.,No value available
2006-03-12,.,No value available
2006-03-13,85.82,
2006-03-14,84.08,
2006-03-15,84.25,
2006-03-16,83.83,
2006-03-17,83.98,
2006-03-18,.,No value available
2006-03-19,.,No value available
2006-03-20,84.70,
2006-03-21,85.18,
2006-03-22,86.51,
2006-03-23,86.06,
2006-03-24,87.80,
2006-03-25,.,No value available
2006-03-26,.,No value available
2006-03-27,86.84,
2006-03-28,86.56,
2006-03-29,86.11,
2006-03-30,85.14,
2006-03-31,86.06,
2006-04-01,.,No value available
2006-04-02,.,No value available
2006-04-03,87.73,
2006-04-04,88.04,
2006-04-05,88.90,
2006-04-06,89.53,
2006-04-07,88.45,
2006-04-08,.,No value available
2006-04-09,.,No value available
2006-04-10,88.93,
2006-04-11,89.74,
2006-04-12,92.37,
2006-04-13,92.25,
2006-04-14,.,No value available
2006-04-15,.,No value available
2006-04-16,.,No value available
2006-04-17,.,No value available
2006-04-18,93.15,
2006-04-19,95.95,
2006-04-20,97.51,
2006-04-21,95.83,
2006-04-22,.,No value available
2006-04-23,.,No value available
2006-04-24,94.84,
2006-04-25,92.00,
2006-04-26,92.87,
2006-04-27,93.03,
2006-04-28,93.81,
2006-04-29,.,No value available
2006-04-30,.,No value available
2006-05-01,.,No value available
2006-05-02,93.97,
2006-05-03,93.83,
2006-05-04,90.95,
2006-05-05,91.18,
2006-05-06,.,No value available
2006-05-07,.,No value available
2006-05-08,91.10,
2006-05-09,89.12,
2006-05-10,89.94,
2006-05-11,89.52,
2006-05-12,91.23,
2006-05-13,.,No value available
2006-05-14,.,No value available
2006-05-15,91.41,
2006-05-16,91.13,
2006-05-17,89.89,
2006-05-18,91.44,
2006-05-19,91.15,
2006-05-20,.,No value available
2006-05-21,.,No value available
2006-05-22,91.74,
2006-05-23,92.92,
2006-05-24,93.34,
2006-05-25,93.07,
2006-05-26,92.81,
2006-05-27,.,No value available
2006-05-28,.,No value available
2006-05-29,92.58,
2006-05-30,92.61,
2006-05-31,92.33,
2006-06-01,92.34,
2006-06-02,91.74,
2006-06-03,.,No value available
2006-06-04,.,No value available
2006-06-05,92.01,
2006-06-06,93.82,
2006-06-07,93.77,
2006-06-08,93.52,
2006-06-09,93.43,
2006-06-10,.,No value available
2006-06-11,.,No value available
2006-06-12,93.48,
2006-06-13,94.19,
2006-06-14,95.29,
2006-06-15,95.02,
2006-06-16,94.92,
2006-06-17,.,No value available
2006-06-18,.,No value available
2006-06-19,94.43,
2006-06-20,93.92,
2006-06-21,94.21,
2006-06-22,94.62,
2006-06-23,95.45,
2006-06-24,.,No value available
2006-06-25,.,No value available
2006-06-26,95.05,
2006-06-27,95.45,
2006-06-28,96.16,
2006-06-29,96.45,
2006-06-30,97.01,
2006-07-01,.,No value available
2006-07-02,.,No value available
2006-07-03,96.56,
2006-07-04,96.15,
2006-07-05,95.98,
2006-07-06,96.58,
2006-07-07,96.56,
2006-07-08,.,No value available
2006-07-09,.,No value available
2006-07-10,96.39,
2006-07-11,94.78,
2006-07-12,94.55,
2006-07-13,94.52,
2006-07-14,94.94,
2006-07-15,.,No value available
2006-07-16,.,No value available
2006-07-17,94.69,
2006-07-18,94.90,
2006-07-19,93.52,
2006-07-20,92.75,
2006-07-21,93.18,
2006-07-22,.,No value available
2006-07-23,.,No value available
2006-07-24,93.48,
2006-07-25,92.46,
2006-07-26,91.54,
2006-07-27,91.81,
2006-07-28,92.69,
2006-07-29,.,No value available
2006-07-30,.,No value available
2006-07-31,92.92,
2006-08-01,92.51,
2006-08-02,91.28,
2006-08-03,90.25,
2006-08-04,90.29,
2006-08-05,.,No value available
2006-08-06,.,No value available
2006-08-07,90.40,
2006-08-08,91.19,
2006-08-09,90.91,
2006-08-10,90.69,
2006-08-11,90.41,
2006-08-12,.,No value available
2006-08-13,.,No value available
2006-08-14,90.44,
2006-08-15,90.41,
2006-08-16,89.42,
2006-08-17,88.64,
2006-08-18,88.90,
2006-08-19,.,No value available
2006-08-20,.,No value available
2006-08-21,90.10,
2006-08-22,89.85,
2006-08-23,90.08,
2006-08-24,89.97,
2006-08-25,89.36,
2006-08-26,.,No value available
2006-08-27,.,No value available
2006-08-28,89.55,
2006-08-29,89.47,
2006-08-30,88.87,
2006-08-31,88.92,
2006-09-01,88.22,
2006-09-02,.,No value available
2006-09-03,.,No value available
2006-09-04,88.86,
2006-09-05,88.39,
2006-09-06,88.90,
2006-09-07,89.47,
2006-09-08,90.88,
2006-09-09,.,No value available
2006-09-10,.,No value available
2006-09-11,91.06,
2006-09-12,90.29,
2006-09-13,89.71,
2006-09-14,88.49,
2006-09-15,89.28,
2006-09-16,.,No value available
2006-09-17,.,No value available
2006-09-18,88.79,
2006-09-19,88.89,
2006-09-20,89.17,
2006-09-21,89.43,
2006-09-22,90.97,
2006-09-23,.,No value available
2006-09-24,.,No value available
2006-09-25,89.49,
2006-09-26,89.05,
2006-09-27,88.77,
2006-09-28,88.75,
2006-09-29,88.67,
2006-09-30,.,No value available
2006-10-01,.,No value available
2006-10-02,89.07,
2006-10-03,88.31,
2006-10-04,87.38,
2006-10-05,86.30,
2006-10-06,86.08,
2006-10-07,.,No value available
2006-10-08,.,No value available
2006-10-09,86.49,
2006-10-10,86.08,
2006-10-11,86.04,
2006-10-12,85.87,
2006-10-13,85.67,
2006-10-14,.,No value available
2006-10-15,.,No value available
2006-10-16,84.76,
2006-10-17,85.54,
2006-10-18,85.25,
2006-10-19,85.62,
2006-10-20,86.14,
2006-10-21,.,No value available
2006-10-22,.,No value available
2006-10-23,86.42,
2006-10-24,85.69,
2006-10-25,85.71,
2006-10-26,86.03,
2006-10-27,86.57,
2006-10-28,.,No value available
2006-10-29,.,No value available
2006-10-30,86.95,
2006-10-31,86.37,
2006-11-01,86.57,
2006-11-02,86.33,
2006-11-03,86.68,
2006-11-04,.,No value available
2006-11-05,.,No value available
2006-11-06,86.55,
2006-11-07,86.92,
2006-11-08,87.25,
2006-11-09,86.88,
2006-11-10,87.09,
2006-11-11,.,No value available
2006-11-12,.,No value available
2006-11-13,88.27,
2006-11-14,89.98,
2006-11-15,90.35,
2006-11-16,89.58,
2006-11-17,89.99,
2006-11-18,.,No value available
2006-11-19,.,No value available
2006-11-20,90.61,
2006-11-21,90.57,
2006-11-22,92.60,
2006-11-23,91.78,
2006-11-24,92.02,
2006-11-25,.,No value available
2006-11-26,.,No value available
2006-11-27,91.96,
2006-11-28,91.71,
2006-11-29,90.61,
2006-11-30,90.15,
2006-12-01,89.92,
2006-12-02,.,No value available
2006-12-03,.,No value available
2006-12-04,90.42,
2006-12-05,90.65,
2006-12-06,91.74,
2006-12-07,91.85,
2006-12-08,91.79,
2006-12-09,.,No value available
2006-12-10,.,No value available
2006-12-11,92.14,
2006-12-12,91.73,
2006-12-13,91.76,
2006-12-14,91.21,
2006-12-15,90.14,
2006-12-16,.,No value available
2006-12-17,.,No value available
2006-12-18,90.06,
2006-12-19,90.75,
2006-12-20,91.45,
2006-12-21,91.57,
2006-12-22,91.89,
2006-12-23,.,No value available
2006-12-24,.,No value available
2006-12-25,.,No value available
2006-12-26,.,No value available
2006-12-27,94.47,
2006-12-28,93.60,
2006-12-29,93.13,
2006-12-30,.,No value available
2006-12-31,.,No value available
2007-01-01,.,No value available
2007-01-02,93.86,
2007-01-03,92.31,
2007-01-04,91.89,
2007-01-05,92.14,
2007-01-06,.,No value available
2007-01-07,.,No value available
2007-01-08,92.10,
2007-01-09,92.53,
2007-01-10,94.60,
2007-01-11,93.30,
2007-01-12,91.80,
2007-01-13,.,No value available
2007-01-14,.,No value available
2007-01-15,90.99,
2007-01-16,91.42,
2007-01-17,90.56,
2007-01-18,90.59,
2007-01-19,90.12,
2007-01-20,.,No value available
2007-01-21,.,No value available
2007-01-22,90.12,
2007-01-23,89.32,
2007-01-24,89.45,
2007-01-25,89.12,
2007-01-26,89.99,
2007-01-27,.,No value available
2007-01-28,.,No value available
2007-01-29,89.13,
2007-01-30,88.62,
2007-01-31,88.58,
2007-02-01,89.02,
2007-02-02,89.01,
2007-02-03,.,No value available
2007-02-04,.,No value available
2007-02-05,88.57,
2007-02-06,88.45,
2007-02-07,88.22,
2007-02-08,88.36,
2007-02-09,88.20,
2007-02-10,.,No value available
2007-02-11,.,No value available
2007-02-12,88.38,
2007-02-13,88.54,
2007-02-14,88.19,
2007-02-15,88.42,
2007-02-16,88.16,
2007-02-17,.,No value available
2007-02-18,.,No value available
2007-02-19,87.48,
2007-02-20,87.21,
2007-02-21,87.52,
2007-02-22,87.15,
2007-02-23,87.45,
2007-02-24,.,No value available
2007-02-25,.,No value available
2007-02-26,86.39,
2007-02-27,87.32,
2007-02-28,87.97,
2007-03-01,88.28,
2007-03-02,88.40,
2007-03-03,.,No value available
2007-03-04,.,No value available
2007-03-05,90.04,
2007-03-06,88.88,
2007-03-07,88.76,
2007-03-08,87.98,
2007-03-09,88.84,
2007-03-10,.,No value available
2007-03-11,.,No value available
2007-03-12,88.66,
2007-03-13,88.78,
2007-03-14,89.04,
2007-03-15,89.03,
2007-03-16,89.65,
2007-03-17,.,No value available
2007-03-18,.,No value available
2007-03-19,89.04,
2007-03-20,88.90,
2007-03-21,89.16,
2007-03-22,88.48,
2007-03-23,88.46,
2007-03-24,.,No value available
2007-03-25,.,No value available
2007-03-26,88.21,
2007-03-27,88.28,
2007-03-28,88.31,
2007-03-29,88.24,
2007-03-30,87.69,
2007-03-31,.,No value available
2007-04-01,.,No value available
2007-04-02,88.27,
2007-04-03,88.66,
2007-04-04,88.93,
2007-04-05,89.50,
2007-04-06,.,No value available
2007-04-07,.,No value available
2007-04-08,.,No value available
2007-04-09,.,No value available
2007-04-10,89.84,
2007-04-11,89.10,
2007-04-12,88.74,
2007-04-13,88.75,
2007-04-14,.,No value available
2007-04-15,.,No value available
2007-04-16,88.50,
2007-04-17,88.44,
2007-04-18,88.44,
2007-04-19,88.41,
2007-04-20,87.92,
2007-04-21,.,No value available
2007-04-22,.,No value available
2007-04-23,87.58,
2007-04-24,87.58,
2007-04-25,87.34,
2007-04-26,87.66,
2007-04-27,87.67,
2007-04-28,.,No value available
2007-04-29,.,No value available
2007-04-30,87.44,
2007-05-01,.,No value available
2007-05-02,86.91,
2007-05-03,86.67,
2007-05-04,86.52,
2007-05-05,.,No value available
2007-05-06,.,No value available
2007-05-07,86.37,
2007-05-08,86.83,
2007-05-09,86.75,
2007-05-10,86.06,
2007-05-11,86.35,
2007-05-12,.,No value available
2007-05-13,.,No value available
2007-05-14,86.23,
2007-05-15,85.94,
2007-05-16,85.41,
2007-05-17,85.16,
2007-05-18,85.36,
2007-05-19,.,No value available
2007-05-20,.,No value available
2007-05-21,85.23,
2007-05-22,83.92,
2007-05-23,82.86,
2007-05-24,83.62,
2007-05-25,83.47,
2007-05-26,.,No value available
2007-05-27,.,No value available
2007-05-28,83.30,
2007-05-29,83.46,
2007-05-30,83.27,
2007-05-31,82.94,
2007-06-01,82.50,
2007-06-02,.,No value available
2007-06-03,.,No value available
2007-06-04,84.25,
2007-06-05,85.56,
2007-06-06,84.53,
2007-06-07,84.64,
2007-06-08,85.88,
2007-06-09,.,No value available
2007-06-10,.,No value available
2007-06-11,85.15,
2007-06-12,84.72,
2007-06-13,84.49,
2007-06-14,84.12,
2007-06-15,83.59,
2007-06-16,.,No value available
2007-06-17,.,No value available
2007-06-18,83.41,
2007-06-19,83.50,
2007-06-20,83.40,
2007-06-21,84.03,
2007-06-22,83.79,
2007-06-23,.,No value available
2007-06-24,.,No value available
2007-06-25,84.36,
2007-06-26,84.58,
2007-06-27,84.64,
2007-06-28,84.10,
2007-06-29,84.26,
2007-06-30,.,No value available
2007-07-01,.,No value available
2007-07-02,84.08,
2007-07-03,84.46,
2007-07-04,84.43,
2007-07-05,83.77,
2007-07-06,83.25,
2007-07-07,.,No value available
2007-07-08,.,No value available
2007-07-09,82.75,
2007-07-10,83.21,
2007-07-11,83.40,
2007-07-12,83.23,
2007-07-13,82.92,
2007-07-14,.,No value available
2007-07-15,.,No value available
2007-07-16,82.65,
2007-07-17,82.80,
2007-07-18,82.31,
2007-07-19,82.23,
2007-07-20,82.10,
2007-07-21,.,No value available
2007-07-22,.,No value available
2007-07-23,82.38,
2007-07-24,81.68,
2007-07-25,82.20,
2007-07-26,82.79,
2007-07-27,84.36,
2007-07-28,.,No value available
2007-07-29,.,No value available
2007-07-30,84.96,
2007-07-31,83.64,
2007-08-01,85.54,
2007-08-02,85.73,
2007-08-03,85.65,
2007-08-04,.,No value available
2007-08-05,.,No value available
2007-08-06,88.09,
2007-08-07,87.13,
2007-08-08,87.32,
2007-08-09,88.73,
2007-08-10,90.59,
2007-08-11,.,No value available
2007-08-12,.,No value available
2007-08-13,89.50,
2007-08-14,89.31,
2007-08-15,90.72,
2007-08-16,92.95,
2007-08-17,92.87,
2007-08-18,.,No value available
2007-08-19,.,No value available
2007-08-20,91.17,
2007-08-21,90.28,
2007-08-22,88.31,
2007-08-23,87.38,
2007-08-24,88.36,
2007-08-25,.,No value available
2007-08-26,.,No value available
2007-08-27,87.44,
2007-08-28,87.20,
2007-08-29,87.52,
2007-08-30,86.71,
2007-08-31,86.16,
2007-09-01,.,No value available
2007-09-02,.,No value available
2007-09-03,87.27,
2007-09-04,88.40,
2007-09-05,87.87,
2007-09-06,88.42,
2007-09-07,88.02,
2007-09-08,.,No value available
2007-09-09,.,No value available
2007-09-10,89.87,
2007-09-11,89.86,
2007-09-12,89.29,
2007-09-13,88.74,
2007-09-14,89.75,
2007-09-15,.,No value available
2007-09-16,.,No value available
2007-09-17,90.31,
2007-09-18,90.13,
2007-09-19,88.41,
2007-09-20,88.20,
2007-09-21,88.07,
2007-09-22,.,No value available
2007-09-23,.,No value available
2007-09-24,88.02,
2007-09-25,88.14,
2007-09-26,87.87,
2007-09-27,87.26,
2007-09-28,87.87,
2007-09-29,.,No value available
2007-09-30,.,No value available
2007-10-01,88.10,
2007-10-02,87.52,
2007-10-03,87.27,
2007-10-04,86.73,
2007-10-05,86.25,
2007-10-06,.,No value available
2007-10-07,.,No value available
2007-10-08,85.77,
2007-10-09,85.17,
2007-10-10,85.62,
2007-10-11,85.13,
2007-10-12,85.39,
2007-10-13,.,No value available
2007-10-14,.,No value available
2007-10-15,85.34,
2007-10-16,86.25,
2007-10-17,85.28,
2007-10-18,85.54,
2007-10-19,85.46,
2007-10-20,.,No value available
2007-10-21,.,No value available
2007-10-22,87.60,
2007-10-23,86.20,
2007-10-24,86.67,
2007-10-25,86.68,
2007-10-26,86.85,
2007-10-27,.,No value available
2007-10-28,.,No value available
2007-10-29,86.77,
2007-10-30,86.72,
2007-10-31,86.62,
2007-11-01,84.95,
2007-11-02,85.24,
2007-11-03,.,No value available
2007-11-04,.,No value available
2007-11-05,85.82,
2007-11-06,85.36,
2007-11-07,86.40,
2007-11-08,87.00,
2007-11-09,88.31,
2007-11-10,.,No value available
2007-11-11,.,No value available
2007-11-12,88.74,
2007-11-13,88.22,
2007-11-14,87.85,
2007-11-15,88.44,
2007-11-16,89.05,
2007-11-17,.,No value available
2007-11-18,.,No value available
2007-11-19,89.49,
2007-11-20,92.96,
2007-11-21,92.07,
2007-11-22,93.52,
2007-11-23,92.94,
2007-11-24,.,No value available
2007-11-25,.,No value available
2007-11-26,92.77,
2007-11-27,93.84,
2007-11-28,91.89,
2007-11-29,90.69,
2007-11-30,90.02,
2007-12-01,.,No value available
2007-12-02,.,No value available
2007-12-03,90.11,
2007-12-04,91.25,
2007-12-05,91.31,
2007-12-06,90.28,
2007-12-07,90.16,
2007-12-08,.,No value available
2007-12-09,.,No value available
2007-12-10,90.24,
2007-12-11,89.87,
2007-12-12,89.72,
2007-12-13,89.60,
2007-12-14,90.75,
2007-12-15,.,No value available
2007-12-16,.,No value available
2007-12-17,90.74,
2007-12-18,90.69,
2007-12-19,91.21,
2007-12-20,91.68,
2007-12-21,91.73,
2007-12-22,.,No value available
2007-12-23,.,No value available
2007-12-24,91.29,
2007-12-25,.,No value available
2007-12-26,.,No value available
2007-12-27,91.75,
2007-12-28,91.31,
2007-12-29,.,No value available
2007-12-30,.,No value available
2007-12-31,91.90,
2008-01-01,.,No value available
2008-01-02,91.99,
2008-01-03,91.66,
2008-01-04,90.45,
2008-01-05,.,No value available
2008-01-06,.,No value available
2008-01-07,91.01,
2008-01-08,91.38,
2008-01-09,92.40,
2008-01-10,92.42,
2008-01-11,93.65,
2008-01-12,.,No value available
2008-01-13,.,No value available
2008-01-14,95.05,
2008-01-15,95.35,
2008-01-16,96.15,
2008-01-17,95.57,
2008-01-18,95.41,
2008-01-19,.,No value available
2008-01-20,.,No value available
2008-01-21,96.50,
2008-01-22,96.98,
2008-01-23,97.34,
2008-01-24,96.62,
2008-01-25,95.76,
2008-01-26,.,No value available
2008-01-27,.,No value available
2008-01-28,95.66,
2008-01-29,95.60,
2008-01-30,95.24,
2008-01-31,96.78,
2008-02-01,95.73,
2008-02-02,.,No value available
2008-02-03,.,No value available
2008-02-04,95.98,
2008-02-05,95.80,
2008-02-06,96.46,
2008-02-07,97.96,
2008-02-08,98.01,
2008-02-09,.,No value available
2008-02-10,.,No value available
2008-02-11,99.24,
2008-02-12,98.99,
2008-02-13,98.30,
2008-02-14,97.31,
2008-02-15,98.23,
2008-02-16,.,No value available
2008-02-17,.,No value available
2008-02-18,98.07,
2008-02-19,98.42,
2008-02-20,98.81,
2008-02-21,98.77,
2008-02-22,98.89,
2008-02-23,.,No value available
2008-02-24,.,No value available
2008-02-25,98.69,
2008-02-26,98.35,
2008-02-27,98.65,
2008-02-28,99.02,
2008-02-29,99.68,
2008-03-01,.,No value available
2008-03-02,.,No value available
2008-03-03,100.59,
2008-03-04,100.51,
2008-03-05,100.99,
2008-03-06,101.72,
2008-03-07,104.81,
2008-03-08,.,No value available
2008-03-09,.,No value available
2008-03-10,104.93,
2008-03-11,104.67,
2008-03-12,106.32,
2008-03-13,109.82,
2008-03-14,108.95,
2008-03-15,.,No value available
2008-03-16,.,No value available
2008-03-17,118.55,
2008-03-18,121.79,
2008-03-19,125.06,
2008-03-20,121.56,
2008-03-21,.,No value available
2008-03-22,.,No value available
2008-03-23,.,No value available
2008-03-24,.,No value available
2008-03-25,118.15,
2008-03-26,120.15,
2008-03-27,118.52,
2008-03-28,122.80,
2008-03-29,.,No value available
2008-03-30,.,No value available
2008-03-31,119.58,
2008-04-01,120.38,
2008-04-02,116.86,
2008-04-03,116.66,
2008-04-04,116.41,
2008-04-05,.,No value available
2008-04-06,.,No value available
2008-04-07,113.51,
2008-04-08,114.49,
2008-04-09,112.84,
2008-04-10,115.55,
