"",BBEX3.D.TND.USD.CA.AB.000,BBEX3.D.TND.USD.CA.AB.000_FLAGS
1985-08-27,.,No value available
1985-08-28,.,No value available
1985-08-29,.,No value available
1985-08-30,0.8011,
1985-08-31,.,No value available
1985-09-01,.,No value available
1985-09-02,.,No value available
1985-09-03,.,No value available
1985-09-04,.,No value available
1985-09-05,.,No value available
1985-09-06,.,No value available
1985-09-07,.,No value available
1985-09-08,.,No value available
1985-09-09,.,No value available
1985-09-10,.,No value available
1985-09-11,.,No value available
1985-09-12,.,No value available
1985-09-13,0.8504,
1985-09-14,.,No value available
1985-09-15,.,No value available
1985-09-16,.,No value available
1985-09-17,.,No value available
1985-09-18,.,No value available
1985-09-19,.,No value available
1985-09-20,.,No value available
1985-09-21,.,No value available
1985-09-22,.,No value available
1985-09-23,.,No value available
1985-09-24,.,No value available
1985-09-25,.,No value available
1985-09-26,.,No value available
1985-09-27,.,No value available
1985-09-28,.,No value available
1985-09-29,.,No value available
1985-09-30,0.8051,
1985-10-01,.,No value available
1985-10-02,.,No value available
1985-10-03,.,No value available
1985-10-04,.,No value available
1985-10-05,.,No value available
1985-10-06,.,No value available
1985-10-07,.,No value available
1985-10-08,.,No value available
1985-10-09,.,No value available
1985-10-10,.,No value available
1985-10-11,.,No value available
1985-10-12,.,No value available
1985-10-13,.,No value available
1985-10-14,0.8026,
1985-10-15,.,No value available
1985-10-16,.,No value available
1985-10-17,.,No value available
1985-10-18,.,No value available
1985-10-19,.,No value available
1985-10-20,.,No value available
1985-10-21,.,No value available
1985-10-22,.,No value available
1985-10-23,.,No value available
1985-10-24,.,No value available
1985-10-25,.,No value available
1985-10-26,.,No value available
1985-10-27,.,No value available
1985-10-28,.,No value available
1985-10-29,.,No value available
1985-10-30,.,No value available
1985-10-31,0.7971,
1985-11-01,.,No value available
1985-11-02,.,No value available
1985-11-03,.,No value available
1985-11-04,.,No value available
1985-11-05,.,No value available
1985-11-06,.,No value available
1985-11-07,.,No value available
1985-11-08,.,No value available
1985-11-09,.,No value available
1985-11-10,.,No value available
1985-11-11,.,No value available
1985-11-12,.,No value available
1985-11-13,.,No value available
1985-11-14,.,No value available
1985-11-15,0.7963,
1985-11-16,.,No value available
1985-11-17,.,No value available
1985-11-18,.,No value available
1985-11-19,.,No value available
1985-11-20,.,No value available
1985-11-21,.,No value available
1985-11-22,.,No value available
1985-11-23,.,No value available
1985-11-24,.,No value available
1985-11-25,.,No value available
1985-11-26,.,No value available
1985-11-27,.,No value available
1985-11-28,.,No value available
1985-11-29,0.7741,
1985-11-30,.,No value available
1985-12-01,.,No value available
1985-12-02,.,No value available
1985-12-03,.,No value available
1985-12-04,.,No value available
1985-12-05,.,No value available
1985-12-06,.,No value available
1985-12-07,.,No value available
1985-12-08,.,No value available
1985-12-09,.,No value available
1985-12-10,.,No value available
1985-12-11,.,No value available
1985-12-12,.,No value available
1985-12-13,0.7712,
1985-12-14,.,No value available
1985-12-15,.,No value available
1985-12-16,.,No value available
1985-12-17,.,No value available
1985-12-18,.,No value available
1985-12-19,.,No value available
1985-12-20,.,No value available
1985-12-21,.,No value available
1985-12-22,.,No value available
1985-12-23,.,No value available
1985-12-24,.,No value available
1985-12-25,.,No value available
1985-12-26,.,No value available
1985-12-27,.,No value available
1985-12-28,.,No value available
1985-12-29,.,No value available
1985-12-30,.,No value available
1985-12-31,0.7607,
1986-01-01,.,No value available
1986-01-02,.,No value available
1986-01-03,.,No value available
1986-01-04,.,No value available
1986-01-05,.,No value available
1986-01-06,.,No value available
1986-01-07,.,No value available
1986-01-08,.,No value available
1986-01-09,.,No value available
1986-01-10,.,No value available
1986-01-11,.,No value available
1986-01-12,.,No value available
1986-01-13,.,No value available
1986-01-14,.,No value available
1986-01-15,0.7627,
1986-01-16,.,No value available
1986-01-17,.,No value available
1986-01-18,.,No value available
1986-01-19,.,No value available
1986-01-20,.,No value available
1986-01-21,.,No value available
1986-01-22,.,No value available
1986-01-23,.,No value available
1986-01-24,.,No value available
1986-01-25,.,No value available
1986-01-26,.,No value available
1986-01-27,.,No value available
1986-01-28,.,No value available
1986-01-29,.,No value available
1986-01-30,.,No value available
1986-01-31,0.7390,
1986-02-01,.,No value available
1986-02-02,.,No value available
1986-02-03,.,No value available
1986-02-04,.,No value available
1986-02-05,.,No value available
1986-02-06,.,No value available
1986-02-07,.,No value available
1986-02-08,.,No value available
1986-02-09,.,No value available
1986-02-10,.,No value available
1986-02-11,.,No value available
1986-02-12,.,No value available
1986-02-13,.,No value available
1986-02-14,0.7350,
1986-02-15,.,No value available
1986-02-16,.,No value available
1986-02-17,.,No value available
1986-02-18,.,No value available
1986-02-19,.,No value available
1986-02-20,.,No value available
1986-02-21,.,No value available
1986-02-22,.,No value available
1986-02-23,.,No value available
1986-02-24,.,No value available
1986-02-25,.,No value available
1986-02-26,.,No value available
1986-02-27,.,No value available
1986-02-28,0.7088,
1986-03-01,.,No value available
1986-03-02,.,No value available
1986-03-03,.,No value available
1986-03-04,.,No value available
1986-03-05,.,No value available
1986-03-06,.,No value available
1986-03-07,.,No value available
1986-03-08,.,No value available
1986-03-09,.,No value available
1986-03-10,.,No value available
1986-03-11,.,No value available
1986-03-12,.,No value available
1986-03-13,.,No value available
1986-03-14,0.7237,
1986-03-15,.,No value available
1986-03-16,.,No value available
1986-03-17,.,No value available
1986-03-18,.,No value available
1986-03-19,.,No value available
1986-03-20,.,No value available
1986-03-21,.,No value available
1986-03-22,.,No value available
1986-03-23,.,No value available
1986-03-24,.,No value available
1986-03-25,.,No value available
1986-03-26,.,No value available
1986-03-27,.,No value available
1986-03-28,.,No value available
1986-03-29,.,No value available
1986-03-30,.,No value available
1986-03-31,0.7437,
1986-04-01,.,No value available
1986-04-02,.,No value available
1986-04-03,.,No value available
1986-04-04,.,No value available
1986-04-05,.,No value available
1986-04-06,.,No value available
1986-04-07,.,No value available
1986-04-08,.,No value available
1986-04-09,.,No value available
1986-04-10,.,No value available
1986-04-11,.,No value available
1986-04-12,.,No value available
1986-04-13,.,No value available
1986-04-14,.,No value available
1986-04-15,0.7641,
1986-04-16,.,No value available
1986-04-17,.,No value available
1986-04-18,.,No value available
1986-04-19,.,No value available
1986-04-20,.,No value available
1986-04-21,.,No value available
1986-04-22,.,No value available
1986-04-23,.,No value available
1986-04-24,.,No value available
1986-04-25,.,No value available
1986-04-26,.,No value available
1986-04-27,.,No value available
1986-04-28,.,No value available
1986-04-29,.,No value available
1986-04-30,0.7399,
1986-05-01,.,No value available
1986-05-02,.,No value available
1986-05-03,.,No value available
1986-05-04,.,No value available
1986-05-05,.,No value available
1986-05-06,.,No value available
1986-05-07,.,No value available
1986-05-08,.,No value available
1986-05-09,.,No value available
1986-05-10,.,No value available
1986-05-11,.,No value available
1986-05-12,.,No value available
1986-05-13,.,No value available
1986-05-14,.,No value available
1986-05-15,0.7414,
1986-05-16,.,No value available
1986-05-17,.,No value available
1986-05-18,.,No value available
1986-05-19,.,No value available
1986-05-20,.,No value available
1986-05-21,.,No value available
1986-05-22,.,No value available
1986-05-23,.,No value available
1986-05-24,.,No value available
1986-05-25,.,No value available
1986-05-26,.,No value available
1986-05-27,.,No value available
1986-05-28,.,No value available
1986-05-29,.,No value available
1986-05-30,0.7784,
1986-05-31,.,No value available
1986-06-01,.,No value available
1986-06-02,.,No value available
1986-06-03,.,No value available
1986-06-04,.,No value available
1986-06-05,.,No value available
1986-06-06,.,No value available
1986-06-07,.,No value available
1986-06-08,.,No value available
1986-06-09,.,No value available
1986-06-10,.,No value available
1986-06-11,.,No value available
1986-06-12,.,No value available
1986-06-13,.,No value available
1986-06-14,.,No value available
1986-06-15,.,No value available
1986-06-16,0.7737,
1986-06-17,.,No value available
1986-06-18,.,No value available
1986-06-19,.,No value available
1986-06-20,.,No value available
1986-06-21,.,No value available
1986-06-22,.,No value available
1986-06-23,.,No value available
1986-06-24,.,No value available
1986-06-25,.,No value available
1986-06-26,.,No value available
1986-06-27,.,No value available
1986-06-28,.,No value available
1986-06-29,.,No value available
1986-06-30,0.7897,
1986-07-01,.,No value available
1986-07-02,.,No value available
1986-07-03,.,No value available
1986-07-04,.,No value available
1986-07-05,.,No value available
1986-07-06,.,No value available
1986-07-07,.,No value available
1986-07-08,.,No value available
1986-07-09,.,No value available
1986-07-10,.,No value available
1986-07-11,.,No value available
1986-07-12,.,No value available
1986-07-13,.,No value available
1986-07-14,.,No value available
1986-07-15,0.7850,
1986-07-16,.,No value available
1986-07-17,.,No value available
1986-07-18,.,No value available
1986-07-19,.,No value available
1986-07-20,.,No value available
1986-07-21,.,No value available
1986-07-22,.,No value available
1986-07-23,.,No value available
1986-07-24,.,No value available
1986-07-25,.,No value available
1986-07-26,.,No value available
1986-07-27,.,No value available
1986-07-28,.,No value available
1986-07-29,.,No value available
1986-07-30,.,No value available
1986-07-31,0.7665,
1986-08-01,.,No value available
1986-08-02,.,No value available
1986-08-03,.,No value available
1986-08-04,.,No value available
1986-08-05,.,No value available
1986-08-06,.,No value available
1986-08-07,.,No value available
1986-08-08,.,No value available
1986-08-09,.,No value available
1986-08-10,.,No value available
1986-08-11,.,No value available
1986-08-12,.,No value available
1986-08-13,.,No value available
1986-08-14,0.7804,
1986-08-15,.,No value available
1986-08-16,.,No value available
1986-08-17,.,No value available
1986-08-18,.,No value available
1986-08-19,.,No value available
1986-08-20,.,No value available
1986-08-21,.,No value available
1986-08-22,.,No value available
1986-08-23,.,No value available
1986-08-24,.,No value available
1986-08-25,.,No value available
1986-08-26,.,No value available
1986-08-27,.,No value available
1986-08-28,.,No value available
1986-08-29,0.8644,comment
1986-08-30,.,No value available
1986-08-31,.,No value available
1986-09-01,.,No value available
1986-09-02,.,No value available
1986-09-03,.,No value available
1986-09-04,.,No value available
1986-09-05,.,No value available
1986-09-06,.,No value available
1986-09-07,.,No value available
1986-09-08,.,No value available
1986-09-09,.,No value available
1986-09-10,.,No value available
1986-09-11,.,No value available
1986-09-12,.,No value available
1986-09-13,.,No value available
1986-09-14,.,No value available
1986-09-15,0.8698,
1986-09-16,.,No value available
1986-09-17,.,No value available
1986-09-18,.,No value available
1986-09-19,.,No value available
1986-09-20,.,No value available
1986-09-21,.,No value available
1986-09-22,.,No value available
1986-09-23,.,No value available
1986-09-24,.,No value available
1986-09-25,.,No value available
1986-09-26,.,No value available
1986-09-27,.,No value available
1986-09-28,.,No value available
1986-09-29,.,No value available
1986-09-30,0.8677,
1986-10-01,.,No value available
1986-10-02,.,No value available
1986-10-03,.,No value available
1986-10-04,.,No value available
1986-10-05,.,No value available
1986-10-06,.,No value available
1986-10-07,.,No value available
1986-10-08,.,No value available
1986-10-09,.,No value available
1986-10-10,.,No value available
1986-10-11,.,No value available
1986-10-12,.,No value available
1986-10-13,.,No value available
1986-10-14,.,No value available
1986-10-15,.,No value available
1986-10-16,0.8523,
1986-10-17,.,No value available
1986-10-18,.,No value available
1986-10-19,.,No value available
1986-10-20,.,No value available
1986-10-21,.,No value available
1986-10-22,.,No value available
1986-10-23,.,No value available
1986-10-24,.,No value available
1986-10-25,.,No value available
1986-10-26,.,No value available
1986-10-27,.,No value available
1986-10-28,.,No value available
1986-10-29,.,No value available
1986-10-30,.,No value available
1986-10-31,0.8821,
1986-11-01,.,No value available
1986-11-02,.,No value available
1986-11-03,.,No value available
1986-11-04,.,No value available
1986-11-05,.,No value available
1986-11-06,.,No value available
1986-11-07,.,No value available
1986-11-08,.,No value available
1986-11-09,.,No value available
1986-11-10,.,No value available
1986-11-11,.,No value available
1986-11-12,.,No value available
1986-11-13,.,No value available
1986-11-14,.,No value available
1986-11-15,.,No value available
1986-11-16,.,No value available
1986-11-17,0.8652,
1986-11-18,.,No value available
1986-11-19,.,No value available
1986-11-20,.,No value available
1986-11-21,.,No value available
1986-11-22,.,No value available
1986-11-23,.,No value available
1986-11-24,.,No value available
1986-11-25,.,No value available
1986-11-26,.,No value available
1986-11-27,.,No value available
1986-11-28,0.8541,
1986-11-29,.,No value available
1986-11-30,.,No value available
1986-12-01,.,No value available
1986-12-02,.,No value available
1986-12-03,.,No value available
1986-12-04,.,No value available
1986-12-05,.,No value available
1986-12-06,.,No value available
1986-12-07,.,No value available
1986-12-08,.,No value available
1986-12-09,.,No value available
1986-12-10,.,No value available
1986-12-11,.,No value available
1986-12-12,.,No value available
1986-12-13,.,No value available
1986-12-14,.,No value available
1986-12-15,0.8682,
1986-12-16,.,No value available
1986-12-17,.,No value available
1986-12-18,.,No value available
1986-12-19,.,No value available
1986-12-20,.,No value available
1986-12-21,.,No value available
1986-12-22,.,No value available
1986-12-23,.,No value available
1986-12-24,.,No value available
1986-12-25,.,No value available
1986-12-26,.,No value available
1986-12-27,.,No value available
1986-12-28,.,No value available
1986-12-29,.,No value available
1986-12-30,.,No value available
1986-12-31,0.8444,
1987-01-01,.,No value available
1987-01-02,.,No value available
1987-01-03,.,No value available
1987-01-04,.,No value available
1987-01-05,.,No value available
1987-01-06,.,No value available
1987-01-07,.,No value available
1987-01-08,.,No value available
1987-01-09,.,No value available
1987-01-10,.,No value available
1987-01-11,.,No value available
1987-01-12,.,No value available
1987-01-13,.,No value available
1987-01-14,.,No value available
1987-01-15,0.8217,
1987-01-16,.,No value available
1987-01-17,.,No value available
1987-01-18,.,No value available
1987-01-19,.,No value available
1987-01-20,.,No value available
1987-01-21,.,No value available
1987-01-22,.,No value available
1987-01-23,.,No value available
1987-01-24,.,No value available
1987-01-25,.,No value available
1987-01-26,.,No value available
1987-01-27,.,No value available
1987-01-28,.,No value available
1987-01-29,.,No value available
1987-01-30,0.8042,
1987-01-31,.,No value available
1987-02-01,.,No value available
1987-02-02,.,No value available
1987-02-03,.,No value available
1987-02-04,.,No value available
1987-02-05,.,No value available
1987-02-06,.,No value available
1987-02-07,.,No value available
1987-02-08,.,No value available
1987-02-09,.,No value available
1987-02-10,.,No value available
1987-02-11,.,No value available
1987-02-12,.,No value available
1987-02-13,0.8273,
1987-02-14,.,No value available
1987-02-15,.,No value available
1987-02-16,.,No value available
1987-02-17,.,No value available
1987-02-18,.,No value available
1987-02-19,.,No value available
1987-02-20,.,No value available
1987-02-21,.,No value available
1987-02-22,.,No value available
1987-02-23,.,No value available
1987-02-24,.,No value available
1987-02-25,.,No value available
1987-02-26,.,No value available
1987-02-27,0.8233,
1987-02-28,.,No value available
1987-03-01,.,No value available
1987-03-02,.,No value available
1987-03-03,.,No value available
1987-03-04,.,No value available
1987-03-05,.,No value available
1987-03-06,.,No value available
1987-03-07,.,No value available
1987-03-08,.,No value available
1987-03-09,.,No value available
1987-03-10,.,No value available
1987-03-11,.,No value available
1987-03-12,.,No value available
1987-03-13,0.8366,
1987-03-14,.,No value available
1987-03-15,.,No value available
1987-03-16,.,No value available
1987-03-17,.,No value available
1987-03-18,.,No value available
1987-03-19,.,No value available
1987-03-20,.,No value available
1987-03-21,.,No value available
1987-03-22,.,No value available
1987-03-23,.,No value available
1987-03-24,.,No value available
1987-03-25,.,No value available
1987-03-26,.,No value available
1987-03-27,.,No value available
1987-03-28,.,No value available
1987-03-29,.,No value available
1987-03-30,.,No value available
1987-03-31,0.8252,
1987-04-01,.,No value available
1987-04-02,.,No value available
1987-04-03,.,No value available
1987-04-04,.,No value available
1987-04-05,.,No value available
1987-04-06,.,No value available
1987-04-07,.,No value available
1987-04-08,.,No value available
1987-04-09,.,No value available
1987-04-10,.,No value available
1987-04-11,.,No value available
1987-04-12,.,No value available
1987-04-13,.,No value available
1987-04-14,.,No value available
1987-04-15,0.8311,
1987-04-16,.,No value available
1987-04-17,.,No value available
1987-04-18,.,No value available
1987-04-19,.,No value available
1987-04-20,.,No value available
1987-04-21,.,No value available
1987-04-22,.,No value available
1987-04-23,.,No value available
1987-04-24,.,No value available
1987-04-25,.,No value available
1987-04-26,.,No value available
1987-04-27,.,No value available
1987-04-28,.,No value available
1987-04-29,.,No value available
1987-04-30,0.8258,
1987-05-01,.,No value available
1987-05-02,.,No value available
1987-05-03,.,No value available
1987-05-04,.,No value available
1987-05-05,.,No value available
1987-05-06,.,No value available
1987-05-07,.,No value available
1987-05-08,.,No value available
1987-05-09,.,No value available
1987-05-10,.,No value available
1987-05-11,.,No value available
1987-05-12,.,No value available
1987-05-13,.,No value available
1987-05-14,0.8330,
1987-05-15,.,No value available
1987-05-16,.,No value available
1987-05-17,.,No value available
1987-05-18,.,No value available
1987-05-19,.,No value available
1987-05-20,.,No value available
1987-05-21,.,No value available
1987-05-22,.,No value available
1987-05-23,.,No value available
1987-05-24,.,No value available
1987-05-25,.,No value available
1987-05-26,.,No value available
1987-05-27,.,No value available
1987-05-28,0.8412,
1987-05-29,.,No value available
1987-05-30,.,No value available
1987-05-31,.,No value available
1987-06-01,.,No value available
1987-06-02,.,No value available
1987-06-03,.,No value available
1987-06-04,.,No value available
1987-06-05,.,No value available
1987-06-06,.,No value available
1987-06-07,.,No value available
1987-06-08,.,No value available
1987-06-09,.,No value available
1987-06-10,.,No value available
1987-06-11,.,No value available
1987-06-12,.,No value available
1987-06-13,.,No value available
1987-06-14,.,No value available
1987-06-15,0.8436,
1987-06-16,.,No value available
1987-06-17,.,No value available
1987-06-18,.,No value available
1987-06-19,.,No value available
1987-06-20,.,No value available
1987-06-21,.,No value available
1987-06-22,.,No value available
1987-06-23,.,No value available
1987-06-24,.,No value available
1987-06-25,.,No value available
1987-06-26,.,No value available
1987-06-27,.,No value available
1987-06-28,.,No value available
1987-06-29,.,No value available
1987-06-30,0.8508,
1987-07-01,.,No value available
1987-07-02,.,No value available
1987-07-03,.,No value available
1987-07-04,.,No value available
1987-07-05,.,No value available
1987-07-06,.,No value available
1987-07-07,.,No value available
1987-07-08,.,No value available
1987-07-09,.,No value available
1987-07-10,.,No value available
1987-07-11,.,No value available
1987-07-12,.,No value available
1987-07-13,.,No value available
1987-07-14,.,No value available
1987-07-15,0.8585,
1987-07-16,.,No value available
1987-07-17,.,No value available
1987-07-18,.,No value available
1987-07-19,.,No value available
1987-07-20,.,No value available
1987-07-21,.,No value available
1987-07-22,.,No value available
1987-07-23,.,No value available
1987-07-24,.,No value available
1987-07-25,.,No value available
1987-07-26,.,No value available
1987-07-27,.,No value available
1987-07-28,.,No value available
1987-07-29,.,No value available
1987-07-30,.,No value available
1987-07-31,0.8630,
1987-08-01,.,No value available
1987-08-02,.,No value available
1987-08-03,.,No value available
1987-08-04,.,No value available
1987-08-05,.,No value available
1987-08-06,.,No value available
1987-08-07,.,No value available
1987-08-08,.,No value available
1987-08-09,.,No value available
1987-08-10,.,No value available
1987-08-11,.,No value available
1987-08-12,.,No value available
1987-08-13,.,No value available
1987-08-14,0.8788,
1987-08-15,.,No value available
1987-08-16,.,No value available
1987-08-17,.,No value available
1987-08-18,.,No value available
1987-08-19,.,No value available
1987-08-20,.,No value available
1987-08-21,.,No value available
1987-08-22,.,No value available
1987-08-23,.,No value available
1987-08-24,.,No value available
1987-08-25,.,No value available
1987-08-26,.,No value available
1987-08-27,.,No value available
1987-08-28,.,No value available
1987-08-29,.,No value available
1987-08-30,.,No value available
1987-08-31,0.8452,
1987-09-01,.,No value available
1987-09-02,.,No value available
1987-09-03,.,No value available
1987-09-04,.,No value available
1987-09-05,.,No value available
1987-09-06,.,No value available
1987-09-07,.,No value available
1987-09-08,.,No value available
1987-09-09,.,No value available
1987-09-10,.,No value available
1987-09-11,.,No value available
1987-09-12,.,No value available
1987-09-13,.,No value available
1987-09-14,.,No value available
1987-09-15,0.8474,
1987-09-16,.,No value available
1987-09-17,.,No value available
1987-09-18,.,No value available
1987-09-19,.,No value available
1987-09-20,.,No value available
1987-09-21,.,No value available
1987-09-22,.,No value available
1987-09-23,.,No value available
1987-09-24,.,No value available
1987-09-25,.,No value available
1987-09-26,.,No value available
1987-09-27,.,No value available
1987-09-28,.,No value available
1987-09-29,.,No value available
1987-09-30,0.8528,
1987-10-01,.,No value available
1987-10-02,.,No value available
1987-10-03,.,No value available
1987-10-04,.,No value available
1987-10-05,.,No value available
1987-10-06,.,No value available
1987-10-07,.,No value available
1987-10-08,.,No value available
1987-10-09,.,No value available
1987-10-10,.,No value available
1987-10-11,.,No value available
1987-10-12,.,No value available
1987-10-13,.,No value available
1987-10-14,0.8465,
1987-10-15,.,No value available
1987-10-16,.,No value available
1987-10-17,.,No value available
1987-10-18,.,No value available
1987-10-19,.,No value available
1987-10-20,.,No value available
1987-10-21,.,No value available
1987-10-22,.,No value available
1987-10-23,.,No value available
1987-10-24,.,No value available
1987-10-25,.,No value available
1987-10-26,.,No value available
1987-10-27,.,No value available
1987-10-28,.,No value available
1987-10-29,.,No value available
1987-10-30,0.8265,
1987-10-31,.,No value available
1987-11-01,.,No value available
1987-11-02,.,No value available
1987-11-03,.,No value available
1987-11-04,.,No value available
1987-11-05,.,No value available
1987-11-06,.,No value available
1987-11-07,.,No value available
1987-11-08,.,No value available
1987-11-09,.,No value available
1987-11-10,.,No value available
1987-11-11,.,No value available
1987-11-12,.,No value available
1987-11-13,0.8108,
1987-11-14,.,No value available
1987-11-15,.,No value available
1987-11-16,.,No value available
1987-11-17,.,No value available
1987-11-18,.,No value available
1987-11-19,.,No value available
1987-11-20,.,No value available
1987-11-21,.,No value available
1987-11-22,.,No value available
1987-11-23,.,No value available
1987-11-24,.,No value available
1987-11-25,.,No value available
1987-11-26,.,No value available
1987-11-27,.,No value available
1987-11-28,.,No value available
1987-11-29,.,No value available
1987-11-30,0.7989,
1987-12-01,.,No value available
1987-12-02,.,No value available
1987-12-03,.,No value available
1987-12-04,.,No value available
1987-12-05,.,No value available
1987-12-06,.,No value available
1987-12-07,.,No value available
1987-12-08,.,No value available
1987-12-09,.,No value available
1987-12-10,.,No value available
1987-12-11,.,No value available
1987-12-12,.,No value available
1987-12-13,.,No value available
1987-12-14,.,No value available
1987-12-15,0.7932,
1987-12-16,.,No value available
1987-12-17,.,No value available
1987-12-18,.,No value available
1987-12-19,.,No value available
1987-12-20,.,No value available
1987-12-21,.,No value available
1987-12-22,.,No value available
1987-12-23,.,No value available
1987-12-24,.,No value available
1987-12-25,.,No value available
1987-12-26,.,No value available
1987-12-27,.,No value available
1987-12-28,.,No value available
1987-12-29,.,No value available
1987-12-30,.,No value available
1987-12-31,0.7817,
1988-01-01,.,No value available
1988-01-02,.,No value available
1988-01-03,.,No value available
1988-01-04,.,No value available
1988-01-05,.,No value available
1988-01-06,.,No value available
1988-01-07,.,No value available
1988-01-08,.,No value available
1988-01-09,.,No value available
1988-01-10,.,No value available
1988-01-11,.,No value available
1988-01-12,.,No value available
1988-01-13,.,No value available
1988-01-14,.,No value available
1988-01-15,0.7948,
1988-01-16,.,No value available
1988-01-17,.,No value available
1988-01-18,.,No value available
1988-01-19,.,No value available
1988-01-20,.,No value available
1988-01-21,.,No value available
1988-01-22,.,No value available
1988-01-23,.,No value available
1988-01-24,.,No value available
1988-01-25,.,No value available
1988-01-26,.,No value available
1988-01-27,.,No value available
1988-01-28,.,No value available
1988-01-29,0.8090,
1988-01-30,.,No value available
1988-01-31,.,No value available
1988-02-01,.,No value available
1988-02-02,.,No value available
1988-02-03,.,No value available
1988-02-04,.,No value available
1988-02-05,.,No value available
1988-02-06,.,No value available
1988-02-07,.,No value available
1988-02-08,.,No value available
1988-02-09,.,No value available
1988-02-10,.,No value available
1988-02-11,.,No value available
1988-02-12,.,No value available
1988-02-13,.,No value available
1988-02-14,.,No value available
1988-02-15,0.8258,
1988-02-16,.,No value available
1988-02-17,.,No value available
1988-02-18,.,No value available
1988-02-19,.,No value available
1988-02-20,.,No value available
1988-02-21,.,No value available
1988-02-22,.,No value available
1988-02-23,.,No value available
1988-02-24,.,No value available
1988-02-25,.,No value available
1988-02-26,.,No value available
1988-02-27,.,No value available
1988-02-28,.,No value available
1988-02-29,0.8193,
1988-03-01,.,No value available
1988-03-02,.,No value available
1988-03-03,.,No value available
1988-03-04,.,No value available
1988-03-05,.,No value available
1988-03-06,.,No value available
1988-03-07,.,No value available
1988-03-08,.,No value available
1988-03-09,.,No value available
1988-03-10,.,No value available
1988-03-11,.,No value available
1988-03-12,.,No value available
1988-03-13,.,No value available
1988-03-14,.,No value available
1988-03-15,0.8153,
1988-03-16,.,No value available
1988-03-17,.,No value available
1988-03-18,.,No value available
1988-03-19,.,No value available
1988-03-20,.,No value available
1988-03-21,.,No value available
1988-03-22,.,No value available
1988-03-23,.,No value available
1988-03-24,.,No value available
1988-03-25,.,No value available
1988-03-26,.,No value available
1988-03-27,.,No value available
1988-03-28,.,No value available
1988-03-29,.,No value available
1988-03-30,.,No value available
1988-03-31,0.8126,
1988-04-01,.,No value available
1988-04-02,.,No value available
1988-04-03,.,No value available
1988-04-04,.,No value available
1988-04-05,.,No value available
1988-04-06,.,No value available
1988-04-07,.,No value available
1988-04-08,.,No value available
1988-04-09,.,No value available
1988-04-10,.,No value available
1988-04-11,.,No value available
1988-04-12,.,No value available
1988-04-13,.,No value available
1988-04-14,.,No value available
1988-04-15,0.8190,
1988-04-16,.,No value available
1988-04-17,.,No value available
1988-04-18,.,No value available
1988-04-19,.,No value available
1988-04-20,.,No value available
1988-04-21,.,No value available
1988-04-22,.,No value available
1988-04-23,.,No value available
1988-04-24,.,No value available
1988-04-25,.,No value available
1988-04-26,.,No value available
1988-04-27,.,No value available
1988-04-28,.,No value available
1988-04-29,0.8221,
1988-04-30,.,No value available
1988-05-01,.,No value available
1988-05-02,.,No value available
1988-05-03,.,No value available
1988-05-04,.,No value available
1988-05-05,.,No value available
1988-05-06,.,No value available
1988-05-07,.,No value available
1988-05-08,.,No value available
1988-05-09,.,No value available
1988-05-10,.,No value available
1988-05-11,.,No value available
1988-05-12,.,No value available
1988-05-13,0.8295,
1988-05-14,.,No value available
1988-05-15,.,No value available
1988-05-16,.,No value available
1988-05-17,.,No value available
1988-05-18,.,No value available
1988-05-19,.,No value available
1988-05-20,.,No value available
1988-05-21,.,No value available
1988-05-22,.,No value available
1988-05-23,.,No value available
1988-05-24,.,No value available
1988-05-25,.,No value available
1988-05-26,.,No value available
1988-05-27,.,No value available
1988-05-28,.,No value available
1988-05-29,.,No value available
1988-05-30,.,No value available
1988-05-31,0.8444,
1988-06-01,.,No value available
1988-06-02,.,No value available
1988-06-03,.,No value available
1988-06-04,.,No value available
1988-06-05,.,No value available
1988-06-06,.,No value available
1988-06-07,.,No value available
1988-06-08,.,No value available
1988-06-09,.,No value available
1988-06-10,.,No value available
1988-06-11,.,No value available
1988-06-12,.,No value available
1988-06-13,.,No value available
1988-06-14,.,No value available
1988-06-15,0.8573,
1988-06-16,.,No value available
1988-06-17,.,No value available
1988-06-18,.,No value available
1988-06-19,.,No value available
1988-06-20,.,No value available
1988-06-21,.,No value available
1988-06-22,.,No value available
1988-06-23,.,No value available
1988-06-24,.,No value available
1988-06-25,.,No value available
1988-06-26,.,No value available
1988-06-27,.,No value available
1988-06-28,.,No value available
1988-06-29,.,No value available
1988-06-30,0.8833,
1988-07-01,.,No value available
1988-07-02,.,No value available
1988-07-03,.,No value available
1988-07-04,.,No value available
1988-07-05,.,No value available
1988-07-06,.,No value available
1988-07-07,.,No value available
1988-07-08,.,No value available
1988-07-09,.,No value available
1988-07-10,.,No value available
1988-07-11,.,No value available
1988-07-12,.,No value available
1988-07-13,.,No value available
1988-07-14,.,No value available
1988-07-15,0.8967,
1988-07-16,.,No value available
1988-07-17,.,No value available
1988-07-18,.,No value available
1988-07-19,.,No value available
1988-07-20,.,No value available
1988-07-21,.,No value available
1988-07-22,.,No value available
1988-07-23,.,No value available
1988-07-24,.,No value available
1988-07-25,.,No value available
1988-07-26,.,No value available
1988-07-27,.,No value available
1988-07-28,.,No value available
1988-07-29,0.9036,
1988-07-30,.,No value available
1988-07-31,.,No value available
1988-08-01,.,No value available
1988-08-02,.,No value available
