"",BBEX3.D.ARS.EUR.CA.AA.000,BBEX3.D.ARS.EUR.CA.AA.000_FLAGS
2005-01-08,.,No value available
2005-01-09,.,No value available
2005-01-10,3.8351,
2005-01-11,3.8344,
2005-01-12,3.8552,
2005-01-13,3.8252,
2005-01-14,3.7946,
2005-01-15,.,No value available
2005-01-16,.,No value available
2005-01-17,3.7772,
2005-01-18,3.7751,
2005-01-19,3.7768,
2005-01-20,3.7623,
2005-01-21,3.7916,
2005-01-22,.,No value available
2005-01-23,.,No value available
2005-01-24,3.7733,
2005-01-25,3.7377,
2005-01-26,3.7769,
2005-01-27,3.7590,
2005-01-28,3.7626,
2005-01-29,.,No value available
2005-01-30,.,No value available
2005-01-31,3.7636,
2005-02-01,3.7568,
2005-02-02,3.7574,
2005-02-03,3.7356,
2005-02-04,3.7106,
2005-02-05,.,No value available
2005-02-06,.,No value available
2005-02-07,3.6762,
2005-02-08,3.6756,
2005-02-09,3.6689,
2005-02-10,3.7052,
2005-02-11,3.6938,
2005-02-12,.,No value available
2005-02-13,.,No value available
2005-02-14,3.7194,
2005-02-15,3.7215,
2005-02-16,3.7073,
2005-02-17,3.7477,
2005-02-18,3.7582,
2005-02-19,.,No value available
2005-02-20,.,No value available
2005-02-21,3.7541,
2005-02-22,3.8154,
2005-02-23,3.8228,
2005-02-24,3.8250,
2005-02-25,3.8323,
2005-02-26,.,No value available
2005-02-27,.,No value available
2005-02-28,3.8404,
2005-03-01,3.8310,
2005-03-02,3.8280,
2005-03-03,3.8211,
2005-03-04,3.8374,
2005-03-05,.,No value available
2005-03-06,.,No value available
2005-03-07,3.8171,
2005-03-08,3.8551,
2005-03-09,3.8793,
2005-03-10,3.8786,
2005-03-11,3.8727,
2005-03-12,.,No value available
2005-03-13,.,No value available
2005-03-14,3.8434,
2005-03-15,3.8322,
2005-03-16,3.8604,
2005-03-17,3.8485,
2005-03-18,3.8299,
2005-03-19,.,No value available
2005-03-20,.,No value available
2005-03-21,3.7864,
2005-03-22,3.7880,
2005-03-23,3.7325,
2005-03-24,.,No value available
2005-03-25,.,No value available
2005-03-26,.,No value available
2005-03-27,.,No value available
2005-03-28,3.7114,
2005-03-29,3.7199,
2005-03-30,3.7333,
2005-03-31,3.7318,
2005-04-01,3.7130,
2005-04-02,.,No value available
2005-04-03,.,No value available
2005-04-04,3.6955,
2005-04-05,3.6892,
2005-04-06,3.6898,
2005-04-07,3.6671,
2005-04-08,3.6882,
2005-04-09,.,No value available
2005-04-10,.,No value available
2005-04-11,3.7024,
2005-04-12,3.6702,
2005-04-13,3.6643,
2005-04-14,3.6494,
2005-04-15,3.6908,
2005-04-16,.,No value available
2005-04-17,.,No value available
2005-04-18,3.7286,
2005-04-19,3.7266,
2005-04-20,3.7423,
2005-04-21,3.7345,
2005-04-22,3.7326,
2005-04-23,.,No value available
2005-04-24,.,No value available
2005-04-25,3.7136,
2005-04-26,3.7035,
2005-04-27,3.7023,
2005-04-28,3.6981,
2005-04-29,3.6923,
2005-04-30,.,No value available
2005-05-01,.,No value available
2005-05-02,3.6751,
2005-05-03,3.6818,
2005-05-04,3.6957,
2005-05-05,3.6961,
2005-05-06,3.6684,
2005-05-07,.,No value available
2005-05-08,.,No value available
2005-05-09,3.6624,
2005-05-10,3.6730,
2005-05-11,3.6588,
2005-05-12,3.6252,
2005-05-13,3.6042,
2005-05-14,.,No value available
2005-05-15,.,No value available
2005-05-16,3.5906,
2005-05-17,3.5976,
2005-05-18,3.6045,
2005-05-19,3.5944,
2005-05-20,3.5727,
2005-05-21,.,No value available
2005-05-22,.,No value available
2005-05-23,3.5797,
2005-05-24,3.5777,
2005-05-25,.,No value available
2005-05-26,3.5594,
2005-05-27,3.5767,
2005-05-28,.,No value available
2005-05-29,.,No value available
2005-05-30,3.5450,
2005-05-31,3.4989,
2005-06-01,3.4812,
2005-06-02,3.4905,
2005-06-03,3.4839,
2005-06-04,.,No value available
2005-06-05,.,No value available
2005-06-06,3.5039,
2005-06-07,3.5013,
2005-06-08,3.5040,
2005-06-09,3.4900,
2005-06-10,3.4558,
2005-06-11,.,No value available
2005-06-12,.,No value available
2005-06-13,3.4353,
2005-06-14,3.4135,
2005-06-15,3.4336,
2005-06-16,3.4240,
2005-06-17,3.4672,
2005-06-18,.,No value available
2005-06-19,.,No value available
2005-06-20,.,No value available
2005-06-21,3.4372,
2005-06-22,3.4231,
2005-06-23,3.4106,
2005-06-24,3.4299,
2005-06-25,.,No value available
2005-06-26,.,No value available
2005-06-27,3.4635,
2005-06-28,3.4439,
2005-06-29,3.4491,
2005-06-30,3.4397,
2005-07-01,3.3998,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,3.3853,
2005-07-05,3.3904,
2005-07-06,3.3885,
2005-07-07,3.3886,
2005-07-08,3.3770,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,3.4171,
2005-07-12,3.4628,
2005-07-13,3.4197,
2005-07-14,3.4117,
2005-07-15,3.4009,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,3.4040,
2005-07-19,3.3960,
2005-07-20,3.4172,
2005-07-21,3.4411,
2005-07-22,3.4085,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,3.4005,
2005-07-26,3.3915,
2005-07-27,3.4078,
2005-07-28,3.4257,
2005-07-29,3.4230,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,3.4410,
2005-08-02,3.4383,
2005-08-03,3.4776,
2005-08-04,3.4921,
2005-08-05,3.4846,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,3.4961,
2005-08-09,3.4965,
2005-08-10,3.5021,
2005-08-11,3.5278,
2005-08-12,3.5344,
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,.,No value available
2005-08-16,3.5156,
2005-08-17,3.5029,
2005-08-18,3.4778,
2005-08-19,3.4886,
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,3.5043,
2005-08-23,3.5070,
2005-08-24,3.5167,
2005-08-25,3.5284,
2005-08-26,3.5289,
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,3.5131,
2005-08-30,3.5044,
2005-08-31,3.5417,
2005-09-01,3.5772,
2005-09-02,3.5984,
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,3.5906,
2005-09-06,3.5769,
2005-09-07,3.5649,
2005-09-08,3.5479,
2005-09-09,3.5615,
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,3.5338,
2005-09-13,3.5325,
2005-09-14,3.5360,
2005-09-15,3.5106,
2005-09-16,3.5089,
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,3.4851,
2005-09-20,3.4962,
2005-09-21,3.5094,
2005-09-22,3.4938,
2005-09-23,3.4914,
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,3.4601,
2005-09-27,3.4446,
2005-09-28,3.4586,
2005-09-29,3.4575,
2005-09-30,3.4497,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,3.4161,
2005-10-04,3.4252,
2005-10-05,3.4561,
2005-10-06,3.4705,
2005-10-07,3.5112,
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,.,No value available
2005-10-11,3.4980,
2005-10-12,3.5161,
2005-10-13,3.5316,
2005-10-14,3.5471,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,3.5262,
2005-10-18,3.5025,
2005-10-19,3.5120,
2005-10-20,3.5254,
2005-10-21,3.5119,
2005-10-22,.,No value available
2005-10-23,.,No value available
2005-10-24,3.5197,
2005-10-25,3.5662,
2005-10-26,3.5730,
2005-10-27,3.6159,
2005-10-28,3.5873,
2005-10-29,.,No value available
2005-10-30,.,No value available
2005-10-31,3.5517,
2005-11-01,3.5424,
2005-11-02,3.5564,
2005-11-03,3.5157,
2005-11-04,3.4739,
2005-11-05,.,No value available
2005-11-06,.,No value available
2005-11-07,3.4571,
2005-11-08,3.4415,
2005-11-09,3.4375,
2005-11-10,3.4404,
2005-11-11,3.4246,
2005-11-12,.,No value available
2005-11-13,.,No value available
2005-11-14,3.4152,
2005-11-15,3.4035,
2005-11-16,3.4027,
2005-11-17,3.4000,
2005-11-18,3.4058,
2005-11-19,.,No value available
2005-11-20,.,No value available
2005-11-21,3.4005,
2005-11-22,3.4105,
2005-11-23,3.4364,
2005-11-24,3.4359,
2005-11-25,3.4334,
2005-11-26,.,No value available
2005-11-27,.,No value available
2005-11-28,3.4786,
2005-11-29,3.4536,
2005-11-30,3.4474,
2005-12-01,3.4404,
2005-12-02,3.4419,
2005-12-03,.,No value available
2005-12-04,.,No value available
2005-12-05,3.5029,
2005-12-06,3.4866,
2005-12-07,3.4559,
2005-12-08,.,No value available
2005-12-09,3.5097,
2005-12-10,.,No value available
2005-12-11,.,No value available
2005-12-12,3.5596,
2005-12-13,3.5355,
2005-12-14,3.5561,
2005-12-15,3.5563,
2005-12-16,3.5973,
2005-12-17,.,No value available
2005-12-18,.,No value available
2005-12-19,3.5832,
2005-12-20,3.5488,
2005-12-21,3.5380,
2005-12-22,3.5390,
2005-12-23,3.5369,
2005-12-24,.,No value available
2005-12-25,.,No value available
2005-12-26,3.5316,
2005-12-27,3.5533,
2005-12-28,3.5502,
2005-12-29,3.5414,
2005-12-30,3.5392,
2005-12-31,.,No value available
2006-01-01,.,No value available
2006-01-02,3.5333,
2006-01-03,3.5883,
2006-01-04,3.6354,
2006-01-05,3.6415,
2006-01-06,3.6696,
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,3.6533,
2006-01-10,3.6418,
2006-01-11,3.6529,
2006-01-12,3.6063,
2006-01-13,3.6365,
2006-01-14,.,No value available
2006-01-15,.,No value available
2006-01-16,3.6284,
2006-01-17,3.6276,
2006-01-18,3.6331,
2006-01-19,3.6418,
2006-01-20,3.6273,
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,3.6869,
2006-01-24,3.6839,
2006-01-25,3.6930,
2006-01-26,3.6898,
2006-01-27,3.6566,
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,3.6515,
2006-01-31,3.6857,
2006-02-01,3.6569,
2006-02-02,3.6642,
2006-02-03,3.6351,
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,3.6227,
2006-02-07,3.6320,
2006-02-08,3.6217,
2006-02-09,3.6197,
2006-02-10,3.6085,
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,3.6048,
2006-02-14,3.6069,
2006-02-15,3.6014,
2006-02-16,3.5940,
2006-02-17,3.5973,
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,3.6130,
2006-02-21,3.6084,
2006-02-22,3.6126,
2006-02-23,3.6165,
2006-02-24,3.6028,
2006-02-25,.,No value available
2006-02-26,.,No value available
2006-02-27,3.5944,
2006-02-28,3.6177,
2006-03-01,3.6048,
2006-03-02,3.6369,
2006-03-03,3.6457,
2006-03-04,.,No value available
2006-03-05,.,No value available
2006-03-06,3.6429,
2006-03-07,3.6121,
2006-03-08,3.6266,
2006-03-09,3.6242,
2006-03-10,3.6166,
2006-03-11,.,No value available
2006-03-12,.,No value available
2006-03-13,3.6282,
2006-03-14,3.6465,
2006-03-15,3.6530,
2006-03-16,3.6948,
2006-03-17,3.6994,
2006-03-18,.,No value available
2006-03-19,.,No value available
2006-03-20,3.6930,
2006-03-21,3.6669,
2006-03-22,3.6669,
2006-03-23,3.6404,
2006-03-24,.,No value available
2006-03-25,.,No value available
2006-03-26,.,No value available
2006-03-27,3.6562,
2006-03-28,3.6729,
2006-03-29,3.6562,
2006-03-30,3.6854,
2006-03-31,3.6875,
2006-04-01,.,No value available
2006-04-02,.,No value available
2006-04-03,3.6957,
2006-04-04,3.7280,
2006-04-05,3.7377,
2006-04-06,3.7140,
2006-04-07,3.6823,
2006-04-08,.,No value available
2006-04-09,.,No value available
2006-04-10,3.6744,
2006-04-11,3.6839,
2006-04-12,3.6760,
2006-04-13,.,No value available
2006-04-14,.,No value available
2006-04-15,.,No value available
2006-04-16,.,No value available
2006-04-17,3.7267,
2006-04-18,3.7217,
2006-04-19,3.7496,
2006-04-20,3.7188,
2006-04-21,3.7245,
2006-04-22,.,No value available
2006-04-23,.,No value available
2006-04-24,3.7272,
2006-04-25,3.7224,
2006-04-26,3.7314,
2006-04-27,3.7643,
2006-04-28,3.7997,
2006-04-29,.,No value available
2006-04-30,.,No value available
2006-05-01,.,No value available
2006-05-02,3.7920,
2006-05-03,3.7912,
2006-05-04,3.8044,
2006-05-05,3.8218,
2006-05-06,.,No value available
2006-05-07,.,No value available
2006-05-08,3.8106,
2006-05-09,3.8272,
2006-05-10,3.8364,
2006-05-11,3.8476,
2006-05-12,3.8609,
2006-05-13,.,No value available
2006-05-14,.,No value available
2006-05-15,3.8446,
2006-05-16,3.8510,
2006-05-17,3.8283,
2006-05-18,3.8633,
2006-05-19,3.8499,
2006-05-20,.,No value available
2006-05-21,.,No value available
2006-05-22,3.8916,
2006-05-23,3.8955,
2006-05-24,3.8846,
2006-05-25,.,No value available
2006-05-26,3.8683,
2006-05-27,.,No value available
2006-05-28,.,No value available
2006-05-29,3.8713,
2006-05-30,3.9237,
2006-05-31,3.9073,
2006-06-01,3.8936,
2006-06-02,3.9285,
2006-06-03,.,No value available
2006-06-04,.,No value available
2006-06-05,3.9380,
2006-06-06,3.9048,
2006-06-07,3.8941,
2006-06-08,3.8482,
2006-06-09,3.8481,
2006-06-10,.,No value available
2006-06-11,.,No value available
2006-06-12,3.8298,
2006-06-13,3.8138,
2006-06-14,3.8358,
2006-06-15,3.8359,
2006-06-16,3.8389,
2006-06-17,.,No value available
2006-06-18,.,No value available
2006-06-19,.,No value available
2006-06-20,3.8276,
2006-06-21,3.8456,
2006-06-22,3.8212,
2006-06-23,3.8061,
2006-06-24,.,No value available
2006-06-25,.,No value available
2006-06-26,3.8358,
2006-06-27,3.8369,
2006-06-28,3.8207,
2006-06-29,3.8210,
2006-06-30,3.8916,
2006-07-01,.,No value available
2006-07-02,.,No value available
2006-07-03,3.8994,
2006-07-04,3.8982,
2006-07-05,3.8773,
2006-07-06,3.8876,
2006-07-07,3.9071,
2006-07-08,.,No value available
2006-07-09,.,No value available
2006-07-10,3.8785,
2006-07-11,3.8841,
2006-07-12,3.8622,
2006-07-13,3.8619,
2006-07-14,3.8467,
2006-07-15,.,No value available
2006-07-16,.,No value available
2006-07-17,3.8104,
2006-07-18,3.8019,
2006-07-19,3.8258,
2006-07-20,3.8408,
2006-07-21,3.8591,
2006-07-22,.,No value available
2006-07-23,.,No value available
2006-07-24,3.8371,
2006-07-25,3.8188,
2006-07-26,3.8395,
2006-07-27,3.8618,
2006-07-28,3.8719,
2006-07-29,.,No value available
2006-07-30,.,No value available
2006-07-31,3.8725,
2006-08-01,3.8809,
2006-08-02,3.8779,
2006-08-03,3.8778,
2006-08-04,3.9026,
2006-08-05,.,No value available
2006-08-06,.,No value available
2006-08-07,3.8928,
2006-08-08,3.8907,
2006-08-09,3.9010,
2006-08-10,3.8720,
2006-08-11,3.8591,
2006-08-12,.,No value available
2006-08-13,.,No value available
2006-08-14,3.8642,
2006-08-15,3.8872,
2006-08-16,3.8957,
2006-08-17,3.9073,
2006-08-18,3.8989,
2006-08-19,.,No value available
2006-08-20,.,No value available
2006-08-21,.,No value available
2006-08-22,3.8997,
2006-08-23,3.8940,
2006-08-24,3.8886,
2006-08-25,3.8928,
2006-08-26,.,No value available
2006-08-27,.,No value available
2006-08-28,3.9084,
2006-08-29,3.9031,
2006-08-30,3.9209,
2006-08-31,3.9096,
2006-09-01,3.9212,
2006-09-02,.,No value available
2006-09-03,.,No value available
2006-09-04,3.9293,
2006-09-05,3.9164,
2006-09-06,3.9139,
2006-09-07,3.8999,
2006-09-08,3.8774,
2006-09-09,.,No value available
2006-09-10,.,No value available
2006-09-11,3.8854,
2006-09-12,3.8899,
2006-09-13,3.8897,
2006-09-14,3.8966,
2006-09-15,3.8671,
2006-09-16,.,No value available
2006-09-17,.,No value available
2006-09-18,3.8782,
2006-09-19,3.8751,
2006-09-20,3.8849,
2006-09-21,3.9060,
2006-09-22,3.9143,
2006-09-23,.,No value available
2006-09-24,.,No value available
2006-09-25,3.9011,
2006-09-26,3.8838,
2006-09-27,3.8887,
2006-09-28,3.8907,
2006-09-29,3.8861,
2006-09-30,.,No value available
2006-10-01,.,No value available
2006-10-02,3.9050,
2006-10-03,3.8983,
2006-10-04,3.8910,
2006-10-05,3.8889,
2006-10-06,3.8638,
2006-10-07,.,No value available
2006-10-08,.,No value available
2006-10-09,3.8635,
2006-10-10,3.8433,
2006-10-11,3.8472,
2006-10-12,3.8444,
2006-10-13,3.8306,
2006-10-14,.,No value available
2006-10-15,.,No value available
2006-10-16,.,No value available
2006-10-17,3.8406,
2006-10-18,3.8202,
2006-10-19,3.8478,
2006-10-20,3.8467,
2006-10-21,.,No value available
2006-10-22,.,No value available
2006-10-23,3.8262,
2006-10-24,3.8339,
2006-10-25,3.8416,
2006-10-26,3.8710,
2006-10-27,3.8880,
2006-10-28,.,No value available
2006-10-29,.,No value available
2006-10-30,3.8844,
2006-10-31,3.8966,
2006-11-01,3.8898,
2006-11-02,3.8862,
2006-11-03,3.8649,
2006-11-04,.,No value available
2006-11-05,.,No value available
2006-11-06,.,No value available
2006-11-07,3.8877,
2006-11-08,3.8692,
2006-11-09,3.8855,
2006-11-10,3.8973,
2006-11-11,.,No value available
2006-11-12,.,No value available
2006-11-13,3.8867,
2006-11-14,3.8849,
2006-11-15,3.8795,
2006-11-16,3.8792,
2006-11-17,3.8902,
2006-11-18,.,No value available
2006-11-19,.,No value available
2006-11-20,3.8894,
2006-11-21,3.8970,
2006-11-22,3.9180,
2006-11-23,3.9251,
2006-11-24,3.9731,
2006-11-25,.,No value available
2006-11-26,.,No value available
2006-11-27,3.9856,
2006-11-28,3.9962,
2006-11-29,3.9909,
2006-11-30,4.0136,
2006-12-01,4.0235,
2006-12-02,.,No value available
2006-12-03,.,No value available
2006-12-04,4.0238,
2006-12-05,4.0178,
2006-12-06,4.0123,
2006-12-07,4.0115,
2006-12-08,.,No value available
2006-12-09,.,No value available
2006-12-10,.,No value available
2006-12-11,4.0033,
2006-12-12,3.9884,
2006-12-13,3.9869,
2006-12-14,3.9693,
2006-12-15,3.9423,
2006-12-16,.,No value available
2006-12-17,.,No value available
2006-12-18,3.9438,
2006-12-19,3.9810,
2006-12-20,3.9695,
2006-12-21,3.9579,
2006-12-22,3.9613,
2006-12-23,.,No value available
2006-12-24,.,No value available
2006-12-25,.,No value available
2006-12-26,3.9711,
2006-12-27,3.9841,
2006-12-28,3.9922,
2006-12-29,3.9860,
2006-12-30,.,No value available
2006-12-31,.,No value available
2007-01-01,.,No value available
2007-01-02,4.0088,
2007-01-03,3.9721,
2007-01-04,3.9701,
2007-01-05,3.9488,
2007-01-06,.,No value available
2007-01-07,.,No value available
2007-01-08,3.9607,
2007-01-09,3.9553,
2007-01-10,3.9329,
2007-01-11,3.9231,
2007-01-12,3.9296,
2007-01-13,.,No value available
2007-01-14,.,No value available
2007-01-15,3.9294,
2007-01-16,3.9274,
2007-01-17,3.9349,
2007-01-18,3.9397,
2007-01-19,3.9488,
2007-01-20,.,No value available
2007-01-21,.,No value available
2007-01-22,3.9563,
2007-01-23,3.9830,
2007-01-24,3.9584,
2007-01-25,3.9678,
2007-01-26,3.9591,
2007-01-27,.,No value available
2007-01-28,.,No value available
2007-01-29,3.9737,
2007-01-30,3.9739,
2007-01-31,3.9889,
2007-02-01,3.9868,
2007-02-02,3.9639,
2007-02-03,.,No value available
2007-02-04,.,No value available
2007-02-05,3.9605,
2007-02-06,3.9699,
2007-02-07,3.9849,
2007-02-08,3.9946,
2007-02-09,3.9864,
2007-02-10,.,No value available
2007-02-11,.,No value available
2007-02-12,3.9716,
2007-02-13,3.9883,
2007-02-14,4.0136,
2007-02-15,4.0196,
2007-02-16,4.0253,
2007-02-17,.,No value available
2007-02-18,.,No value available
2007-02-19,4.0275,
2007-02-20,4.0233,
2007-02-21,4.0244,
2007-02-22,4.0215,
2007-02-23,4.0353,
2007-02-24,.,No value available
2007-02-25,.,No value available
2007-02-26,4.0309,
2007-02-27,4.0540,
2007-02-28,4.0465,
2007-03-01,4.0270,
2007-03-02,4.0343,
2007-03-03,.,No value available
2007-03-04,.,No value available
2007-03-05,4.0085,
2007-03-06,4.0147,
2007-03-07,4.0279,
2007-03-08,4.0253,
2007-03-09,4.0201,
2007-03-10,.,No value available
2007-03-11,.,No value available
2007-03-12,4.0370,
2007-03-13,4.0430,
2007-03-14,4.0433,
2007-03-15,4.0460,
2007-03-16,4.0733,
2007-03-17,.,No value available
2007-03-18,.,No value available
2007-03-19,4.0661,
2007-03-20,4.0700,
2007-03-21,4.0695,
2007-03-22,4.0737,
2007-03-23,4.0700,
2007-03-24,.,No value available
2007-03-25,.,No value available
2007-03-26,4.0858,
2007-03-27,4.0916,
2007-03-28,4.0849,
2007-03-29,4.0835,
2007-03-30,4.0915,
2007-03-31,.,No value available
2007-04-01,.,No value available
2007-04-02,.,No value available
2007-04-03,4.0837,
2007-04-04,4.0903,
2007-04-05,.,No value available
2007-04-06,.,No value available
2007-04-07,.,No value available
2007-04-08,.,No value available
2007-04-09,4.0799,
2007-04-10,4.1009,
2007-04-11,4.0966,
2007-04-12,4.1022,
2007-04-13,4.1257,
2007-04-14,.,No value available
2007-04-15,.,No value available
2007-04-16,4.1284,
2007-04-17,4.1284,
2007-04-18,4.1327,
2007-04-19,4.1447,
2007-04-20,4.1441,
2007-04-21,.,No value available
2007-04-22,.,No value available
2007-04-23,4.1309,
2007-04-24,4.1449,
2007-04-25,4.1557,
2007-04-26,4.1468,
2007-04-27,4.1568,
2007-04-28,.,No value available
2007-04-29,.,No value available
2007-04-30,4.1663,
2007-05-01,.,No value available
2007-05-02,4.1400,
2007-05-03,4.1286,
2007-05-04,4.1373,
2007-05-05,.,No value available
2007-05-06,.,No value available
2007-05-07,4.1362,
2007-05-08,4.1162,
2007-05-09,4.1166,
2007-05-10,4.0965,
2007-05-11,4.1098,
2007-05-12,.,No value available
2007-05-13,.,No value available
2007-05-14,4.1147,
2007-05-15,4.1271,
2007-05-16,4.1030,
2007-05-17,4.0948,
2007-05-18,4.1034,
2007-05-19,.,No value available
2007-05-20,.,No value available
2007-05-21,4.0869,
2007-05-22,4.0864,
2007-05-23,4.0944,
2007-05-24,4.0905,
2007-05-25,.,No value available
2007-05-26,.,No value available
2007-05-27,.,No value available
2007-05-28,4.0934,
2007-05-29,4.0929,
2007-05-30,4.0785,
2007-05-31,4.0832,
2007-06-01,4.0774,
2007-06-02,.,No value available
2007-06-03,.,No value available
2007-06-04,4.0859,
2007-06-05,4.1057,
2007-06-06,4.0992,
2007-06-07,4.0787,
2007-06-08,4.0531,
2007-06-09,.,No value available
2007-06-10,.,No value available
2007-06-11,4.0526,
2007-06-12,4.0416,
2007-06-13,4.0319,
2007-06-14,4.0365,
2007-06-15,4.0629,
2007-06-16,.,No value available
2007-06-17,.,No value available
2007-06-18,.,No value available
2007-06-19,4.0725,
2007-06-20,4.0771,
2007-06-21,4.0738,
2007-06-22,4.0942,
2007-06-23,.,No value available
2007-06-24,.,No value available
2007-06-25,4.0966,
2007-06-26,4.1050,
2007-06-27,4.1012,
2007-06-28,4.1023,
2007-06-29,4.1298,
2007-06-30,.,No value available
2007-07-01,.,No value available
2007-07-02,4.1561,
2007-07-03,4.1527,
2007-07-04,4.1541,
2007-07-05,4.1651,
2007-07-06,4.1751,
2007-07-07,.,No value available
2007-07-08,.,No value available
2007-07-09,.,No value available
2007-07-10,4.1991,
2007-07-11,4.2125,
2007-07-12,4.2185,
2007-07-13,4.2179,
2007-07-14,.,No value available
2007-07-15,.,No value available
2007-07-16,4.2187,
2007-07-17,4.2181,
2007-07-18,4.2289,
2007-07-19,4.2317,
2007-07-20,4.2563,
2007-07-21,.,No value available
2007-07-22,.,No value available
2007-07-23,4.2578,
2007-07-24,4.3100,
2007-07-25,4.3040,
2007-07-26,4.2613,
2007-07-27,4.2012,
2007-07-28,.,No value available
2007-07-29,.,No value available
2007-07-30,4.2186,
2007-07-31,4.2173,
2007-08-01,4.2247,
2007-08-02,4.2430,
2007-08-03,4.2729,
2007-08-04,.,No value available
2007-08-05,.,No value available
2007-08-06,4.2740,
2007-08-07,4.2626,
2007-08-08,4.2680,
2007-08-09,4.2468,
2007-08-10,4.2580,
2007-08-11,.,No value available
2007-08-12,.,No value available
2007-08-13,4.2273,
2007-08-14,4.2159,
2007-08-15,4.1925,
2007-08-16,4.1783,
2007-08-17,4.2066,
2007-08-18,.,No value available
2007-08-19,.,No value available
2007-08-20,.,No value available
2007-08-21,4.2011,
2007-08-22,4.2322,
2007-08-23,4.2551,
2007-08-24,4.2796,
2007-08-25,.,No value available
2007-08-26,.,No value available
2007-08-27,4.2709,
2007-08-28,4.2571,
2007-08-29,4.2669,
2007-08-30,4.2573,
2007-08-31,4.2468,
2007-09-01,.,No value available
2007-09-02,.,No value available
2007-09-03,4.2506,
2007-09-04,4.2519,
2007-09-05,4.2693,
2007-09-06,4.2746,
2007-09-07,4.2993,
2007-09-08,.,No value available
2007-09-09,.,No value available
2007-09-10,4.3042,
2007-09-11,4.2960,
2007-09-12,4.3064,
2007-09-13,4.2943,
2007-09-14,4.2940,
2007-09-15,.,No value available
2007-09-16,.,No value available
2007-09-17,4.2897,
2007-09-18,4.2997,
2007-09-19,4.3150,
2007-09-20,4.3604,
2007-09-21,4.3703,
2007-09-22,.,No value available
2007-09-23,.,No value available
2007-09-24,4.3740,
2007-09-25,4.3952,
2007-09-26,4.3913,
2007-09-27,4.4000,
2007-09-28,4.4355,
2007-09-29,.,No value available
2007-09-30,.,No value available
2007-10-01,4.4260,
2007-10-02,4.3972,
2007-10-03,4.3918,
2007-10-04,4.4015,
2007-10-05,4.4045,
2007-10-06,.,No value available
2007-10-07,.,No value available
2007-10-08,4.3791,
2007-10-09,4.4028,
2007-10-10,4.4042,
2007-10-11,4.4303,
2007-10-12,4.4187,
2007-10-13,.,No value available
2007-10-14,.,No value available
2007-10-15,.,No value available
2007-10-16,4.4182,
2007-10-17,4.4184,
2007-10-18,4.4604,
2007-10-19,4.4546,
2007-10-20,.,No value available
2007-10-21,.,No value available
2007-10-22,4.4288,
2007-10-23,4.4620,
2007-10-24,4.4684,
2007-10-25,4.4947,
2007-10-26,4.5039,
2007-10-27,.,No value available
2007-10-28,.,No value available
2007-10-29,4.4956,
2007-10-30,4.4852,
2007-10-31,4.4867,
2007-11-01,4.4679,
2007-11-02,4.4855,
2007-11-03,.,No value available
2007-11-04,.,No value available
2007-11-05,4.4762,
2007-11-06,.,No value available
2007-11-07,4.5219,
2007-11-08,4.5349,
2007-11-09,4.5331,
2007-11-10,.,No value available
2007-11-11,.,No value available
2007-11-12,4.4964,
2007-11-13,4.5165,
2007-11-14,4.5304,
2007-11-15,4.5113,
2007-11-16,4.5335,
2007-11-17,.,No value available
2007-11-18,.,No value available
2007-11-19,4.5299,
2007-11-20,4.5706,
2007-11-21,4.5964,
2007-11-22,4.6028,
2007-11-23,4.6011,
2007-11-24,.,No value available
2007-11-25,.,No value available
2007-11-26,4.6086,
2007-11-27,4.6072,
2007-11-28,4.5911,
2007-11-29,4.5846,
2007-11-30,4.5634,
2007-12-01,.,No value available
2007-12-02,.,No value available
2007-12-03,4.5450,
2007-12-04,4.5688,
2007-12-05,4.5350,
2007-12-06,4.5281,
2007-12-07,4.5410,
2007-12-08,.,No value available
2007-12-09,.,No value available
2007-12-10,4.5615,
2007-12-11,4.5565,
2007-12-12,4.5521,
2007-12-13,4.5317,
2007-12-14,4.4811,
2007-12-15,.,No value available
