"",BBEX3.D.RUB.EUR.BB.AC.000,BBEX3.D.RUB.EUR.BB.AC.000_FLAGS
2001-11-27,26.3110,
2001-11-28,26.4442,
2001-11-29,26.6119,
2001-11-30,26.6481,
2001-12-01,.,No value available
2001-12-02,.,No value available
2001-12-03,26.7519,
2001-12-04,26.6756,
2001-12-05,26.7087,
2001-12-06,26.6152,
2001-12-07,26.7978,
2001-12-08,.,No value available
2001-12-09,.,No value available
2001-12-10,26.6389,
2001-12-11,26.8088,
2001-12-12,26.8796,
2001-12-13,26.9908,
2001-12-14,27.3727,
2001-12-15,.,No value available
2001-12-16,.,No value available
2001-12-17,27.5286,
2001-12-18,27.3349,
2001-12-19,27.2133,
2001-12-20,27.1782,
2001-12-21,27.0078,
2001-12-22,.,No value available
2001-12-23,.,No value available
2001-12-24,26.5701,
2001-12-25,.,No value available
2001-12-26,.,No value available
2001-12-27,26.6031,
2001-12-28,26.8631,
2001-12-29,.,No value available
2001-12-30,.,No value available
2001-12-31,.,No value available
2002-01-01,.,No value available
2002-01-02,27.5873,
2002-01-03,27.6753,
2002-01-04,27.3502,
2002-01-05,.,No value available
2002-01-06,.,No value available
2002-01-07,27.2108,
2002-01-08,27.2719,
2002-01-09,27.2575,
2002-01-10,27.1998,
2002-01-11,27.1955,
2002-01-12,.,No value available
2002-01-13,.,No value available
2002-01-14,27.1959,
2002-01-15,27.2492,
2002-01-16,26.9156,
2002-01-17,26.9724,
2002-01-18,26.9454,
2002-01-19,.,No value available
2002-01-20,.,No value available
2002-01-21,27.0672,
2002-01-22,27.0173,
2002-01-23,27.0757,
2002-01-24,26.8437,
2002-01-25,26.5344,
2002-01-26,.,No value available
2002-01-27,.,No value available
2002-01-28,26.2758,
2002-01-29,26.4360,
2002-01-30,26.5442,
2002-01-31,26.5273,
2002-02-01,26.5286,
2002-02-02,.,No value available
2002-02-03,.,No value available
2002-02-04,26.5831,
2002-02-05,26.6945,
2002-02-06,26.6499,
2002-02-07,26.6604,
2002-02-08,26.9501,
2002-02-09,.,No value available
2002-02-10,.,No value available
2002-02-11,27.1247,
2002-02-12,27.0287,
2002-02-13,26.9590,
2002-02-14,26.8355,
2002-02-15,26.8972,
2002-02-16,.,No value available
2002-02-17,.,No value available
2002-02-18,26.9034,
2002-02-19,26.8714,
2002-02-20,27.0121,
2002-02-21,26.8633,
2002-02-22,27.0505,
2002-02-23,.,No value available
2002-02-24,.,No value available
2002-02-25,27.0102,
2002-02-26,26.8630,
2002-02-27,26.7870,
2002-02-28,26.8261,
2002-03-01,26.9297,
2002-03-02,.,No value available
2002-03-03,.,No value available
2002-03-04,26.8215,
2002-03-05,26.9301,
2002-03-06,27.0637,
2002-03-07,27.2191,
2002-03-08,27.2885,
2002-03-09,.,No value available
2002-03-10,.,No value available
2002-03-11,27.1209,
2002-03-12,27.1511,
2002-03-13,27.1518,
2002-03-14,27.4172,
2002-03-15,27.5582,
2002-03-16,.,No value available
2002-03-17,.,No value available
2002-03-18,27.3935,
2002-03-19,27.4602,
2002-03-20,27.4781,
2002-03-21,27.4835,
2002-03-22,27.4279,
2002-03-23,.,No value available
2002-03-24,.,No value available
2002-03-25,27.3172,
2002-03-26,27.2171,
2002-03-27,27.2117,
2002-03-28,27.1460,
2002-03-29,.,No value available
2002-03-30,.,No value available
2002-03-31,.,No value available
2002-04-01,.,No value available
2002-04-02,27.4061,
2002-04-03,27.4845,
2002-04-04,27.5278,
2002-04-05,27.4486,
2002-04-06,.,No value available
2002-04-07,.,No value available
2002-04-08,27.4033,
2002-04-09,27.3651,
2002-04-10,27.4688,
2002-04-11,27.4524,
2002-04-12,27.4814,
2002-04-13,.,No value available
2002-04-14,.,No value available
2002-04-15,27.4388,
2002-04-16,27.4233,
2002-04-17,27.6919,
2002-04-18,27.7467,
2002-04-19,27.7061,
2002-04-20,.,No value available
2002-04-21,.,No value available
2002-04-22,27.6899,
2002-04-23,27.6656,
2002-04-24,27.7128,
2002-04-25,28.0097,
2002-04-26,28.0097,
2002-04-27,.,No value available
2002-04-28,.,No value available
2002-04-29,28.2388,
2002-04-30,28.1475,
2002-05-01,.,No value available
2002-05-02,28.2176,
2002-05-03,28.3691,
2002-05-04,.,No value available
2002-05-05,.,No value available
2002-05-06,28.5494,
2002-05-07,28.5136,
2002-05-08,28.3707,
2002-05-09,28.3113,
2002-05-10,28.4831,
2002-05-11,.,No value available
2002-05-12,.,No value available
2002-05-13,28.5032,
2002-05-14,28.3344,
2002-05-15,28.2328,
2002-05-16,28.5570,
2002-05-17,28.6258,
2002-05-18,.,No value available
2002-05-19,.,No value available
2002-05-20,28.7522,
2002-05-21,28.8022,
2002-05-22,28.9595,
2002-05-23,28.8496,
2002-05-24,28.7786,
2002-05-25,.,No value available
2002-05-26,.,No value available
2002-05-27,28.7739,
2002-05-28,29.0006,
2002-05-29,29.2027,
2002-05-30,29.3656,
2002-05-31,29.4048,
2002-06-01,.,No value available
2002-06-02,.,No value available
2002-06-03,29.1963,
2002-06-04,29.5957,
2002-06-05,29.4460,
2002-06-06,29.4940,
2002-06-07,29.7029,
2002-06-08,.,No value available
2002-06-09,.,No value available
2002-06-10,29.7460,
2002-06-11,29.6265,
2002-06-12,29.7281,
2002-06-13,29.5961,
2002-06-14,29.7919,
2002-06-15,.,No value available
2002-06-16,.,No value available
2002-06-17,29.6238,
2002-06-18,29.8351,
2002-06-19,30.0726,
2002-06-20,30.1825,
2002-06-21,30.3763,
2002-06-22,.,No value available
2002-06-23,.,No value available
2002-06-24,30.8279,
2002-06-25,30.5758,
2002-06-26,31.2077,
2002-06-27,30.9449,
2002-06-28,31.4444,
2002-06-29,.,No value available
2002-06-30,.,No value available
2002-07-01,31.2192,
2002-07-02,31.0088,
2002-07-03,30.8484,
2002-07-04,30.8650,
2002-07-05,30.7078,
2002-07-06,.,No value available
2002-07-07,.,No value available
2002-07-08,31.0198,
2002-07-09,31.3531,
2002-07-10,31.1968,
2002-07-11,31.1108,
2002-07-12,31.1637,
2002-07-13,.,No value available
2002-07-14,.,No value available
2002-07-15,31.5956,
2002-07-16,31.9468,
2002-07-17,31.8096,
2002-07-18,31.7427,
2002-07-19,32.0267,
2002-07-20,.,No value available
2002-07-21,.,No value available
2002-07-22,31.8293,
2002-07-23,31.2341,
2002-07-24,31.2838,
2002-07-25,31.5863,
2002-07-26,31.5428,
2002-07-27,.,No value available
2002-07-28,.,No value available
2002-07-29,30.9645,
2002-07-30,31.0027,
2002-07-31,30.8443,
2002-08-01,30.7855,
2002-08-02,31.1857,
2002-08-03,.,No value available
2002-08-04,.,No value available
2002-08-05,31.0498,
2002-08-06,30.5838,
2002-08-07,30.6140,
2002-08-08,30.6261,
2002-08-09,30.7416,
2002-08-10,.,No value available
2002-08-11,.,No value available
2002-08-12,30.9031,
2002-08-13,30.9339,
2002-08-14,31.1409,
2002-08-15,30.9288,
2002-08-16,31.0304,
2002-08-17,.,No value available
2002-08-18,.,No value available
2002-08-19,30.9398,
2002-08-20,30.9104,
2002-08-21,30.8764,
2002-08-22,30.8619,
2002-08-23,30.6414,
2002-08-24,.,No value available
2002-08-25,.,No value available
2002-08-26,30.6333,
2002-08-27,30.8626,
2002-08-28,31.0459,
2002-08-29,31.1360,
2002-08-30,31.0778,
2002-08-31,.,No value available
2002-09-01,.,No value available
2002-09-02,31.0521,
2002-09-03,31.3546,
2002-09-04,31.4658,
2002-09-05,31.5500,
2002-09-06,31.3921,
2002-09-07,.,No value available
2002-09-08,.,No value available
2002-09-09,30.9890,
2002-09-10,30.9020,
2002-09-11,30.8555,
2002-09-12,30.8990,
2002-09-13,31.0822,
2002-09-14,.,No value available
2002-09-15,.,No value available
2002-09-16,30.6403,
2002-09-17,30.5421,
2002-09-18,30.7924,
2002-09-19,31.0381,
2002-09-20,30.9985,
2002-09-21,.,No value available
2002-09-22,.,No value available
2002-09-23,31.1102,
2002-09-24,31.0765,
2002-09-25,30.9025,
2002-09-26,31.0009,
2002-09-27,30.9976,
2002-09-28,.,No value available
2002-09-29,.,No value available
2002-09-30,31.2748,
2002-10-01,31.2744,
2002-10-02,31.1955,
2002-10-03,31.3628,
2002-10-04,31.2673,
2002-10-05,.,No value available
2002-10-06,.,No value available
2002-10-07,31.0725,
2002-10-08,31.0276,
2002-10-09,31.1036,
2002-10-10,31.2811,
2002-10-11,31.2367,
2002-10-12,.,No value available
2002-10-13,.,No value available
2002-10-14,31.2716,
2002-10-15,31.0608,
2002-10-16,31.1454,
2002-10-17,30.9540,
2002-10-18,30.8691,
2002-10-19,.,No value available
2002-10-20,.,No value available
2002-10-21,30.9535,
2002-10-22,31.0043,
2002-10-23,31.0122,
2002-10-24,30.9097,
2002-10-25,30.9937,
2002-10-26,.,No value available
2002-10-27,.,No value available
2002-10-28,30.9511,
2002-10-29,31.1667,
2002-10-30,31.2064,
2002-10-31,31.3255,
2002-11-01,31.6801,
2002-11-02,.,No value available
2002-11-03,.,No value available
2002-11-04,31.6308,
2002-11-05,31.8903,
2002-11-06,31.6754,
2002-11-07,31.8456,
2002-11-08,32.1319,
2002-11-09,.,No value available
2002-11-10,.,No value available
2002-11-11,32.2574,
2002-11-12,32.1030,
2002-11-13,32.0539,
2002-11-14,32.1416,
2002-11-15,31.9395,
2002-11-16,.,No value available
2002-11-17,.,No value available
2002-11-18,32.0541,
2002-11-19,32.2336,
2002-11-20,31.8869,
2002-11-21,31.9041,
2002-11-22,31.9448,
2002-11-23,.,No value available
2002-11-24,.,No value available
2002-11-25,31.5649,
2002-11-26,31.5681,
2002-11-27,31.6229,
2002-11-28,31.6752,
2002-11-29,31.6213,
2002-11-30,.,No value available
2002-12-01,.,No value available
2002-12-02,31.4727,
2002-12-03,31.7589,
2002-12-04,31.9176,
2002-12-05,31.8921,
2002-12-06,31.8774,
2002-12-07,.,No value available
2002-12-08,.,No value available
2002-12-09,32.1651,
2002-12-10,32.2267,
2002-12-11,32.1017,
2002-12-12,32.3526,
2002-12-13,32.5708,
2002-12-14,.,No value available
2002-12-15,.,No value available
2002-12-16,32.5351,
2002-12-17,32.8481,
2002-12-18,32.6826,
2002-12-19,32.7397,
2002-12-20,32.6454,
2002-12-21,.,No value available
2002-12-22,.,No value available
2002-12-23,32.7028,
2002-12-24,32.7603,
2002-12-25,.,No value available
2002-12-26,.,No value available
2002-12-27,33.0348,
2002-12-28,.,No value available
2002-12-29,.,No value available
2002-12-30,33.2854,
2002-12-31,33.5108,
2003-01-01,.,No value available
2003-01-02,33.4085,
2003-01-03,33.2136,
2003-01-04,.,No value available
2003-01-05,.,No value available
2003-01-06,33.4263,
2003-01-07,33.2429,
2003-01-08,33.0881,
2003-01-09,33.4833,
2003-01-10,33.4395,
2003-01-11,.,No value available
2003-01-12,.,No value available
2003-01-13,33.5483,
2003-01-14,33.6772,
2003-01-15,33.5038,
2003-01-16,33.6253,
2003-01-17,33.8953,
2003-01-18,.,No value available
2003-01-19,.,No value available
2003-01-20,33.8846,
2003-01-21,33.9027,
2003-01-22,34.0414,
2003-01-23,34.2233,
2003-01-24,34.3054,
2003-01-25,.,No value available
2003-01-26,.,No value available
2003-01-27,34.5584,
2003-01-28,34.3871,
2003-01-29,34.5848,
2003-01-30,34.2190,
2003-01-31,34.4580,
2003-02-01,.,No value available
2003-02-02,.,No value available
2003-02-03,34.1559,
2003-02-04,34.4594,
2003-02-05,34.7166,
2003-02-06,34.4296,
2003-02-07,34.3559,
2003-02-08,.,No value available
2003-02-09,.,No value available
2003-02-10,34.3700,
2003-02-11,33.9879,
2003-02-12,33.9704,
2003-02-13,34.0448,
2003-02-14,34.1812,
2003-02-15,.,No value available
2003-02-16,.,No value available
2003-02-17,33.8363,
2003-02-18,33.8117,
2003-02-19,33.8320,
2003-02-20,33.9134,
2003-02-21,34.1944,
2003-02-22,.,No value available
2003-02-23,.,No value available
2003-02-24,33.8210,
2003-02-25,34.0484,
2003-02-26,33.9629,
2003-02-27,34.1764,
2003-02-28,34.0543,
2003-03-01,.,No value available
2003-03-02,.,No value available
2003-03-03,34.1273,
2003-03-04,34.4756,
2003-03-05,34.6353,
2003-03-06,34.6189,
2003-03-07,34.8475,
2003-03-08,.,No value available
2003-03-09,.,No value available
2003-03-10,34.8373,
2003-03-11,34.8718,
2003-03-12,34.6641,
2003-03-13,34.0875,
2003-03-14,33.8254,
2003-03-15,.,No value available
2003-03-16,.,No value available
2003-03-17,33.9028,
2003-03-18,33.2770,
2003-03-19,33.1722,
2003-03-20,33.3038,
2003-03-21,33.2014,
2003-03-22,.,No value available
2003-03-23,.,No value available
2003-03-24,33.3684,
2003-03-25,33.5267,
2003-03-26,33.4733,
2003-03-27,33.6526,
2003-03-28,33.6683,
2003-03-29,.,No value available
2003-03-30,.,No value available
2003-03-31,34.1923,
2003-04-01,34.0752,
2003-04-02,33.8839,
2003-04-03,33.4489,
2003-04-04,33.5515,
2003-04-05,.,No value available
2003-04-06,.,No value available
2003-04-07,33.1131,
2003-04-08,33.3264,
2003-04-09,33.6050,
2003-04-10,33.7855,
2003-04-11,33.5962,
2003-04-12,.,No value available
2003-04-13,.,No value available
2003-04-14,33.4969,
2003-04-15,33.6340,
2003-04-16,33.7916,
2003-04-17,34.0764,
2003-04-18,.,No value available
2003-04-19,.,No value available
2003-04-20,.,No value available
2003-04-21,.,No value available
2003-04-22,34.1682,
2003-04-23,34.0354,
2003-04-24,34.2281,
2003-04-25,34.1500,
2003-04-26,.,No value available
2003-04-27,.,No value available
2003-04-28,34.2715,
2003-04-29,34.1143,
2003-04-30,34.6153,
2003-05-01,.,No value available
2003-05-02,34.9295,
2003-05-03,.,No value available
2003-05-04,.,No value available
2003-05-05,34.8973,
2003-05-06,35.3023,
2003-05-07,35.5166,
2003-05-08,35.5695,
2003-05-09,35.6547,
2003-05-10,.,No value available
2003-05-11,.,No value available
2003-05-12,35.9531,
2003-05-13,35.7013,
2003-05-14,35.6243,
2003-05-15,35.5080,
2003-05-16,35.5045,
2003-05-17,.,No value available
2003-05-18,.,No value available
2003-05-19,35.9801,
2003-05-20,35.9629,
2003-05-21,36.0942,
2003-05-22,36.0854,
2003-05-23,36.2198,
2003-05-24,.,No value available
2003-05-25,.,No value available
2003-05-26,36.2857,
2003-05-27,36.5447,
2003-05-28,35.9564,
2003-05-29,36.1404,
2003-05-30,36.2987,
2003-05-31,.,No value available
2003-06-01,.,No value available
2003-06-02,35.8233,
2003-06-03,36.0529,
2003-06-04,35.8792,
2003-06-05,36.0311,
2003-06-06,36.0311,
2003-06-07,.,No value available
2003-06-08,.,No value available
2003-06-09,35.8088,
2003-06-10,35.7346,
2003-06-11,35.8111,
2003-06-12,35.7917,
2003-06-13,35.8416,
2003-06-14,.,No value available
2003-06-15,.,No value available
2003-06-16,36.0429,
2003-06-17,35.8273,
2003-06-18,35.5413,
2003-06-19,35.4071,
2003-06-20,35.3381,
2003-06-21,.,No value available
2003-06-22,.,No value available
2003-06-23,35.0441,
2003-06-24,35.0607,
2003-06-25,35.0392,
2003-06-26,34.6645,
2003-06-27,34.6716,
2003-06-28,.,No value available
2003-06-29,.,No value available
2003-06-30,34.6882,
2003-07-01,34.9671,
2003-07-02,34.9165,
2003-07-03,34.7060,
2003-07-04,34.7417,
2003-07-05,.,No value available
2003-07-06,.,No value available
2003-07-07,34.4670,
2003-07-08,34.4524,
2003-07-09,34.4845,
2003-07-10,34.4652,
2003-07-11,34.4055,
2003-07-12,.,No value available
2003-07-13,.,No value available
2003-07-14,34.4604,
2003-07-15,34.5150,
2003-07-16,33.9698,
2003-07-17,34.2454,
2003-07-18,34.0950,
2003-07-19,.,No value available
2003-07-20,.,No value available
2003-07-21,34.2527,
2003-07-22,34.4070,
2003-07-23,34.6026,
2003-07-24,34.7873,
2003-07-25,34.7826,
2003-07-26,.,No value available
2003-07-27,.,No value available
2003-07-28,34.7425,
2003-07-29,34.6824,
2003-07-30,34.5613,
2003-07-31,34.2476,
2003-08-01,33.9703,
2003-08-02,.,No value available
2003-08-03,.,No value available
2003-08-04,34.3010,
2003-08-05,34.3270,
2003-08-06,34.5271,
2003-08-07,34.4538,
2003-08-08,34.4700,
2003-08-09,.,No value available
2003-08-10,.,No value available
2003-08-11,34.2630,
2003-08-12,34.3580,
2003-08-13,34.2571,
2003-08-14,34.2426,
2003-08-15,34.1358,
2003-08-16,.,No value available
2003-08-17,.,No value available
2003-08-18,33.9210,
2003-08-19,33.5522,
2003-08-20,33.6571,
2003-08-21,33.3985,
2003-08-22,32.9911,
2003-08-23,.,No value available
2003-08-24,.,No value available
2003-08-25,33.0140,
2003-08-26,32.8629,
2003-08-27,33.1912,
2003-08-28,33.0380,
2003-08-29,33.3607,
2003-08-30,.,No value available
2003-08-31,.,No value available
2003-09-01,33.4933,
2003-09-02,33.2049,
2003-09-03,33.0000,
2003-09-04,33.1973,
2003-09-05,33.5157,
2003-09-06,.,No value available
2003-09-07,.,No value available
2003-09-08,33.9234,
2003-09-09,34.1070,
2003-09-10,34.2397,
2003-09-11,34.3913,
2003-09-12,34.3098,
2003-09-13,.,No value available
2003-09-14,.,No value available
2003-09-15,34.6242,
2003-09-16,34.4976,
2003-09-17,34.3796,
2003-09-18,34.5312,
2003-09-19,34.5400,
2003-09-20,.,No value available
2003-09-21,.,No value available
2003-09-22,34.9625,
2003-09-23,34.9296,
2003-09-24,34.8865,
2003-09-25,35.0216,
2003-09-26,35.0909,
2003-09-27,.,No value available
2003-09-28,.,No value available
2003-09-29,34.9421,
2003-09-30,35.6702,
2003-10-01,35.6287,
2003-10-02,35.5919,
2003-10-03,35.5727,
2003-10-04,.,No value available
2003-10-05,.,No value available
2003-10-06,35.2764,
2003-10-07,35.7552,
2003-10-08,35.7719,
2003-10-09,35.6174,
2003-10-10,35.5041,
2003-10-11,.,No value available
2003-10-12,.,No value available
2003-10-13,35.3374,
2003-10-14,35.0794,
2003-10-15,35.1369,
2003-10-16,34.9559,
2003-10-17,34.8022,
2003-10-18,.,No value available
2003-10-19,.,No value available
2003-10-20,34.8515,
2003-10-21,34.8091,
2003-10-22,34.9941,
2003-10-23,35.2550,
2003-10-24,35.2224,
2003-10-25,.,No value available
2003-10-26,.,No value available
2003-10-27,35.3145,
2003-10-28,34.9419,
2003-10-29,34.8472,
2003-10-30,35.0513,
2003-10-31,34.7398,
2003-11-01,.,No value available
2003-11-02,.,No value available
2003-11-03,34.6237,
2003-11-04,34.2478,
2003-11-05,34.2098,
2003-11-06,34.1023,
2003-11-07,34.0291,
2003-11-08,.,No value available
2003-11-09,.,No value available
2003-11-10,34.2191,
2003-11-11,34.2617,
2003-11-12,34.6252,
2003-11-13,34.8515,
2003-11-14,35.0885,
2003-11-15,.,No value available
2003-11-16,.,No value available
2003-11-17,35.1656,
2003-11-18,35.1088,
2003-11-19,35.5142,
2003-11-20,35.5055,
2003-11-21,35.4623,
2003-11-22,.,No value available
2003-11-23,.,No value available
2003-11-24,35.1575,
2003-11-25,34.9966,
2003-11-26,35.1807,
2003-11-27,35.3945,
2003-11-28,35.6753,
2003-11-29,.,No value available
2003-11-30,.,No value available
2003-12-01,35.6930,
2003-12-02,35.5650,
2003-12-03,35.9532,
2003-12-04,35.8507,
2003-12-05,35.8095,
2003-12-06,.,No value available
2003-12-07,.,No value available
2003-12-08,36.1135,
2003-12-09,36.2065,
2003-12-10,36.1372,
2003-12-11,35.7992,
2003-12-12,36.0184,
2003-12-13,.,No value available
2003-12-14,.,No value available
2003-12-15,35.9330,
2003-12-16,36.1196,
2003-12-17,36.1137,
2003-12-18,36.2665,
2003-12-19,36.3871,
2003-12-20,.,No value available
2003-12-21,.,No value available
2003-12-22,36.3693,
2003-12-23,36.2369,
2003-12-24,36.2803,
2003-12-25,.,No value available
2003-12-26,.,No value available
2003-12-27,.,No value available
2003-12-28,.,No value available
2003-12-29,36.2803,
2003-12-30,36.5460,
2003-12-31,36.9555,
2004-01-01,.,No value available
2004-01-02,36.8117,
2004-01-03,.,No value available
2004-01-04,.,No value available
2004-01-05,37.0501,
2004-01-06,37.3075,
2004-01-07,37.0778,
2004-01-08,36.7567,
2004-01-09,36.8959,
2004-01-10,.,No value available
2004-01-11,.,No value available
2004-01-12,37.0439,
2004-01-13,36.8119,
2004-01-14,36.6591,
2004-01-15,36.5146,
2004-01-16,35.9582,
2004-01-17,.,No value available
2004-01-18,.,No value available
2004-01-19,35.6203,
2004-01-20,36.0842,
2004-01-21,36.2745,
2004-01-22,36.2745,
2004-01-23,36.1848,
2004-01-24,.,No value available
2004-01-25,.,No value available
2004-01-26,35.8245,
2004-01-27,35.6980,
2004-01-28,35.7880,
2004-01-29,35.5183,
2004-01-30,35.3349,
2004-01-31,.,No value available
2004-02-01,.,No value available
2004-02-02,35.6232,
2004-02-03,35.9765,
2004-02-04,35.7205,
2004-02-05,35.8947,
2004-02-06,35.7988,
2004-02-07,.,No value available
2004-02-08,.,No value available
2004-02-09,36.2470,
2004-02-10,36.3001,
2004-02-11,36.1515,
2004-02-12,36.4320,
2004-02-13,36.4691,
2004-02-14,.,No value available
2004-02-15,.,No value available
2004-02-16,36.3153,
2004-02-17,36.6336,
2004-02-18,36.5289,
2004-02-19,36.5289,
2004-02-20,36.0994,
2004-02-21,.,No value available
2004-02-22,.,No value available
2004-02-23,35.8528,
2004-02-24,35.8858,
2004-02-25,35.9966,
2004-02-26,35.4942,
2004-02-27,35.4108,
2004-02-28,.,No value available
2004-02-29,.,No value available
2004-03-01,35.6074,
2004-03-02,35.3986,
2004-03-03,34.7763,
2004-03-04,34.8241,
2004-03-05,34.8894,
2004-03-06,.,No value available
2004-03-07,.,No value available
2004-03-08,35.2752,
2004-03-09,35.3031,
2004-03-10,35.1413,
2004-03-11,35.0277,
2004-03-12,34.8888,
2004-03-13,.,No value available
2004-03-14,.,No value available
2004-03-15,34.9992,
2004-03-16,35.2116,
2004-03-17,34.9556,
2004-03-18,34.9706,
2004-03-19,35.1777,
2004-03-20,.,No value available
2004-03-21,.,No value available
2004-03-22,35.1973,
2004-03-23,34.9760,
2004-03-24,34.7237,
2004-03-25,34.5606,
2004-03-26,34.6667,
2004-03-27,.,No value available
2004-03-28,.,No value available
2004-03-29,34.5337,
2004-03-30,34.7511,
2004-03-31,34.8700,
2004-04-01,35.1154,
2004-04-02,35.1185,
2004-04-03,.,No value available
2004-04-04,.,No value available
2004-04-05,34.3853,
2004-04-06,34.4973,
2004-04-07,34.5407,
2004-04-08,34.5148,
2004-04-09,.,No value available
2004-04-10,.,No value available
2004-04-11,.,No value available
2004-04-12,.,No value available
2004-04-13,34.2854,
2004-04-14,34.1217,
2004-04-15,34.1081,
2004-04-16,34.1917,
2004-04-17,.,No value available
2004-04-18,.,No value available
2004-04-19,34.6152,
2004-04-20,34.3924,
2004-04-21,34.2277,
2004-04-22,34.3829,
2004-04-23,34.3596,
2004-04-24,.,No value available
2004-04-25,.,No value available
2004-04-26,34.2609,
2004-04-27,34.2947,
2004-04-28,34.4094,
2004-04-29,34.3219,
2004-04-30,34.6352,
2004-05-01,.,No value available
2004-05-02,.,No value available
2004-05-03,34.6769,
2004-05-04,34.9907,
2004-05-05,34.9977,
2004-05-06,35.0254,
2004-05-07,34.9433,
2004-05-08,.,No value available
2004-05-09,.,No value available
2004-05-10,34.2929,
2004-05-11,34.2271,
2004-05-12,34.4962,
2004-05-13,34.3680,
2004-05-14,34.3247,
2004-05-15,.,No value available
2004-05-16,.,No value available
2004-05-17,34.8427,
2004-05-18,34.7515,
2004-05-19,34.7459,
2004-05-20,34.5833,
2004-05-21,34.5833,
2004-05-22,.,No value available
2004-05-23,.,No value available
2004-05-24,34.7039,
2004-05-25,34.9721,
2004-05-26,35.0808,
2004-05-27,35.2955,
2004-05-28,35.5455,
2004-05-29,.,No value available
2004-05-30,.,No value available
2004-05-31,35.3870,
2004-06-01,35.5020,
2004-06-02,35.6908,
2004-06-03,35.5396,
2004-06-04,35.4390,
2004-06-05,.,No value available
2004-06-06,.,No value available
2004-06-07,35.7689,
2004-06-08,35.6825,
2004-06-09,35.2906,
2004-06-10,34.9713,
2004-06-11,34.8502,
2004-06-12,.,No value available
2004-06-13,.,No value available
2004-06-14,34.8520,
2004-06-15,34.9676,
2004-06-16,34.9832,
2004-06-17,34.9606,
2004-06-18,34.9570,
2004-06-19,.,No value available
2004-06-20,.,No value available
2004-06-21,35.1592,
2004-06-22,35.0956,
2004-06-23,35.0750,
2004-06-24,35.1825,
2004-06-25,35.2276,
2004-06-26,.,No value available
2004-06-27,.,No value available
2004-06-28,35.4364,
2004-06-29,35.3356,
2004-06-30,35.3300,
2004-07-01,35.3281,
2004-07-02,35.2564,
2004-07-03,.,No value available
2004-07-04,.,No value available
2004-07-05,35.6728,
2004-07-06,35.7542,
2004-07-07,35.9313,
2004-07-08,35.9558,
2004-07-09,36.0197,
2004-07-10,.,No value available
2004-07-11,.,No value available
2004-07-12,36.1104,
2004-07-13,36.0408,
2004-07-14,36.0247,
2004-07-15,35.9975,
2004-07-16,35.9313,
2004-07-17,.,No value available
2004-07-18,.,No value available
2004-07-19,36.0937,
2004-07-20,36.0231,
2004-07-21,35.7776,
2004-07-22,35.7025,
2004-07-23,35.4714,
2004-07-24,.,No value available
2004-07-25,.,No value available
2004-07-26,35.3760,
2004-07-27,35.3909,
2004-07-28,35.0082,
2004-07-29,35.0044,
2004-07-30,35.0393,
2004-07-31,.,No value available
2004-08-01,.,No value available
2004-08-02,35.1433,
2004-08-03,35.0833,
2004-08-04,34.9760,
2004-08-05,35.1796,
2004-08-06,35.2557,
2004-08-07,.,No value available
2004-08-08,.,No value available
2004-08-09,35.8133,
2004-08-10,35.9139,
2004-08-11,35.7872,
2004-08-12,35.8745,
2004-08-13,35.7226,
2004-08-14,.,No value available
2004-08-15,.,No value available
2004-08-16,36.0584,
2004-08-17,36.0509,
2004-08-18,36.0434,
2004-08-19,36.1178,
2004-08-20,35.9191,
2004-08-21,.,No value available
2004-08-22,.,No value available
2004-08-23,35.7923,
2004-08-24,35.4808,
2004-08-25,35.3221,
2004-08-26,35.3569,
2004-08-27,35.3380,
2004-08-28,.,No value available
2004-08-29,.,No value available
2004-08-30,35.2235,
2004-08-31,35.4368,
2004-09-01,35.5786,
2004-09-02,35.5802,
2004-09-03,35.5690,
2004-09-04,.,No value available
2004-09-05,.,No value available
2004-09-06,35.2631,
2004-09-07,35.3019,
2004-09-08,35.1712,
2004-09-09,35.6210,
2004-09-10,35.6970,
2004-09-11,.,No value available
2004-09-12,.,No value available
2004-09-13,35.7502,
2004-09-14,35.7668,
2004-09-15,35.7548,
2004-09-16,35.5244,
2004-09-17,35.6893,
2004-09-18,.,No value available
2004-09-19,.,No value available
2004-09-20,35.4507,
2004-09-21,35.8589,
2004-09-22,35.7829,
2004-09-23,35.9824,
2004-09-24,35.9555,
2004-09-25,.,No value available
2004-09-26,.,No value available
2004-09-27,35.7945,
2004-09-28,36.0443,
2004-09-29,36.0035,
2004-09-30,36.2637,
2004-10-01,36.2732,
2004-10-02,.,No value available
2004-10-03,.,No value available
2004-10-04,35.9140,
2004-10-05,35.9547,
2004-10-06,35.8935,
2004-10-07,35.9508,
2004-10-08,35.9853,
2004-10-09,.,No value available
2004-10-10,.,No value available
2004-10-11,36.0469,
2004-10-12,35.8623,
2004-10-13,35.7233,
2004-10-14,36.0423,
2004-10-15,36.1521,
2004-10-16,.,No value available
2004-10-17,.,No value available
2004-10-18,36.3247,
2004-10-19,36.4287,
2004-10-20,36.6610,
2004-10-21,36.7019,
2004-10-22,36.5094,
2004-10-23,.,No value available
2004-10-24,.,No value available
2004-10-25,36.9253,
2004-10-26,36.7112,
2004-10-27,36.8108,
2004-10-28,36.8108,
2004-10-29,36.6202,
2004-10-30,.,No value available
2004-10-31,.,No value available
2004-11-01,36.6803,
2004-11-02,36.5740,
