"",BBEX3.D.KRW.USD.CA.AB.000,BBEX3.D.KRW.USD.CA.AB.000_FLAGS
2005-05-13,1011.20,
2005-05-14,.,No value available
2005-05-15,.,No value available
2005-05-16,.,No value available
2005-05-17,1014.30,
2005-05-18,1015.00,
2005-05-19,1014.80,
2005-05-20,1014.20,
2005-05-21,.,No value available
2005-05-22,.,No value available
2005-05-23,1014.20,
2005-05-24,1010.60,
2005-05-25,1010.40,
2005-05-26,1011.50,
2005-05-27,1012.30,
2005-05-28,.,No value available
2005-05-29,.,No value available
2005-05-30,1012.30,
2005-05-31,1017.70,
2005-06-01,1020.60,
2005-06-02,1022.70,
2005-06-03,1017.60,
2005-06-04,.,No value available
2005-06-05,.,No value available
2005-06-06,.,No value available
2005-06-07,1016.00,
2005-06-08,1015.50,
2005-06-09,1014.00,
2005-06-10,1017.00,
2005-06-11,.,No value available
2005-06-12,.,No value available
2005-06-13,1022.10,
2005-06-14,1023.40,
2005-06-15,1022.10,
2005-06-16,1024.10,
2005-06-17,1019.10,
2005-06-18,.,No value available
2005-06-19,.,No value available
2005-06-20,1018.00,
2005-06-21,1023.30,
2005-06-22,1020.20,
2005-06-23,1020.50,
2005-06-24,1022.40,
2005-06-25,.,No value available
2005-06-26,.,No value available
2005-06-27,1022.20,
2005-06-28,1031.00,
2005-06-29,1036.10,
2005-06-30,1035.40,
2005-07-01,1041.50,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,1053.60,
2005-07-05,1063.30,
2005-07-06,1058.00,
2005-07-07,1062.80,
2005-07-08,1065.10,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,1053.90,
2005-07-12,1049.60,
2005-07-13,1047.00,
2005-07-14,1041.90,
2005-07-15,1052.30,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,1044.90,
2005-07-19,1050.00,
2005-07-20,1052.50,
2005-07-21,1045.60,
2005-07-22,1031.20,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,1032.70,
2005-07-26,1036.90,
2005-07-27,1041.10,
2005-07-28,1037.90,
2005-07-29,1036.80,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,1034.40,
2005-08-02,1030.30,
2005-08-03,1027.20,
2005-08-04,1021.50,
2005-08-05,1023.80,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,1025.90,
2005-08-09,1022.80,
2005-08-10,1024.60,
2005-08-11,1023.40,
2005-08-12,1023.70,
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,.,No value available
2005-08-16,1026.20,
2005-08-17,1027.90,
2005-08-18,1028.40,
2005-08-19,1035.50,
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,1032.60,
2005-08-23,1037.20,
2005-08-24,1037.80,
2005-08-25,1034.00,
2005-08-26,1038.70,
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,1041.30,
2005-08-30,1044.30,
2005-08-31,1048.50,
2005-09-01,1046.50,
2005-09-02,1036.40,
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,1032.50,
2005-09-06,1034.10,
2005-09-07,1036.00,
2005-09-08,1035.70,
2005-09-09,1037.10,
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,1034.90,
2005-09-13,1035.70,
2005-09-14,1035.20,
2005-09-15,1034.70,
2005-09-16,1037.80,
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,.,No value available
2005-09-20,1038.60,
2005-09-21,1041.60,
2005-09-22,1037.60,
2005-09-23,1041.00,
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,1044.80,
2005-09-27,1045.90,
2005-09-28,1047.40,
2005-09-29,1047.10,
2005-09-30,1051.20,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,.,No value available
2005-10-04,1051.20,
2005-10-05,1049.20,
2005-10-06,1052.10,
2005-10-07,1047.30,
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,1048.00,
2005-10-11,1051.90,
2005-10-12,1053.10,
2005-10-13,1057.30,
2005-10-14,1055.20,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,1057.50,
2005-10-18,1061.60,
2005-10-19,1065.10,
2005-10-20,1066.10,
2005-10-21,1067.60,
2005-10-22,.,No value available
2005-10-23,.,No value available
2005-10-24,1068.40,
2005-10-25,1065.30,
2005-10-26,1052.70,
2005-10-27,1053.50,
2005-10-28,1052.50,
2005-10-29,.,No value available
2005-10-30,.,No value available
2005-10-31,1050.30,
2005-11-01,1052.50,
2005-11-02,1049.60,
2005-11-03,1053.80,
2005-11-04,1058.10,
2005-11-05,.,No value available
2005-11-06,.,No value available
2005-11-07,1059.70,
2005-11-08,1058.60,
2005-11-09,1056.20,
2005-11-10,1057.50,
2005-11-11,1051.60,
2005-11-12,.,No value available
2005-11-13,.,No value available
2005-11-14,1048.10,
2005-11-15,1044.60,
2005-11-16,1047.40,
2005-11-17,1046.00,
2005-11-18,1046.20,
2005-11-19,.,No value available
2005-11-20,.,No value available
2005-11-21,1049.40,
2005-11-22,1054.70,
2005-11-23,1046.90,
2005-11-24,1048.00,
2005-11-25,1051.40,
2005-11-26,.,No value available
2005-11-27,.,No value available
2005-11-28,1048.60,
2005-11-29,1046.40,
2005-11-30,1043.60,
2005-12-01,1044.80,
2005-12-02,1048.60,
2005-12-03,.,No value available
2005-12-04,.,No value available
2005-12-05,1046.50,
2005-12-06,1044.30,
2005-12-07,1045.50,
2005-12-08,1044.50,
2005-12-09,1043.90,
2005-12-10,.,No value available
2005-12-11,.,No value available
2005-12-12,1043.80,
2005-12-13,1036.00,
2005-12-14,1026.30,
2005-12-15,1023.90,
2005-12-16,1026.10,
2005-12-17,.,No value available
2005-12-18,.,No value available
2005-12-19,1027.60,
2005-12-20,1026.40,
2005-12-21,1028.20,
2005-12-22,1027.50,
2005-12-23,1023.40,
2005-12-24,.,No value available
2005-12-25,.,No value available
2005-12-26,1021.70,
2005-12-27,1022.40,
2005-12-28,1022.50,
2005-12-29,1021.50,
2005-12-30,1014.30,
2005-12-31,.,No value available
2006-01-01,.,No value available
2006-01-02,1017.80,
2006-01-03,1015.20,
2006-01-04,1008.10,
2006-01-05,996.90,
2006-01-06,997.70,
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,987.00,
2006-01-10,991.70,
2006-01-11,994.30,
2006-01-12,983.50,
2006-01-13,997.40,
2006-01-14,.,No value available
2006-01-15,.,No value available
2006-01-16,992.10,
2006-01-17,995.90,
2006-01-18,1001.80,
2006-01-19,994.60,
2006-01-20,996.40,
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,990.90,
2006-01-24,985.00,
2006-01-25,978.30,
2006-01-26,978.40,
2006-01-27,980.30,
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,.,No value available
2006-01-31,974.00,
2006-02-01,970.40,
2006-02-02,981.50,
2006-02-03,979.80,
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,972.00,
2006-02-07,977.20,
2006-02-08,980.30,
2006-02-09,982.30,
2006-02-10,977.20,
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,986.30,
2006-02-14,979.40,
2006-02-15,983.50,
2006-02-16,984.10,
2006-02-17,982.30,
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,977.10,
2006-02-21,978.00,
2006-02-22,984.00,
2006-02-23,978.50,
2006-02-24,975.80,
2006-02-25,.,No value available
2006-02-26,.,No value available
2006-02-27,978.40,
2006-02-28,980.40,
2006-03-01,980.40,
2006-03-02,978.50,
2006-03-03,980.80,
2006-03-04,.,No value available
2006-03-05,.,No value available
2006-03-06,984.40,
2006-03-07,986.10,
2006-03-08,991.70,
2006-03-09,991.80,
2006-03-10,989.80,
2006-03-11,.,No value available
2006-03-12,.,No value available
2006-03-13,990.50,
2006-03-14,986.50,
2006-03-15,984.30,
2006-03-16,984.50,
2006-03-17,980.70,
2006-03-18,.,No value available
2006-03-19,.,No value available
2006-03-20,976.50,
2006-03-21,977.80,
2006-03-22,983.10,
2006-03-23,985.10,
2006-03-24,988.70,
2006-03-25,.,No value available
2006-03-26,.,No value available
2006-03-27,985.20,
2006-03-28,986.30,
2006-03-29,985.00,
2006-03-30,985.60,
2006-03-31,981.10,
2006-04-01,.,No value available
2006-04-02,.,No value available
2006-04-03,980.30,
2006-04-04,972.60,
2006-04-05,966.60,
2006-04-06,963.00,
2006-04-07,962.50,
2006-04-08,.,No value available
2006-04-09,.,No value available
2006-04-10,962.90,
2006-04-11,964.00,
2006-04-12,969.80,
2006-04-13,970.90,
2006-04-14,967.70,
2006-04-15,.,No value available
2006-04-16,.,No value available
2006-04-17,964.90,
2006-04-18,963.10,
2006-04-19,954.80,
2006-04-20,957.70,
2006-04-21,957.80,
2006-04-22,.,No value available
2006-04-23,.,No value available
2006-04-24,949.00,
2006-04-25,954.30,
2006-04-26,955.70,
2006-04-27,954.10,
2006-04-28,952.60,
2006-04-29,.,No value available
2006-04-30,.,No value available
2006-05-01,.,No value available
2006-05-02,949.30,
2006-05-03,943.40,
2006-05-04,948.80,
2006-05-05,.,No value available
2006-05-06,.,No value available
2006-05-07,.,No value available
2006-05-08,937.00,
2006-05-09,941.10,
2006-05-10,938.70,
2006-05-11,944.70,
2006-05-12,941.80,
2006-05-13,.,No value available
2006-05-14,.,No value available
2006-05-15,952.80,
2006-05-16,954.10,
2006-05-17,946.00,
2006-05-18,956.20,
2006-05-19,955.50,
2006-05-20,.,No value available
2006-05-21,.,No value available
2006-05-22,961.60,
2006-05-23,953.00,
2006-05-24,959.00,
2006-05-25,958.40,
2006-05-26,954.80,
2006-05-27,.,No value available
2006-05-28,.,No value available
2006-05-29,956.60,
2006-05-30,954.80,
2006-05-31,.,No value available
2006-06-01,956.50,
2006-06-02,957.20,
2006-06-03,.,No value available
2006-06-04,.,No value available
2006-06-05,952.20,
2006-06-06,.,No value available
2006-06-07,957.40,
2006-06-08,962.70,
2006-06-09,963.70,
2006-06-10,.,No value available
2006-06-11,.,No value available
2006-06-12,966.10,
2006-06-13,971.20,
2006-06-14,971.40,
2006-06-15,968.90,
2006-06-16,965.10,
2006-06-17,.,No value available
2006-06-18,.,No value available
2006-06-19,970.70,
2006-06-20,965.90,
2006-06-21,965.10,
2006-06-22,964.40,
2006-06-23,965.40,
2006-06-24,.,No value available
2006-06-25,.,No value available
2006-06-26,969.00,
2006-06-27,968.10,
2006-06-28,967.00,
2006-06-29,969.90,
2006-06-30,958.10,
2006-07-01,.,No value available
2006-07-02,.,No value available
2006-07-03,954.10,
2006-07-04,952.60,
2006-07-05,955.90,
2006-07-06,958.80,
2006-07-07,957.10,
2006-07-08,.,No value available
2006-07-09,.,No value available
2006-07-10,951.20,
2006-07-11,956.00,
2006-07-12,958.00,
2006-07-13,958.50,
2006-07-14,963.10,
2006-07-15,.,No value available
2006-07-16,.,No value available
2006-07-17,.,No value available
2006-07-18,967.90,
2006-07-19,967.20,
2006-07-20,961.20,
2006-07-21,959.40,
2006-07-22,.,No value available
2006-07-23,.,No value available
2006-07-24,961.00,
2006-07-25,961.50,
2006-07-26,963.90,
2006-07-27,961.50,
2006-07-28,963.20,
2006-07-29,.,No value available
2006-07-30,.,No value available
2006-07-31,964.50,
2006-08-01,965.30,
2006-08-02,971.70,
2006-08-03,975.10,
2006-08-04,974.20,
2006-08-05,.,No value available
2006-08-06,.,No value available
2006-08-07,972.00,
2006-08-08,973.10,
2006-08-09,968.90,
2006-08-10,967.20,
2006-08-11,971.10,
2006-08-12,.,No value available
2006-08-13,.,No value available
2006-08-14,975.20,
2006-08-15,.,No value available
2006-08-16,974.60,
2006-08-17,970.40,
2006-08-18,967.90,
2006-08-19,.,No value available
2006-08-20,.,No value available
2006-08-21,965.90,
2006-08-22,965.60,
2006-08-23,965.00,
2006-08-24,968.60,
2006-08-25,971.30,
2006-08-26,.,No value available
2006-08-27,.,No value available
2006-08-28,973.40,
2006-08-29,970.40,
2006-08-30,970.80,
2006-08-31,970.90,
2006-09-01,969.90,
2006-09-02,.,No value available
2006-09-03,.,No value available
2006-09-04,967.20,
2006-09-05,965.90,
2006-09-06,966.30,
2006-09-07,965.70,
2006-09-08,965.60,
2006-09-09,.,No value available
2006-09-10,.,No value available
2006-09-11,966.80,
2006-09-12,968.20,
2006-09-13,968.30,
2006-09-14,967.00,
2006-09-15,965.60,
2006-09-16,.,No value available
2006-09-17,.,No value available
2006-09-18,965.80,
2006-09-19,965.00,
2006-09-20,960.10,
2006-09-21,953.50,
2006-09-22,956.40,
2006-09-23,.,No value available
2006-09-24,.,No value available
2006-09-25,953.20,
2006-09-26,953.40,
2006-09-27,952.90,
2006-09-28,954.40,
2006-09-29,955.40,
2006-09-30,.,No value available
2006-10-01,.,No value available
2006-10-02,957.10,
2006-10-03,.,No value available
2006-10-04,958.40,
2006-10-05,.,No value available
2006-10-06,.,No value available
2006-10-07,.,No value available
2006-10-08,.,No value available
2006-10-09,973.30,
2006-10-10,968.90,
2006-10-11,967.50,
2006-10-12,967.10,
2006-10-13,964.50,
2006-10-14,.,No value available
2006-10-15,.,No value available
2006-10-16,964.80,
2006-10-17,963.80,
2006-10-18,964.70,
2006-10-19,966.70,
2006-10-20,966.70,
2006-10-21,.,No value available
2006-10-22,.,No value available
2006-10-23,969.00,
2006-10-24,967.90,
2006-10-25,965.10,
2006-10-26,959.10,
2006-10-27,956.50,
2006-10-28,.,No value available
2006-10-29,.,No value available
2006-10-30,953.80,
2006-10-31,951.50,
2006-11-01,948.70,
2006-11-02,948.20,
2006-11-03,946.10,
2006-11-04,.,No value available
2006-11-05,.,No value available
2006-11-06,951.60,
2006-11-07,947.80,
2006-11-08,944.30,
2006-11-09,945.70,
2006-11-10,943.00,
2006-11-11,.,No value available
2006-11-12,.,No value available
2006-11-13,944.20,
2006-11-14,946.20,
2006-11-15,950.70,
2006-11-16,946.60,
2006-11-17,948.00,
2006-11-18,.,No value available
2006-11-19,.,No value available
2006-11-20,944.50,
2006-11-21,946.10,
2006-11-22,943.00,
2006-11-23,939.60,
2006-11-24,941.20,
2006-11-25,.,No value available
2006-11-26,.,No value available
2006-11-27,939.70,
2006-11-28,939.90,
2006-11-29,939.60,
2006-11-30,938.60,
2006-12-01,937.70,
2006-12-02,.,No value available
2006-12-03,.,No value available
2006-12-04,936.60,
2006-12-05,933.30,
2006-12-06,925.50,
2006-12-07,922.80,
2006-12-08,929.30,
2006-12-09,.,No value available
2006-12-10,.,No value available
2006-12-11,935.10,
2006-12-12,931.70,
2006-12-13,931.60,
2006-12-14,929.70,
2006-12-15,932.20,
2006-12-16,.,No value available
2006-12-17,.,No value available
2006-12-18,936.10,
2006-12-19,940.60,
2006-12-20,934.80,
2006-12-21,936.30,
2006-12-22,937.70,
2006-12-23,.,No value available
2006-12-24,.,No value available
2006-12-25,.,No value available
2006-12-26,939.00,
2006-12-27,939.70,
2006-12-28,937.70,
2006-12-29,937.70,
2006-12-30,.,No value available
2006-12-31,.,No value available
2007-01-01,.,No value available
2007-01-02,935.00,
2007-01-03,935.10,
2007-01-04,940.40,
2007-01-05,943.30,
2007-01-06,.,No value available
2007-01-07,.,No value available
2007-01-08,947.30,
2007-01-09,947.60,
2007-01-10,946.90,
2007-01-11,948.10,
2007-01-12,949.20,
2007-01-13,.,No value available
2007-01-14,.,No value available
2007-01-15,947.70,
2007-01-16,944.70,
2007-01-17,946.10,
2007-01-18,945.90,
2007-01-19,945.40,
2007-01-20,.,No value available
2007-01-21,.,No value available
2007-01-22,949.30,
2007-01-23,949.50,
2007-01-24,947.60,
2007-01-25,945.10,
2007-01-26,949.70,
2007-01-27,.,No value available
2007-01-28,.,No value available
2007-01-29,949.70,
2007-01-30,951.70,
2007-01-31,950.10,
2007-02-01,946.20,
2007-02-02,946.30,
2007-02-03,.,No value available
2007-02-04,.,No value available
2007-02-05,944.90,
2007-02-06,942.00,
2007-02-07,942.80,
2007-02-08,944.20,
2007-02-09,943.70,
2007-02-10,.,No value available
2007-02-11,.,No value available
2007-02-12,946.70,
2007-02-13,948.70,
2007-02-14,947.60,
2007-02-15,943.90,
2007-02-16,945.50,
2007-02-17,.,No value available
2007-02-18,.,No value available
2007-02-19,.,No value available
2007-02-20,947.60,
2007-02-21,947.60,
2007-02-22,948.10,
2007-02-23,947.20,
2007-02-24,.,No value available
2007-02-25,.,No value available
2007-02-26,947.80,
2007-02-27,948.00,
2007-02-28,951.00,
2007-03-01,.,No value available
2007-03-02,952.20,
2007-03-03,.,No value available
2007-03-04,.,No value available
2007-03-05,960.70,
2007-03-06,956.90,
2007-03-07,957.90,
2007-03-08,957.10,
2007-03-09,955.10,
2007-03-10,.,No value available
2007-03-11,.,No value available
2007-03-12,953.20,
2007-03-13,953.80,
2007-03-14,955.50,
2007-03-15,953.70,
2007-03-16,954.00,
2007-03-17,.,No value available
2007-03-18,.,No value available
2007-03-19,952.90,
2007-03-20,950.90,
2007-03-21,947.10,
2007-03-22,947.10,
2007-03-23,947.00,
2007-03-24,.,No value available
2007-03-25,.,No value available
2007-03-26,947.80,
2007-03-27,950.10,
2007-03-28,948.30,
2007-03-29,949.70,
2007-03-30,950.10,
2007-03-31,.,No value available
2007-04-01,.,No value available
2007-04-02,946.40,
2007-04-03,945.90,
2007-04-04,945.40,
2007-04-05,942.00,
2007-04-06,941.00,
2007-04-07,.,No value available
2007-04-08,.,No value available
2007-04-09,942.10,
2007-04-10,943.00,
2007-04-11,941.30,
2007-04-12,940.90,
2007-04-13,938.30,
2007-04-14,.,No value available
2007-04-15,.,No value available
2007-04-16,940.90,
2007-04-17,938.10,
2007-04-18,937.20,
2007-04-19,937.90,
2007-04-20,937.80,
2007-04-21,.,No value available
2007-04-22,.,No value available
2007-04-23,935.30,
2007-04-24,936.50,
2007-04-25,935.70,
2007-04-26,938.10,
2007-04-27,938.30,
2007-04-28,.,No value available
2007-04-29,.,No value available
2007-04-30,939.90,
2007-05-01,.,No value available
2007-05-02,939.10,
2007-05-03,935.90,
2007-05-04,936.60,
2007-05-05,.,No value available
2007-05-06,.,No value available
2007-05-07,931.40,
2007-05-08,932.00,
2007-05-09,932.50,
2007-05-10,934.10,
2007-05-11,935.80,
2007-05-12,.,No value available
2007-05-13,.,No value available
2007-05-14,933.10,
2007-05-15,933.20,
2007-05-16,933.00,
2007-05-17,937.10,
2007-05-18,943.20,
2007-05-19,.,No value available
2007-05-20,.,No value available
2007-05-21,939.30,
2007-05-22,939.50,
2007-05-23,940.50,
2007-05-24,.,No value available
2007-05-25,937.30,
2007-05-26,.,No value available
2007-05-27,.,No value available
2007-05-28,937.90,
2007-05-29,936.60,
2007-05-30,940.10,
2007-05-31,936.70,
2007-06-01,937.40,
2007-06-02,.,No value available
2007-06-03,.,No value available
2007-06-04,937.10,
2007-06-05,936.00,
2007-06-06,.,No value available
2007-06-07,935.80,
2007-06-08,940.10,
2007-06-09,.,No value available
2007-06-10,.,No value available
2007-06-11,941.60,
2007-06-12,938.60,
2007-06-13,940.60,
2007-06-14,939.00,
2007-06-15,937.80,
2007-06-16,.,No value available
2007-06-17,.,No value available
2007-06-18,937.30,
2007-06-19,936.70,
2007-06-20,936.80,
2007-06-21,936.00,
2007-06-22,937.50,
2007-06-23,.,No value available
2007-06-24,.,No value available
2007-06-25,935.60,
2007-06-26,935.30,
2007-06-27,936.70,
2007-06-28,935.90,
2007-06-29,932.80,
2007-06-30,.,No value available
2007-07-01,.,No value available
2007-07-02,930.70,
2007-07-03,926.90,
2007-07-04,928.90,
2007-07-05,931.00,
2007-07-06,928.60,
2007-07-07,.,No value available
2007-07-08,.,No value available
2007-07-09,929.90,
2007-07-10,929.00,
2007-07-11,928.20,
2007-07-12,927.20,
2007-07-13,925.80,
2007-07-14,.,No value available
2007-07-15,.,No value available
2007-07-16,927.10,
2007-07-17,.,No value available
2007-07-18,925.00,
2007-07-19,924.90,
2007-07-20,923.90,
2007-07-21,.,No value available
2007-07-22,.,No value available
2007-07-23,924.10,
2007-07-24,923.00,
2007-07-25,922.90,
2007-07-26,927.10,
2007-07-27,930.70,
2007-07-28,.,No value available
2007-07-29,.,No value available
2007-07-30,932.30,
2007-07-31,928.30,
2007-08-01,934.10,
2007-08-02,931.80,
2007-08-03,931.90,
2007-08-04,.,No value available
2007-08-05,.,No value available
2007-08-06,932.40,
2007-08-07,931.90,
2007-08-08,933.20,
2007-08-09,931.90,
2007-08-10,941.00,
2007-08-11,.,No value available
2007-08-12,.,No value available
2007-08-13,938.70,
2007-08-14,939.50,
2007-08-15,.,No value available
2007-08-16,955.50,
2007-08-17,959.70,
2007-08-18,.,No value available
2007-08-19,.,No value available
2007-08-20,952.20,
2007-08-21,952.70,
2007-08-22,953.40,
2007-08-23,950.80,
2007-08-24,950.90,
2007-08-25,.,No value available
2007-08-26,.,No value available
2007-08-27,947.70,
2007-08-28,948.90,
2007-08-29,951.30,
2007-08-30,949.70,
2007-08-31,947.40,
2007-09-01,.,No value available
2007-09-02,.,No value available
2007-09-03,946.50,
2007-09-04,948.40,
2007-09-05,947.20,
2007-09-06,948.40,
2007-09-07,947.10,
2007-09-08,.,No value available
2007-09-09,.,No value available
2007-09-10,948.30,
2007-09-11,945.40,
2007-09-12,941.60,
2007-09-13,940.60,
2007-09-14,937.30,
2007-09-15,.,No value available
2007-09-16,.,No value available
2007-09-17,937.50,
2007-09-18,939.80,
2007-09-19,935.70,
2007-09-20,932.10,
2007-09-21,930.10,
2007-09-22,.,No value available
2007-09-23,.,No value available
2007-09-24,.,No value available
2007-09-25,.,No value available
2007-09-26,.,No value available
2007-09-27,929.30,
2007-09-28,924.10,
2007-09-29,.,No value available
2007-09-30,.,No value available
2007-10-01,922.60,
2007-10-02,922.80,
2007-10-03,.,No value available
2007-10-04,925.40,
2007-10-05,925.60,
2007-10-06,.,No value available
2007-10-07,.,No value available
2007-10-08,923.50,
2007-10-09,927.50,
2007-10-10,925.30,
2007-10-11,926.00,
2007-10-12,924.70,
2007-10-13,.,No value available
2007-10-14,.,No value available
2007-10-15,925.80,
2007-10-16,926.40,
2007-10-17,927.40,
2007-10-18,926.70,
2007-10-19,924.70,
2007-10-20,.,No value available
2007-10-21,.,No value available
2007-10-22,925.90,
2007-10-23,926.90,
2007-10-24,926.80,
2007-10-25,925.50,
2007-10-26,918.80,
2007-10-27,.,No value available
2007-10-28,.,No value available
2007-10-29,915.80,
2007-10-30,915.80,
2007-10-31,909.80,
2007-11-01,912.40,
2007-11-02,915.90,
2007-11-03,.,No value available
2007-11-04,.,No value available
2007-11-05,916.80,
2007-11-06,916.60,
2007-11-07,914.90,
2007-11-08,917.40,
2007-11-09,915.60,
2007-11-10,.,No value available
2007-11-11,.,No value available
2007-11-12,920.20,
2007-11-13,927.70,
2007-11-14,922.40,
2007-11-15,924.40,
2007-11-16,926.30,
2007-11-17,.,No value available
2007-11-18,.,No value available
2007-11-19,928.00,
2007-11-20,931.20,
2007-11-21,938.00,
2007-11-22,942.70,
2007-11-23,939.70,
2007-11-24,.,No value available
2007-11-25,.,No value available
2007-11-26,938.40,
2007-11-27,938.40,
2007-11-28,940.50,
2007-11-29,937.80,
2007-11-30,930.10,
2007-12-01,.,No value available
2007-12-02,.,No value available
2007-12-03,934.00,
2007-12-04,931.50,
2007-12-05,932.30,
2007-12-06,931.10,
2007-12-07,928.20,
2007-12-08,.,No value available
2007-12-09,.,No value available
2007-12-10,932.60,
2007-12-11,933.00,
2007-12-12,935.50,
2007-12-13,934.00,
2007-12-14,939.20,
2007-12-15,.,No value available
2007-12-16,.,No value available
2007-12-17,942.70,
2007-12-18,948.60,
2007-12-19,.,No value available
2007-12-20,952.90,
2007-12-21,952.20,
2007-12-22,.,No value available
2007-12-23,.,No value available
2007-12-24,948.80,
2007-12-25,.,No value available
2007-12-26,948.20,
2007-12-27,949.20,
2007-12-28,945.20,
2007-12-29,.,No value available
2007-12-30,.,No value available
2007-12-31,941.10,
2008-01-01,.,No value available
2008-01-02,946.00,
2008-01-03,945.70,
2008-01-04,947.60,
2008-01-05,.,No value available
2008-01-06,.,No value available
2008-01-07,949.70,
2008-01-08,948.50,
2008-01-09,949.00,
2008-01-10,943.50,
2008-01-11,947.00,
2008-01-12,.,No value available
2008-01-13,.,No value available
2008-01-14,946.40,
2008-01-15,944.80,
2008-01-16,949.30,
2008-01-17,954.80,
2008-01-18,952.00,
2008-01-19,.,No value available
2008-01-20,.,No value available
2008-01-21,957.70,
2008-01-22,963.30,
2008-01-23,962.10,
2008-01-24,958.70,
2008-01-25,955.70,
2008-01-26,.,No value available
2008-01-27,.,No value available
2008-01-28,959.10,
2008-01-29,953.50,
2008-01-30,953.90,
2008-01-31,953.10,
2008-02-01,953.40,
2008-02-02,.,No value available
2008-02-03,.,No value available
2008-02-04,952.00,
2008-02-05,950.90,
2008-02-06,.,No value available
2008-02-07,.,No value available
2008-02-08,.,No value available
2008-02-09,.,No value available
2008-02-10,.,No value available
2008-02-11,954.50,
2008-02-12,954.60,
2008-02-13,955.10,
2008-02-14,954.50,
2008-02-15,954.30,
2008-02-16,.,No value available
2008-02-17,.,No value available
2008-02-18,954.50,
2008-02-19,953.10,
2008-02-20,955.20,
2008-02-21,957.60,
2008-02-22,957.70,
2008-02-23,.,No value available
2008-02-24,.,No value available
2008-02-25,956.40,
2008-02-26,956.50,
2008-02-27,950.20,
2008-02-28,945.60,
2008-02-29,948.20,
2008-03-01,.,No value available
2008-03-02,.,No value available
2008-03-03,956.10,
2008-03-04,956.40,
2008-03-05,957.50,
2008-03-06,958.90,
2008-03-07,966.80,
2008-03-08,.,No value available
2008-03-09,.,No value available
2008-03-10,974.70,
2008-03-11,979.50,
2008-03-12,980.80,
2008-03-13,992.00,
2008-03-14,1007.00,
2008-03-15,.,No value available
2008-03-16,.,No value available
2008-03-17,1039.20,
2008-03-18,1023.90,
2008-03-19,1018.90,
2008-03-20,1019.80,
2008-03-21,1012.90,
2008-03-22,.,No value available
2008-03-23,.,No value available
2008-03-24,1006.90,
2008-03-25,986.00,
2008-03-26,996.40,
2008-03-27,997.40,
2008-03-28,1002.70,
2008-03-29,.,No value available
2008-03-30,.,No value available
2008-03-31,1000.10,
2008-04-01,993.40,
2008-04-02,984.20,
2008-04-03,985.10,
2008-04-04,983.30,
2008-04-05,.,No value available
2008-04-06,.,No value available
2008-04-07,984.40,
2008-04-08,985.60,
2008-04-09,.,No value available
2008-04-10,985.80,
2008-04-11,984.90,
2008-04-12,.,No value available
2008-04-13,.,No value available
2008-04-14,989.30,
2008-04-15,996.50,
2008-04-16,997.90,
2008-04-17,1001.70,
2008-04-18,1010.80,
2008-04-19,.,No value available
2008-04-20,.,No value available
2008-04-21,1001.20,
2008-04-22,1006.90,
2008-04-23,1000.70,
2008-04-24,1006.20,
2008-04-25,1005.70,
2008-04-26,.,No value available
2008-04-27,.,No value available
2008-04-28,1006.30,
2008-04-29,1010.80,
2008-04-30,1013.30,
2008-05-01,.,No value available
2008-05-02,1021.10,
2008-05-03,.,No value available
2008-05-04,.,No value available
2008-05-05,.,No value available
2008-05-06,1026.20,
2008-05-07,1036.10,
2008-05-08,1057.70,
2008-05-09,1054.90,
2008-05-10,.,No value available
2008-05-11,.,No value available
2008-05-12,.,No value available
2008-05-13,1054.20,
2008-05-14,1060.70,
2008-05-15,1054.20,
2008-05-16,1051.20,
2008-05-17,.,No value available
2008-05-18,.,No value available
2008-05-19,1053.40,
2008-05-20,1055.20,
2008-05-21,1052.40,
2008-05-22,1055.20,
2008-05-23,1057.80,
2008-05-24,.,No value available
2008-05-25,.,No value available
2008-05-26,1058.70,
2008-05-27,1052.20,
2008-05-28,1047.10,
2008-05-29,1040.30,
2008-05-30,1040.10,
2008-05-31,.,No value available
