"",BBEX3.D.ARS.EUR.CA.AB.000,BBEX3.D.ARS.EUR.CA.AB.000_FLAGS
2005-01-08,.,No value available
2005-01-09,.,No value available
2005-01-10,3.8878,
2005-01-11,3.8872,
2005-01-12,3.9086,
2005-01-13,3.8783,
2005-01-14,3.8473,
2005-01-15,.,No value available
2005-01-16,.,No value available
2005-01-17,3.8298,
2005-01-18,3.8275,
2005-01-19,3.8291,
2005-01-20,3.8144,
2005-01-21,3.8441,
2005-01-22,.,No value available
2005-01-23,.,No value available
2005-01-24,3.8258,
2005-01-25,3.7898,
2005-01-26,3.8296,
2005-01-27,3.8114,
2005-01-28,3.8151,
2005-01-29,.,No value available
2005-01-30,.,No value available
2005-01-31,3.8161,
2005-02-01,3.8092,
2005-02-02,3.8098,
2005-02-03,3.7878,
2005-02-04,3.7624,
2005-02-05,.,No value available
2005-02-06,.,No value available
2005-02-07,3.7276,
2005-02-08,3.7270,
2005-02-09,3.7203,
2005-02-10,3.7570,
2005-02-11,3.7456,
2005-02-12,.,No value available
2005-02-13,.,No value available
2005-02-14,3.7715,
2005-02-15,3.7737,
2005-02-16,3.7596,
2005-02-17,3.8003,
2005-02-18,3.8108,
2005-02-19,.,No value available
2005-02-20,.,No value available
2005-02-21,3.8067,
2005-02-22,3.8686,
2005-02-23,3.8760,
2005-02-24,3.8782,
2005-02-25,3.8855,
2005-02-26,.,No value available
2005-02-27,.,No value available
2005-02-28,3.8937,
2005-03-01,3.8840,
2005-03-02,3.8808,
2005-03-03,3.8739,
2005-03-04,3.8906,
2005-03-05,.,No value available
2005-03-06,.,No value available
2005-03-07,3.8702,
2005-03-08,3.9088,
2005-03-09,3.9333,
2005-03-10,3.9326,
2005-03-11,3.9269,
2005-03-12,.,No value available
2005-03-13,.,No value available
2005-03-14,3.8970,
2005-03-15,3.8858,
2005-03-16,3.9143,
2005-03-17,3.9022,
2005-03-18,3.8834,
2005-03-19,.,No value available
2005-03-20,.,No value available
2005-03-21,3.8394,
2005-03-22,3.8411,
2005-03-23,3.7847,
2005-03-24,.,No value available
2005-03-25,.,No value available
2005-03-26,.,No value available
2005-03-27,.,No value available
2005-03-28,3.7632,
2005-03-29,3.7719,
2005-03-30,3.7855,
2005-03-31,3.7839,
2005-04-01,3.7649,
2005-04-02,.,No value available
2005-04-03,.,No value available
2005-04-04,3.7471,
2005-04-05,3.7409,
2005-04-06,3.7417,
2005-04-07,3.7188,
2005-04-08,3.7402,
2005-04-09,.,No value available
2005-04-10,.,No value available
2005-04-11,3.7547,
2005-04-12,3.7220,
2005-04-13,3.7162,
2005-04-14,3.7009,
2005-04-15,3.7427,
2005-04-16,.,No value available
2005-04-17,.,No value available
2005-04-18,3.7810,
2005-04-19,3.7790,
2005-04-20,3.7949,
2005-04-21,3.7870,
2005-04-22,3.7851,
2005-04-23,.,No value available
2005-04-24,.,No value available
2005-04-25,3.7658,
2005-04-26,3.7557,
2005-04-27,3.7543,
2005-04-28,3.7500,
2005-04-29,3.7440,
2005-04-30,.,No value available
2005-05-01,.,No value available
2005-05-02,3.7268,
2005-05-03,3.7337,
2005-05-04,3.7477,
2005-05-05,3.7481,
2005-05-06,3.7200,
2005-05-07,.,No value available
2005-05-08,.,No value available
2005-05-09,3.7140,
2005-05-10,3.7247,
2005-05-11,3.7104,
2005-05-12,3.6762,
2005-05-13,3.6549,
2005-05-14,.,No value available
2005-05-15,.,No value available
2005-05-16,3.6413,
2005-05-17,3.6485,
2005-05-18,3.6554,
2005-05-19,3.6452,
2005-05-20,3.6232,
2005-05-21,.,No value available
2005-05-22,.,No value available
2005-05-23,3.6303,
2005-05-24,3.6283,
2005-05-25,.,No value available
2005-05-26,3.6097,
2005-05-27,3.6273,
2005-05-28,.,No value available
2005-05-29,.,No value available
2005-05-30,3.5952,
2005-05-31,3.5484,
2005-06-01,3.5304,
2005-06-02,3.5399,
2005-06-03,3.5330,
2005-06-04,.,No value available
2005-06-05,.,No value available
2005-06-06,3.5533,
2005-06-07,3.5506,
2005-06-08,3.5534,
2005-06-09,3.5391,
2005-06-10,3.5045,
2005-06-11,.,No value available
2005-06-12,.,No value available
2005-06-13,3.4839,
2005-06-14,3.4620,
2005-06-15,3.4823,
2005-06-16,3.4727,
2005-06-17,3.5165,
2005-06-18,.,No value available
2005-06-19,.,No value available
2005-06-20,.,No value available
2005-06-21,3.4861,
2005-06-22,3.4719,
2005-06-23,3.4590,
2005-06-24,3.4785,
2005-06-25,.,No value available
2005-06-26,.,No value available
2005-06-27,3.5124,
2005-06-28,3.4925,
2005-06-29,3.4977,
2005-06-30,3.4884,
2005-07-01,3.4479,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,3.4332,
2005-07-05,3.4384,
2005-07-06,3.4365,
2005-07-07,3.4366,
2005-07-08,3.4250,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,3.4687,
2005-07-12,3.5120,
2005-07-13,3.4683,
2005-07-14,3.4603,
2005-07-15,3.4493,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,3.4526,
2005-07-19,3.4444,
2005-07-20,3.4659,
2005-07-21,3.4901,
2005-07-22,3.4571,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,3.4490,
2005-07-26,3.4398,
2005-07-27,3.4563,
2005-07-28,3.4745,
2005-07-29,3.4718,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,3.4901,
2005-08-02,3.4874,
2005-08-03,3.5272,
2005-08-04,3.5418,
2005-08-05,3.5343,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,3.5458,
2005-08-09,3.5461,
2005-08-10,3.5518,
2005-08-11,3.5778,
2005-08-12,3.5844,
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,.,No value available
2005-08-16,3.5652,
2005-08-17,3.5523,
2005-08-18,3.5268,
2005-08-19,3.5375,
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,3.5535,
2005-08-23,3.5562,
2005-08-24,3.5660,
2005-08-25,3.5779,
2005-08-26,3.5784,
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,3.5623,
2005-08-30,3.5535,
2005-08-31,3.5913,
2005-09-01,3.6273,
2005-09-02,3.6488,
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,3.6410,
2005-09-06,3.6271,
2005-09-07,3.6150,
2005-09-08,3.5978,
2005-09-09,3.6114,
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,3.5832,
2005-09-13,3.5819,
2005-09-14,3.5854,
2005-09-15,3.5597,
2005-09-16,3.5581,
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,3.5340,
2005-09-20,3.5452,
2005-09-21,3.5586,
2005-09-22,3.5427,
2005-09-23,3.5403,
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,3.5086,
2005-09-27,3.4929,
2005-09-28,3.5070,
2005-09-29,3.5059,
2005-09-30,3.4981,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,3.4640,
2005-10-04,3.4732,
2005-10-05,3.5044,
2005-10-06,3.5188,
2005-10-07,3.5599,
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,.,No value available
2005-10-11,3.5463,
2005-10-12,3.5645,
2005-10-13,3.5799,
2005-10-14,3.5958,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,3.5747,
2005-10-18,3.5506,
2005-10-19,3.5602,
2005-10-20,3.5736,
2005-10-21,3.5599,
2005-10-22,.,No value available
2005-10-23,.,No value available
2005-10-24,3.5679,
2005-10-25,3.6149,
2005-10-26,3.6216,
2005-10-27,3.6648,
2005-10-28,3.6358,
2005-10-29,.,No value available
2005-10-30,.,No value available
2005-10-31,3.6000,
2005-11-01,3.5907,
2005-11-02,3.6050,
2005-11-03,3.5638,
2005-11-04,3.5214,
2005-11-05,.,No value available
2005-11-06,.,No value available
2005-11-07,3.5046,
2005-11-08,3.4889,
2005-11-09,3.4847,
2005-11-10,3.4877,
2005-11-11,3.4717,
2005-11-12,.,No value available
2005-11-13,.,No value available
2005-11-14,3.4622,
2005-11-15,3.4506,
2005-11-16,3.4497,
2005-11-17,3.4471,
2005-11-18,3.4530,
2005-11-19,.,No value available
2005-11-20,.,No value available
2005-11-21,3.4477,
2005-11-22,3.4577,
2005-11-23,3.4840,
2005-11-24,3.4834,
2005-11-25,3.4805,
2005-11-26,.,No value available
2005-11-27,.,No value available
2005-11-28,3.5261,
2005-11-29,3.5010,
2005-11-30,3.4948,
2005-12-01,3.4875,
2005-12-02,3.4890,
2005-12-03,.,No value available
2005-12-04,.,No value available
2005-12-05,3.5504,
2005-12-06,3.5341,
2005-12-07,3.5030,
2005-12-08,.,No value available
2005-12-09,3.5572,
2005-12-10,.,No value available
2005-12-11,.,No value available
2005-12-12,3.6078,
2005-12-13,3.5835,
2005-12-14,3.6045,
2005-12-15,3.6044,
2005-12-16,3.6456,
2005-12-17,.,No value available
2005-12-18,.,No value available
2005-12-19,3.6315,
2005-12-20,3.5965,
2005-12-21,3.5856,
2005-12-22,3.5868,
2005-12-23,3.5847,
2005-12-24,.,No value available
2005-12-25,.,No value available
2005-12-26,3.5793,
2005-12-27,3.6010,
2005-12-28,3.5978,
2005-12-29,3.5890,
2005-12-30,3.5869,
2005-12-31,.,No value available
2006-01-01,.,No value available
2006-01-02,3.5809,
2006-01-03,3.6365,
2006-01-04,3.6842,
2006-01-05,3.6902,
2006-01-06,3.7185,
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,3.7019,
2006-01-10,3.6904,
2006-01-11,3.7018,
2006-01-12,3.6547,
2006-01-13,3.6854,
2006-01-14,.,No value available
2006-01-15,.,No value available
2006-01-16,3.6772,
2006-01-17,3.6762,
2006-01-18,3.6817,
2006-01-19,3.6905,
2006-01-20,3.6760,
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,3.7364,
2006-01-24,3.7334,
2006-01-25,3.7424,
2006-01-26,3.7390,
2006-01-27,3.7054,
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,3.7001,
2006-01-31,3.7347,
2006-02-01,3.7055,
2006-02-02,3.7129,
2006-02-03,3.6835,
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,3.6708,
2006-02-07,3.6802,
2006-02-08,3.6698,
2006-02-09,3.6679,
2006-02-10,3.6565,
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,3.6527,
2006-02-14,3.6548,
2006-02-15,3.6493,
2006-02-16,3.6418,
2006-02-17,3.6451,
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,3.6611,
2006-02-21,3.6564,
2006-02-22,3.6606,
2006-02-23,3.6645,
2006-02-24,3.6506,
2006-02-25,.,No value available
2006-02-26,.,No value available
2006-02-27,3.6420,
2006-02-28,3.6657,
2006-03-01,3.6528,
2006-03-02,3.6853,
2006-03-03,3.6941,
2006-03-04,.,No value available
2006-03-05,.,No value available
2006-03-06,3.6912,
2006-03-07,3.6600,
2006-03-08,3.6746,
2006-03-09,3.6722,
2006-03-10,3.6645,
2006-03-11,.,No value available
2006-03-12,.,No value available
2006-03-13,3.6763,
2006-03-14,3.6949,
2006-03-15,3.7015,
2006-03-16,3.7438,
2006-03-17,3.7484,
2006-03-18,.,No value available
2006-03-19,.,No value available
2006-03-20,3.7420,
2006-03-21,3.7155,
2006-03-22,3.7155,
2006-03-23,3.6886,
2006-03-24,.,No value available
2006-03-25,.,No value available
2006-03-26,.,No value available
2006-03-27,3.7045,
2006-03-28,3.7215,
2006-03-29,3.7046,
2006-03-30,3.7342,
2006-03-31,3.7363,
2006-04-01,.,No value available
2006-04-02,.,No value available
2006-04-03,3.7446,
2006-04-04,3.7773,
2006-04-05,3.7872,
2006-04-06,3.7632,
2006-04-07,3.7311,
2006-04-08,.,No value available
2006-04-09,.,No value available
2006-04-10,3.7231,
2006-04-11,3.7327,
2006-04-12,3.7247,
2006-04-13,.,No value available
2006-04-14,.,No value available
2006-04-15,.,No value available
2006-04-16,.,No value available
2006-04-17,3.7761,
2006-04-18,3.7712,
2006-04-19,3.7994,
2006-04-20,3.7684,
2006-04-21,3.7742,
2006-04-22,.,No value available
2006-04-23,.,No value available
2006-04-24,3.7771,
2006-04-25,3.7724,
2006-04-26,3.7814,
2006-04-27,3.8147,
2006-04-28,3.8505,
2006-04-29,.,No value available
2006-04-30,.,No value available
2006-05-01,.,No value available
2006-05-02,3.8428,
2006-05-03,3.8420,
2006-05-04,3.8554,
2006-05-05,3.8730,
2006-05-06,.,No value available
2006-05-07,.,No value available
2006-05-08,3.8617,
2006-05-09,3.8785,
2006-05-10,3.8879,
2006-05-11,3.8993,
2006-05-12,3.9128,
2006-05-13,.,No value available
2006-05-14,.,No value available
2006-05-15,3.8961,
2006-05-16,3.9026,
2006-05-17,3.8795,
2006-05-18,3.9149,
2006-05-19,3.9013,
2006-05-20,.,No value available
2006-05-21,.,No value available
2006-05-22,3.9432,
2006-05-23,3.9472,
2006-05-24,3.9360,
2006-05-25,.,No value available
2006-05-26,3.9196,
2006-05-27,.,No value available
2006-05-28,.,No value available
2006-05-29,3.9226,
2006-05-30,3.9755,
2006-05-31,3.9590,
2006-06-01,3.9452,
2006-06-02,3.9805,
2006-06-03,.,No value available
2006-06-04,.,No value available
2006-06-05,3.9901,
2006-06-06,3.9564,
2006-06-07,3.9456,
2006-06-08,3.8991,
2006-06-09,3.8990,
2006-06-10,.,No value available
2006-06-11,.,No value available
2006-06-12,3.8805,
2006-06-13,3.8642,
2006-06-14,3.8866,
2006-06-15,3.8867,
2006-06-16,3.8897,
2006-06-17,.,No value available
2006-06-18,.,No value available
2006-06-19,.,No value available
2006-06-20,3.8783,
2006-06-21,3.8966,
2006-06-22,3.8718,
2006-06-23,3.8565,
2006-06-24,.,No value available
2006-06-25,.,No value available
2006-06-26,3.8865,
2006-06-27,3.8875,
2006-06-28,3.8711,
2006-06-29,3.8714,
2006-06-30,3.9430,
2006-07-01,.,No value available
2006-07-02,.,No value available
2006-07-03,3.9510,
2006-07-04,3.9497,
2006-07-05,3.9285,
2006-07-06,3.9390,
2006-07-07,3.9587,
2006-07-08,.,No value available
2006-07-09,.,No value available
2006-07-10,3.9297,
2006-07-11,3.9355,
2006-07-12,3.9133,
2006-07-13,3.9130,
2006-07-14,3.8975,
2006-07-15,.,No value available
2006-07-16,.,No value available
2006-07-17,3.8608,
2006-07-18,3.8522,
2006-07-19,3.8765,
2006-07-20,3.8916,
2006-07-21,3.9101,
2006-07-22,.,No value available
2006-07-23,.,No value available
2006-07-24,3.8879,
2006-07-25,3.8694,
2006-07-26,3.8905,
2006-07-27,3.9130,
2006-07-28,3.9232,
2006-07-29,.,No value available
2006-07-30,.,No value available
2006-07-31,3.9239,
2006-08-01,3.9324,
2006-08-02,3.9293,
2006-08-03,3.9293,
2006-08-04,3.9544,
2006-08-05,.,No value available
2006-08-06,.,No value available
2006-08-07,3.9444,
2006-08-08,3.9423,
2006-08-09,3.9529,
2006-08-10,3.9234,
2006-08-11,3.9103,
2006-08-12,.,No value available
2006-08-13,.,No value available
2006-08-14,3.9154,
2006-08-15,3.9387,
2006-08-16,3.9473,
2006-08-17,3.9590,
2006-08-18,3.9505,
2006-08-19,.,No value available
2006-08-20,.,No value available
2006-08-21,.,No value available
2006-08-22,3.9513,
2006-08-23,3.9455,
2006-08-24,3.9399,
2006-08-25,3.9442,
2006-08-26,.,No value available
2006-08-27,.,No value available
2006-08-28,3.9598,
2006-08-29,3.9545,
2006-08-30,3.9725,
2006-08-31,3.9611,
2006-09-01,3.9728,
2006-09-02,.,No value available
2006-09-03,.,No value available
2006-09-04,3.9810,
2006-09-05,3.9679,
2006-09-06,3.9653,
2006-09-07,3.9512,
2006-09-08,3.9283,
2006-09-09,.,No value available
2006-09-10,.,No value available
2006-09-11,3.9365,
2006-09-12,3.9409,
2006-09-13,3.9408,
2006-09-14,3.9479,
2006-09-15,3.9180,
2006-09-16,.,No value available
2006-09-17,.,No value available
2006-09-18,3.9292,
2006-09-19,3.9261,
2006-09-20,3.9360,
2006-09-21,3.9574,
2006-09-22,3.9658,
2006-09-23,.,No value available
2006-09-24,.,No value available
2006-09-25,3.9525,
2006-09-26,3.9349,
2006-09-27,3.9399,
2006-09-28,3.9418,
2006-09-29,3.9371,
2006-09-30,.,No value available
2006-10-01,.,No value available
2006-10-02,3.9563,
2006-10-03,3.9495,
2006-10-04,3.9421,
2006-10-05,3.9399,
2006-10-06,3.9145,
2006-10-07,.,No value available
2006-10-08,.,No value available
2006-10-09,3.9142,
2006-10-10,3.8937,
2006-10-11,3.8977,
2006-10-12,3.8949,
2006-10-13,3.8809,
2006-10-14,.,No value available
2006-10-15,.,No value available
2006-10-16,.,No value available
2006-10-17,3.8911,
2006-10-18,3.8706,
2006-10-19,3.8986,
2006-10-20,3.8974,
2006-10-21,.,No value available
2006-10-22,.,No value available
2006-10-23,3.8767,
2006-10-24,3.8844,
2006-10-25,3.8922,
2006-10-26,3.9221,
2006-10-27,3.9393,
2006-10-28,.,No value available
2006-10-29,.,No value available
2006-10-30,3.9356,
2006-10-31,3.9481,
2006-11-01,3.9412,
2006-11-02,3.9376,
2006-11-03,3.9160,
2006-11-04,.,No value available
2006-11-05,.,No value available
2006-11-06,.,No value available
2006-11-07,3.9392,
2006-11-08,3.9206,
2006-11-09,3.9372,
2006-11-10,3.9490,
2006-11-11,.,No value available
2006-11-12,.,No value available
2006-11-13,3.9382,
2006-11-14,3.9365,
2006-11-15,3.9310,
2006-11-16,3.9308,
2006-11-17,3.9418,
2006-11-18,.,No value available
2006-11-19,.,No value available
2006-11-20,3.9410,
2006-11-21,3.9486,
2006-11-22,3.9700,
2006-11-23,3.9773,
2006-11-24,4.0258,
2006-11-25,.,No value available
2006-11-26,.,No value available
2006-11-27,4.0383,
2006-11-28,4.0491,
2006-11-29,4.0438,
2006-11-30,4.0669,
2006-12-01,4.0771,
2006-12-02,.,No value available
2006-12-03,.,No value available
2006-12-04,4.0775,
2006-12-05,4.0714,
2006-12-06,4.0658,
2006-12-07,4.0650,
2006-12-08,.,No value available
2006-12-09,.,No value available
2006-12-10,.,No value available
2006-12-11,4.0566,
2006-12-12,4.0417,
2006-12-13,4.0400,
2006-12-14,4.0222,
2006-12-15,3.9949,
2006-12-16,.,No value available
2006-12-17,.,No value available
2006-12-18,3.9964,
2006-12-19,4.0341,
2006-12-20,4.0225,
2006-12-21,4.0109,
2006-12-22,4.0141,
2006-12-23,.,No value available
2006-12-24,.,No value available
2006-12-25,.,No value available
2006-12-26,4.0238,
2006-12-27,4.0369,
2006-12-28,4.0452,
2006-12-29,4.0391,
2006-12-30,.,No value available
2006-12-31,.,No value available
2007-01-01,.,No value available
2007-01-02,4.0622,
2007-01-03,4.0250,
2007-01-04,4.0228,
2007-01-05,4.0011,
2007-01-06,.,No value available
2007-01-07,.,No value available
2007-01-08,4.0131,
2007-01-09,4.0076,
2007-01-10,3.9850,
2007-01-11,3.9750,
2007-01-12,3.9816,
2007-01-13,.,No value available
2007-01-14,.,No value available
2007-01-15,3.9815,
2007-01-16,3.9794,
2007-01-17,3.9870,
2007-01-18,3.9918,
2007-01-19,4.0010,
2007-01-20,.,No value available
2007-01-21,.,No value available
2007-01-22,4.0084,
2007-01-23,4.0355,
2007-01-24,4.0106,
2007-01-25,4.0200,
2007-01-26,4.0111,
2007-01-27,.,No value available
2007-01-28,.,No value available
2007-01-29,4.0258,
2007-01-30,4.0261,
2007-01-31,4.0413,
2007-02-01,4.0392,
2007-02-02,4.0160,
2007-02-03,.,No value available
2007-02-04,.,No value available
2007-02-05,4.0125,
2007-02-06,4.0221,
2007-02-07,4.0373,
2007-02-08,4.0471,
2007-02-09,4.0387,
2007-02-10,.,No value available
2007-02-11,.,No value available
2007-02-12,4.0237,
2007-02-13,4.0407,
2007-02-14,4.0664,
2007-02-15,4.0725,
2007-02-16,4.0781,
2007-02-17,.,No value available
2007-02-18,.,No value available
2007-02-19,4.0804,
2007-02-20,4.0762,
2007-02-21,4.0772,
2007-02-22,4.0743,
2007-02-23,4.0883,
2007-02-24,.,No value available
2007-02-25,.,No value available
2007-02-26,4.0839,
2007-02-27,4.1073,
2007-02-28,4.0998,
2007-03-01,4.0800,
2007-03-02,4.0874,
2007-03-03,.,No value available
2007-03-04,.,No value available
2007-03-05,4.0611,
2007-03-06,4.0674,
2007-03-07,4.0808,
2007-03-08,4.0781,
2007-03-09,4.0729,
2007-03-10,.,No value available
2007-03-11,.,No value available
2007-03-12,4.0901,
2007-03-13,4.0961,
2007-03-14,4.0965,
2007-03-15,4.0993,
2007-03-16,4.1268,
2007-03-17,.,No value available
2007-03-18,.,No value available
2007-03-19,4.1196,
2007-03-20,4.1235,
2007-03-21,4.1230,
2007-03-22,4.1272,
2007-03-23,4.1235,
2007-03-24,.,No value available
2007-03-25,.,No value available
2007-03-26,4.1395,
2007-03-27,4.1453,
2007-03-28,4.1386,
2007-03-29,4.1371,
2007-03-30,4.1453,
2007-03-31,.,No value available
2007-04-01,.,No value available
2007-04-02,.,No value available
2007-04-03,4.1374,
2007-04-04,4.1441,
2007-04-05,.,No value available
2007-04-06,.,No value available
2007-04-07,.,No value available
2007-04-08,.,No value available
2007-04-09,4.1336,
2007-04-10,4.1549,
2007-04-11,4.1506,
2007-04-12,4.1564,
2007-04-13,4.1802,
2007-04-14,.,No value available
2007-04-15,.,No value available
2007-04-16,4.1829,
2007-04-17,4.1830,
2007-04-18,4.1873,
2007-04-19,4.1994,
2007-04-20,4.1988,
2007-04-21,.,No value available
2007-04-22,.,No value available
2007-04-23,4.1855,
2007-04-24,4.1997,
2007-04-25,4.2105,
2007-04-26,4.2015,
2007-04-27,4.2117,
2007-04-28,.,No value available
2007-04-29,.,No value available
2007-04-30,4.2212,
2007-05-01,.,No value available
2007-05-02,4.1947,
2007-05-03,4.1831,
2007-05-04,4.1920,
2007-05-05,.,No value available
2007-05-06,.,No value available
2007-05-07,4.1910,
2007-05-08,4.1706,
2007-05-09,4.1711,
2007-05-10,4.1507,
2007-05-11,4.1642,
2007-05-12,.,No value available
2007-05-13,.,No value available
2007-05-14,4.1692,
2007-05-15,4.1818,
2007-05-16,4.1573,
2007-05-17,4.1491,
2007-05-18,4.1578,
2007-05-19,.,No value available
2007-05-20,.,No value available
2007-05-21,4.1411,
2007-05-22,4.1405,
2007-05-23,4.1485,
2007-05-24,4.1446,
2007-05-25,.,No value available
2007-05-26,.,No value available
2007-05-27,.,No value available
2007-05-28,4.1476,
2007-05-29,4.1470,
2007-05-30,4.1324,
2007-05-31,4.1373,
2007-06-01,4.1315,
2007-06-02,.,No value available
2007-06-03,.,No value available
2007-06-04,4.1401,
2007-06-05,4.1601,
2007-06-06,4.1535,
2007-06-07,4.1327,
2007-06-08,4.1068,
2007-06-09,.,No value available
2007-06-10,.,No value available
2007-06-11,4.1064,
2007-06-12,4.0952,
2007-06-13,4.0853,
2007-06-14,4.0901,
2007-06-15,4.1167,
2007-06-16,.,No value available
2007-06-17,.,No value available
2007-06-18,.,No value available
2007-06-19,4.1265,
2007-06-20,4.1311,
2007-06-21,4.1277,
2007-06-22,4.1484,
2007-06-23,.,No value available
2007-06-24,.,No value available
2007-06-25,4.1508,
2007-06-26,4.1592,
2007-06-27,4.1552,
2007-06-28,4.1564,
2007-06-29,4.1842,
2007-06-30,.,No value available
2007-07-01,.,No value available
2007-07-02,4.2109,
2007-07-03,4.2075,
2007-07-04,4.2088,
2007-07-05,4.2198,
2007-07-06,4.2299,
2007-07-07,.,No value available
2007-07-08,.,No value available
2007-07-09,.,No value available
2007-07-10,4.2542,
2007-07-11,4.2679,
2007-07-12,4.2740,
2007-07-13,4.2734,
2007-07-14,.,No value available
2007-07-15,.,No value available
2007-07-16,4.2741,
2007-07-17,4.2735,
2007-07-18,4.2845,
2007-07-19,4.2872,
2007-07-20,4.3118,
2007-07-21,.,No value available
2007-07-22,.,No value available
2007-07-23,4.3133,
2007-07-24,4.3655,
2007-07-25,4.3591,
2007-07-26,4.3166,
2007-07-27,4.2561,
2007-07-28,.,No value available
2007-07-29,.,No value available
2007-07-30,4.2736,
2007-07-31,4.2723,
2007-08-01,4.2797,
2007-08-02,4.2981,
2007-08-03,4.3283,
2007-08-04,.,No value available
2007-08-05,.,No value available
2007-08-06,4.3294,
2007-08-07,4.3179,
2007-08-08,4.3235,
2007-08-09,4.3018,
2007-08-10,4.3131,
2007-08-11,.,No value available
2007-08-12,.,No value available
2007-08-13,4.2821,
2007-08-14,4.2705,
2007-08-15,4.2467,
2007-08-16,4.2322,
2007-08-17,4.2609,
2007-08-18,.,No value available
2007-08-19,.,No value available
2007-08-20,.,No value available
2007-08-21,4.2553,
2007-08-22,4.2866,
2007-08-23,4.3097,
2007-08-24,4.3347,
2007-08-25,.,No value available
2007-08-26,.,No value available
2007-08-27,4.3258,
2007-08-28,4.3119,
2007-08-29,4.3218,
2007-08-30,4.3122,
2007-08-31,4.3016,
2007-09-01,.,No value available
2007-09-02,.,No value available
2007-09-03,4.3054,
2007-09-04,4.3066,
2007-09-05,4.3242,
2007-09-06,4.3296,
2007-09-07,4.3547,
2007-09-08,.,No value available
2007-09-09,.,No value available
2007-09-10,4.3597,
2007-09-11,4.3517,
2007-09-12,4.3623,
2007-09-13,4.3502,
2007-09-14,4.3498,
2007-09-15,.,No value available
2007-09-16,.,No value available
2007-09-17,4.3454,
2007-09-18,4.3556,
2007-09-19,4.3712,
2007-09-20,4.4170,
2007-09-21,4.4269,
2007-09-22,.,No value available
2007-09-23,.,No value available
2007-09-24,4.4307,
2007-09-25,4.4521,
2007-09-26,4.4481,
2007-09-27,4.4569,
2007-09-28,4.4928,
2007-09-29,.,No value available
2007-09-30,.,No value available
2007-10-01,4.4832,
2007-10-02,4.4541,
2007-10-03,4.4486,
2007-10-04,4.4583,
2007-10-05,4.4613,
2007-10-06,.,No value available
2007-10-07,.,No value available
2007-10-08,4.4356,
2007-10-09,4.4595,
2007-10-10,4.4610,
2007-10-11,4.4875,
2007-10-12,4.4757,
2007-10-13,.,No value available
2007-10-14,.,No value available
2007-10-15,.,No value available
2007-10-16,4.4752,
2007-10-17,4.4753,
2007-10-18,4.5179,
2007-10-19,4.5120,
2007-10-20,.,No value available
2007-10-21,.,No value available
2007-10-22,4.4857,
2007-10-23,4.5193,
2007-10-24,4.5256,
2007-10-25,4.5523,
2007-10-26,4.5618,
2007-10-27,.,No value available
2007-10-28,.,No value available
2007-10-29,4.5537,
2007-10-30,4.5432,
2007-10-31,4.5449,
2007-11-01,4.5261,
2007-11-02,4.5439,
2007-11-03,.,No value available
2007-11-04,.,No value available
2007-11-05,4.5344,
2007-11-06,.,No value available
2007-11-07,4.5808,
2007-11-08,4.5939,
2007-11-09,4.5921,
2007-11-10,.,No value available
2007-11-11,.,No value available
2007-11-12,4.5549,
2007-11-13,4.5752,
2007-11-14,4.5894,
2007-11-15,4.5701,
2007-11-16,4.5925,
2007-11-17,.,No value available
2007-11-18,.,No value available
2007-11-19,4.5889,
2007-11-20,4.6300,
2007-11-21,4.6561,
2007-11-22,4.6625,
2007-11-23,4.6608,
2007-11-24,.,No value available
2007-11-25,.,No value available
2007-11-26,4.6683,
2007-11-27,4.6667,
2007-11-28,4.6504,
2007-11-29,4.6439,
2007-11-30,4.6225,
2007-12-01,.,No value available
2007-12-02,.,No value available
2007-12-03,4.6040,
2007-12-04,4.6281,
2007-12-05,4.5940,
2007-12-06,4.5869,
2007-12-07,4.6000,
2007-12-08,.,No value available
2007-12-09,.,No value available
2007-12-10,4.6207,
2007-12-11,4.6156,
2007-12-12,4.6112,
2007-12-13,4.5905,
2007-12-14,4.5392,
2007-12-15,.,No value available
