"",2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
2003-07,175.9846,175.9846,175.9846,175.9846,175.9846,175.9846,175.9846,175.9846,175.9846,175.9846,175.9846,175.9846,175.9846,175.9846,175.9846,175.9846,175.9846,115.3249,115.3249,115.3249,115.3249,115.3249,115.3249,115.3249,115.3249,115.3249,115.3249,115.3249,115.3249,114.8312,114.8312
2003-10,167.7372,167.7372,167.7372,167.7372,167.7372,167.7372,167.7372,167.7372,167.7372,167.7372,167.7372,167.7372,167.7372,167.7372,167.7372,167.7372,167.7372,108.3533,108.3533,108.3533,108.3533,108.3533,108.3533,108.3533,108.3533,108.3533,108.3533,108.3533,108.3533,108.9162,108.9162
2004-01,150.2237,150.2644,150.2644,150.2644,150.2644,150.7528,150.7528,150.7528,150.7528,150.7528,150.7528,150.7528,150.7528,150.7528,150.7528,150.7528,150.7528,98.4918,98.4918,98.4918,98.4918,98.4918,98.4918,98.4918,98.4918,98.4918,98.4918,98.4918,98.4918,98.5484,98.5484
2004-04,160.5500,160.5975,160.5975,160.5975,160.5975,161.1675,161.1675,161.1675,161.1675,161.1675,161.1675,161.1675,161.1675,161.1675,161.1675,161.1675,161.1675,105.8640,105.8640,105.8640,105.8640,105.8640,105.8640,105.8640,105.8640,105.8640,105.8640,105.8640,105.8640,105.2639,105.2639
2004-07,177.2820,177.3310,177.3310,177.3310,177.3310,177.9190,177.9190,177.9190,177.9190,177.9190,177.9190,177.9190,177.9190,177.9190,177.9190,177.9190,177.9190,116.3564,116.3564,116.3564,116.3564,116.3564,116.3564,116.3564,116.3564,116.3564,116.3564,116.3564,116.3564,115.8521,115.8521
2004-10,169.2271,169.3185,169.3185,169.3185,169.3185,169.9126,169.9126,169.9126,169.9126,169.9126,169.9126,169.9126,169.9126,169.9126,169.9126,169.9126,169.9126,110.2737,110.2737,110.2737,110.2737,110.2737,110.2737,110.2737,110.2737,110.2737,110.2737,110.2737,110.2737,109.1933,109.1933
2005-01,142.6488,143.6288,143.6288,143.6288,143.6288,144.0992,144.0992,144.0992,144.0992,144.1384,144.1384,144.1384,144.1384,144.1384,144.1384,144.1384,144.1384,95.4170,95.4170,95.4170,95.4170,95.4170,95.4170,95.4170,95.4170,95.4170,95.4170,95.4170,95.4170,94.2013,94.2013
2005-04,154.8820,155.2005,155.2005,155.2005,155.2005,155.7465,155.7465,155.7465,155.7465,155.7920,155.7920,155.7920,155.7920,155.7920,155.7920,155.7920,155.7920,107.3028,107.3028,107.3028,107.3028,107.3028,107.3028,107.3028,107.3028,107.3028,107.3028,107.3028,107.3028,105.9828,105.9828
2005-07,170.9112,171.1944,171.1944,171.1944,171.1944,171.7608,171.7608,171.7608,171.7608,171.3498,171.3498,171.3498,171.3498,171.3498,171.3498,171.3498,171.3498,114.7064,114.7064,114.7064,114.7064,114.7064,114.7064,114.7064,114.7064,114.7064,114.7064,114.7064,114.7064,113.9784,113.9784
2005-10,164.5610,164.6945,164.6945,164.6945,164.6945,165.2730,165.2730,165.2730,165.2730,165.4065,165.4065,165.4065,165.4065,165.4065,165.4065,165.4065,165.4065,107.9678,107.9678,107.9678,107.9678,107.9678,107.9678,107.9678,107.9678,107.9678,107.9678,107.9678,107.9678,107.1660,107.1660
