"",1995-09-06,1995-12-07,1996-03-07,1996-06-05,1996-09-05,1996-12-04,1997-03-04,1997-06-05,1997-09-10,1997-12-04,1998-02-27,1998-06-04,1998-09-09,1998-12-03,1999-03-04,2005-05-12,2005-08-11,2005-11-15,2006-02-14,2006-05-11,2006-08-14,2006-11-14,2007-02-13,2007-05-15,2007-08-14,2007-11-14,2008-02-14,2008-05-15,2008-08-14,2008-11-13,2009-02-13,2009-05-15,2009-08-13,2009-11-13,2010-02-12,2010-05-12,2010-08-13,2010-11-12,2011-02-15,2011-05-13,2011-08-16,2011-11-15,2012-02-15,2012-05-15,2012-08-14,2012-11-15,2013-02-14,2013-05-15,2013-08-14,2013-11-14,2014-02-14,2014-05-15,2014-08-14,2014-11-14,2015-02-13
2006-10,,,,,,,,,,,,,,,,,,,,,,,585.56,587.06,590.99,590.99,590.99,590.87,591.11,591.11,591.11,591.11,592.16,592.21,592.21,592.21,593.57,593.57,593.57,594.12,589.65,589.65,589.65,589.65,590.26,590.26,590.26,590.26,590.67,590.67,590.67,590.67,610.039,610.039,610.039
2007-01,,,,,,,,,,,,,,,,,,,,,,,,601.20,599.62,599.62,599.65,600.50,599.86,599.86,599.86,599.86,601.01,601.12,601.12,601.12,601.73,601.73,601.73,601.26,600.66,600.66,600.66,600.66,600.74,600.74,600.74,600.74,600.58,600.58,600.58,600.58,619.259,619.259,619.259
2007-04,,,,,,,,,,,,,,,,,,,,,,,,,603.66,605.87,605.61,604.72,604.30,604.30,604.30,604.30,605.07,605.57,605.57,605.57,606.39,606.50,606.50,606.20,605.54,605.54,605.54,605.54,605.22,605.22,605.22,605.22,604.87,604.87,604.87,604.87,625.670,625.670,625.670
2007-07,,,,,,,,,,,,,,,,,,,,,,,,,,611.51,610.26,610.43,609.66,609.66,609.66,609.66,612.29,611.61,611.61,611.61,612.59,612.48,612.48,612.45,611.96,611.96,611.96,611.96,611.58,611.58,611.58,611.58,611.59,611.59,611.59,611.59,632.599,632.599,632.599
2007-10,,,,,,,,,,,,,,,,,,,,,,,,,,,612.80,612.68,612.67,612.67,612.67,612.67,613.36,613.42,613.42,613.42,615.22,615.22,615.22,616.03,613.87,613.87,613.87,613.87,614.66,614.66,614.66,614.66,614.98,614.98,614.98,614.98,636.100,636.100,636.100
2008-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.25,622.96,623.46,624.66,624.66,626.28,626.40,626.40,626.40,625.28,625.28,625.28,624.63,622.49,622.49,622.49,622.49,622.33,622.33,622.33,622.33,622.13,622.13,622.13,622.13,642.171,642.171,642.171
2008-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.10,622.91,624.69,624.69,625.69,626.26,626.26,626.26,622.94,623.05,623.05,622.68,621.72,621.72,621.72,621.72,621.27,621.27,621.27,621.27,620.93,620.93,620.93,620.93,642.560,642.560,642.560
2008-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.77,622.96,622.96,626.06,625.26,625.26,625.26,620.55,620.44,620.44,620.46,619.43,619.43,619.43,619.43,619.05,619.05,619.05,619.05,618.91,618.91,618.91,618.91,640.177,640.177,640.177
2008-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.71,615.11,614.31,614.42,614.42,614.42,609.03,609.03,609.03,610.03,607.07,607.07,607.07,607.07,608.08,608.08,608.08,608.08,608.69,608.69,608.69,608.69,629.678,629.678,629.678
2009-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.46,593.30,593.40,593.56,593.58,591.29,591.29,591.29,590.48,584.94,584.94,584.94,584.94,584.72,584.72,584.72,584.72,584.62,584.62,584.62,584.62,606.356,606.356,606.356
2009-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.67,598.12,598.27,598.29,595.57,595.74,595.74,595.33,588.97,588.97,588.97,588.97,588.52,588.52,588.52,588.52,587.90,587.90,587.90,587.90,609.348,609.348,609.348
2009-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.83,606.99,607.00,603.13,602.96,602.96,603.00,596.89,596.89,596.89,596.89,596.44,596.44,596.44,596.44,596.04,596.04,596.04,596.04,615.873,615.873,615.873
2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.10,607.87,605.01,605.01,605.01,606.18,601.94,601.94,601.94,601.94,603.17,603.17,603.17,603.17,603.99,603.99,603.99,603.99,623.212,623.212,623.212
2010-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.26,608.56,609.32,609.75,610.05,605.45,605.45,605.45,605.45,608.73,608.73,608.73,608.73,608.05,608.05,608.05,608.05,627.026,627.026,627.026
2010-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.32,623.60,623.83,623.32,616.80,616.80,616.80,616.80,621.88,621.88,621.88,621.88,620.61,620.61,620.61,620.61,640.091,640.091,640.091
2010-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.14,628.86,628.87,623.05,623.05,623.05,623.05,627.76,627.76,627.76,627.76,627.10,627.10,627.10,627.10,648.036,648.036,648.036
2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.10,631.29,626.56,626.56,626.56,626.56,632.88,632.88,632.88,632.88,633.93,633.93,633.93,633.93,655.335,655.335,655.335
2011-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.98,635.30,635.64,635.62,635.62,641.73,641.73,641.73,641.73,646.70,646.70,646.70,646.70,667.548,667.548,667.548
2011-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.20,640.26,640.24,640.24,646.75,646.75,646.75,646.75,649.61,649.61,649.61,649.61,671.533,671.533,671.533
2011-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.45,645.59,645.59,650.28,650.28,650.28,650.28,653.91,653.91,653.91,653.91,676.660,676.660,676.660
2011-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.77,645.77,650.50,650.50,650.50,650.50,655.80,655.80,655.80,655.80,679.268,679.268,679.268
2012-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.62,656.49,656.89,656.92,657.70,663.16,663.16,663.16,663.16,682.646,682.646,682.646
2012-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.07,661.07,661.10,661.21,665.49,665.49,665.49,665.49,686.353,686.353,686.353
2012-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.88,664.92,664.87,669.68,669.68,669.68,669.68,690.797,690.797,690.797
2012-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.73,662.20,669.68,669.68,669.68,669.68,691.699,691.699,691.699
2013-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669.92,674.39,674.39,674.44,674.44,692.461,692.461,692.461
2013-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.91,684.91,684.96,684.96,702.486,702.486,702.486
2013-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.50,688.85,688.85,706.246,706.246,706.246
2013-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.88,693.88,712.944,712.944,712.944
2014-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.76,721.702,722.537,721.939
2014-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.966,726.152,725.348
2014-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.104,726.472
2014-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.625
