"",1999-05-28,1999-06-08,1999-09-09,1999-12-07,2000-03-28,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-22,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22,2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
2002-01,,,,,,,,,,,,,,-6.76,-5.27,-4.35,-4.83,-5.17,-5.73,-5.58,-5.68,-5.82,-9.36,-9.36,-9.34,-5.33,-6.51,-6.51,-6.51,-6.55,-4.88,-4.87,-4.84,-4.84,-5.43,-5.42,-5.42,-5.33,-5.26,-5.26,-5.29,-5.33,-5.63,-5.58,-5.58,-5.57,-5.54,-5.57,-5.57,-5.54,-1.87,-1.87,-1.84,-1.84,-1.87,-1.87,-1.87,-1.87,-1.86,-1.86,-1.86,-1.86,-1.410,-1.470,-1.470
2002-04,,,,,,,,,,,,,,,-1.54,-0.83,-0.93,-0.85,-2.03,-1.42,-1.53,-1.25,-4.36,-4.62,-4.23,-3.17,-5.00,-5.00,-5.00,-5.01,-4.58,-4.53,-4.56,-4.56,-5.53,-5.53,-5.53,-5.65,-6.29,-6.29,-6.26,-6.12,-5.37,-5.37,-5.37,-5.38,-5.55,-5.54,-5.54,-5.58,-1.46,-1.46,-1.46,-1.46,-1.38,-1.38,-1.38,-1.38,-1.77,-1.77,-1.77,-1.77,-0.902,-1.065,-1.065
2002-07,,,,,,,,,,,,,,,,-0.42,-1.53,-1.42,-3.28,-4.07,-3.81,-3.19,-6.37,-6.15,-6.13,-4.58,-6.34,-6.34,-6.34,-6.10,-5.79,-5.82,-5.84,-5.84,-5.86,-5.86,-5.86,-5.96,-5.19,-5.19,-5.10,-5.16,-5.06,-5.16,-5.16,-5.17,-5.32,-5.20,-5.20,-5.19,0.02,0.02,0.02,0.02,0.15,0.15,0.15,0.15,0.23,0.23,0.23,0.23,-0.015,-0.015,-0.015
2002-10,,,,,,,,,,,,,,,,,-0.41,-0.25,-2.54,-2.53,-2.58,-3.04,-7.15,-7.14,-7.56,-5.46,-5.81,-5.81,-5.81,-6.00,-6.69,-6.71,-6.69,-6.69,-4.75,-4.76,-4.76,-4.65,-5.39,-5.39,-5.49,-5.55,-6.15,-6.10,-6.10,-6.09,-5.76,-5.86,-5.86,-5.86,-2.45,-2.45,-2.46,-2.46,-2.94,-2.94,-2.94,-2.94,-2.68,-2.68,-2.68,-2.68,-2.487,-2.261,-2.261
2003-01,,,,,,,,,,,,,,,,,,-0.12,0.01,0.95,1.36,0.73,-1.73,-1.78,-1.78,1.29,-0.52,-0.52,-0.52,-0.60,2.49,2.50,2.48,2.48,1.14,1.15,1.15,1.24,0.91,0.91,0.85,0.81,0.58,0.69,0.69,0.67,0.57,0.59,0.59,0.58,2.69,2.69,2.68,2.68,2.66,2.66,2.66,2.66,2.70,2.70,2.70,2.70,1.870,1.807,1.807
2003-04,,,,,,,,,,,,,,,,,,,-0.27,2.71,2.33,2.63,-0.94,-1.18,-0.73,0.92,-1.51,-1.51,-1.51,-1.47,-0.91,-0.83,-0.84,-0.84,-2.66,-2.65,-2.65,-2.73,-2.74,-2.74,-2.74,-2.56,-1.69,-1.64,-1.64,-1.64,-1.94,-1.96,-1.96,-2.06,0.95,0.95,0.94,0.94,0.96,0.96,0.96,0.96,0.53,0.53,0.53,0.53,0.690,0.596,0.596
2003-07,,,,,,,,,,,,,,,,,,,,-3.95,-2.28,-1.96,-5.35,-5.05,-5.00,-4.59,-7.69,-7.69,-7.69,-7.40,-7.13,-7.21,-7.19,-7.19,-7.22,-7.23,-7.23,-7.36,-6.25,-6.25,-6.09,-6.19,-6.19,-6.35,-6.35,-6.35,-6.55,-6.43,-6.43,-6.49,-2.27,-2.27,-2.28,-2.28,-2.17,-2.17,-2.17,-2.17,-2.12,-2.12,-2.12,-2.12,-1.168,-1.061,-1.061
2003-10,,,,,,,,,,,,,,,,,,,,,1.58,0.49,0.38,0.38,-0.11,-0.72,-1.72,-1.72,-1.72,-1.96,-1.72,-1.73,-1.72,-1.72,-1.00,-1.02,-1.02,-0.90,-1.48,-1.48,-1.59,-1.62,-2.73,-2.73,-2.73,-2.72,-2.06,-2.17,-2.17,-2.05,0.40,0.40,0.43,0.43,0.11,0.11,0.11,0.11,0.40,0.40,0.40,0.40,1.144,1.185,1.185
2004-01,,,,,,,,,,,,,,,,,,,,,,1.22,-0.28,-0.39,-0.67,0.40,-1.38,-1.38,-1.38,-1.48,-1.01,-1.01,-1.05,-1.05,-3.11,-3.09,-3.09,-2.90,-2.76,-2.76,-2.81,-2.87,-2.44,-2.33,-2.33,-2.35,-2.63,-2.58,-2.58,-2.68,0.88,0.88,0.85,0.85,1.13,1.13,1.13,1.13,1.03,1.03,1.03,1.04,-2.210,-2.285,-2.285
2004-04,,,,,,,,,,,,,,,,,,,,,,,0.78,0.97,0.37,-1.28,-2.94,-2.94,-2.94,-2.89,-3.91,-3.79,-3.80,-3.80,-6.20,-6.16,-6.16,-6.32,-6.48,-6.48,-6.50,-6.33,-5.18,-5.06,-5.06,-5.05,-5.40,-5.48,-5.48,-5.53,-2.31,-2.31,-2.31,-2.31,-2.34,-2.34,-2.34,-2.34,-2.80,-2.80,-2.80,-2.81,-3.362,-3.437,-3.437
2004-07,,,,,,,,,,,,,,,,,,,,,,,,8.59,6.20,3.11,0.51,0.51,0.51,0.89,0.45,0.35,0.44,0.44,-0.22,-0.27,-0.27,-0.42,1.33,1.33,1.53,1.44,1.41,1.16,1.16,1.15,0.78,0.96,0.96,0.90,3.54,3.54,3.57,3.57,3.48,3.48,3.48,3.48,3.65,3.65,3.65,3.64,2.740,2.901,2.901
2004-10,,,,,,,,,,,,,,,,,,,,,,,,,1.71,-0.63,-0.36,-0.36,-0.36,-0.68,-1.94,-1.95,-2.00,-2.00,-1.19,-1.20,-1.20,-1.09,-1.18,-1.18,-1.30,-1.33,-2.19,-2.18,-2.18,-2.16,-0.98,-1.15,-1.15,-0.91,2.58,2.58,2.58,2.58,3.22,3.22,3.22,3.22,3.66,3.66,3.67,3.66,-0.456,-0.464,-0.464
2005-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,0.03,-0.25,-0.52,-1.22,-1.54,-1.56,-1.58,-1.58,-3.65,-3.64,-3.64,-3.28,-4.13,-4.13,-4.21,-4.28,-4.31,-4.19,-4.19,-4.19,-5.18,-5.04,-5.04,-5.35,-1.65,-1.65,-1.64,-1.64,-1.67,-1.67,-1.67,-1.67,-1.85,-1.85,-1.85,-1.85,-5.284,-5.370,-5.370
2005-04,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,1.12,-0.04,-0.27,-0.11,0.03,0.05,0.05,-1.80,-1.72,-1.72,-2.00,-3.40,-3.40,-3.42,-3.28,-2.51,-2.28,-2.28,-2.26,-2.31,-2.48,-2.48,-2.61,-0.82,-0.82,-0.81,-0.81,-0.83,-0.83,-0.83,-0.83,-1.24,-1.24,-1.25,-1.26,-0.885,-0.903,-0.903
2005-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,-0.53,-0.18,-1.84,-1.96,-1.80,-1.80,-2.78,-2.88,-2.88,-3.03,-2.86,-2.86,-2.61,-2.64,-2.34,-2.69,-2.69,-2.69,-3.32,-3.13,-3.13,-3.06,0.00,0.00,0.00,0.00,-0.30,-0.30,-0.30,-0.30,-0.08,-0.08,-0.08,-0.09,-1.881,-1.589,-1.589
2005-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,2.71,0.89,0.89,0.74,0.74,0.45,0.45,0.45,0.52,-1.04,-1.04,-1.18,-1.21,-2.05,-2.03,-2.03,-2.03,-0.26,-0.42,-0.42,-0.05,2.69,2.69,2.66,2.66,2.96,2.96,2.96,2.96,3.44,3.44,3.45,3.45,1.649,1.461,1.461
2006-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,-1.26,0.32,1.82,3.24,1.80,1.79,1.79,2.23,1.45,1.45,1.38,1.29,2.30,2.45,2.45,2.44,1.14,1.30,1.30,0.77,4.61,4.61,4.58,4.58,4.74,4.74,4.74,4.74,4.56,4.56,4.57,4.57,2.430,2.364,2.364
2006-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,2.88,3.89,3.34,1.03,1.18,1.18,0.77,-1.25,-1.25,-1.25,-1.15,-0.56,-0.25,-0.25,-0.22,-0.78,-0.90,-0.90,-1.00,1.58,1.58,1.61,1.61,1.43,1.43,1.43,1.43,0.85,0.85,0.85,0.84,1.045,1.084,1.084
2006-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,2.21,1.85,1.83,1.67,1.67,1.51,0.24,0.24,0.51,0.55,0.54,0.03,0.03,0.08,-0.57,-0.39,-0.39,-0.27,4.39,4.39,4.39,4.39,3.90,3.90,3.90,3.90,4.10,4.10,4.09,4.07,2.463,2.809,2.809
2006-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.65,-11.27,-10.63,-10.61,-10.61,-10.48,-14.56,-14.56,-14.76,-14.83,-15.21,-15.16,-15.16,-15.23,-12.94,-13.16,-13.16,-12.64,-8.98,-8.98,-8.98,-8.98,-8.64,-8.64,-8.64,-8.64,-8.09,-8.09,-8.08,-8.07,-7.459,-7.775,-7.775
2007-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72,1.97,2.57,2.51,3.10,0.61,0.61,0.51,0.40,2.26,2.37,2.37,2.36,0.89,1.07,1.07,0.26,9.02,9.02,8.94,8.94,9.17,9.17,9.17,9.17,8.93,8.93,8.94,8.95,5.807,5.738,5.738
2007-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.35,-2.49,-2.58,-3.02,-3.53,-3.53,-3.53,-3.45,-2.72,-2.22,-2.22,-2.19,-2.22,-2.25,-2.25,-2.44,4.44,4.44,4.50,4.50,4.32,4.32,4.32,4.32,3.79,3.79,3.77,3.76,2.257,2.329,2.329
2007-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.66,-1.74,-1.77,-1.83,-1.83,-1.49,-1.35,-0.92,-1.60,-1.60,-1.47,-1.64,-1.56,-1.56,-1.05,6.74,6.74,6.76,6.76,6.12,6.12,6.12,6.12,6.38,6.38,6.37,6.37,4.472,4.885,4.885
2007-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.97,-2.62,-6.05,-6.05,-6.28,-6.39,-8.54,-8.48,-8.48,-8.64,-6.05,-6.26,-6.26,-5.72,-0.50,-0.50,-0.48,-0.48,-0.17,-0.17,-0.17,-0.17,0.21,0.21,0.23,0.23,2.144,1.718,1.718
2008-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,-0.29,-0.81,-0.94,-0.74,1.08,1.20,1.20,1.21,-1.83,-1.64,-1.64,-2.75,6.43,6.43,6.29,6.29,6.82,6.82,6.82,6.82,6.16,6.16,6.18,6.20,4.054,4.033,4.033
2008-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.75,-3.28,-2.85,-3.75,-1.13,-0.56,-0.56,-0.51,-2.83,-2.82,-2.82,-3.25,3.34,3.34,3.38,3.38,3.16,3.16,3.16,3.16,2.99,2.99,2.94,2.91,2.381,2.467,2.467
2008-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31,2.51,2.09,3.77,2.97,2.97,3.20,-2.13,-2.14,-2.14,-1.28,7.94,7.94,8.04,8.04,5.98,5.98,5.98,5.98,6.29,6.29,6.28,6.27,6.547,6.814,6.814
2008-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19,5.49,1.01,1.12,1.12,0.85,-4.82,-5.01,-5.01,-4.38,1.21,1.21,1.21,1.21,1.34,1.34,1.34,1.34,1.80,1.80,1.82,1.83,2.734,2.397,2.397
2009-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,2.82,1.44,1.87,0.56,-4.27,-4.07,-4.07,-4.99,0.33,0.33,0.16,0.16,-0.48,-0.48,-0.48,-0.48,-1.06,-1.06,-1.01,-0.98,-3.805,-3.850,-3.850
2009-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.11,-8.63,-9.19,-8.60,-9.80,-9.81,-9.81,-10.36,-8.13,-8.13,-8.13,-8.13,-8.28,-8.28,-8.28,-8.28,-8.79,-8.79,-8.87,-8.92,-10.481,-10.351,-10.351
2009-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.94,-1.34,0.06,-2.58,-2.63,-2.63,-1.69,-2.59,-2.59,-2.39,-2.39,-2.61,-2.61,-2.61,-2.61,-2.66,-2.66,-2.67,-2.68,-4.689,-4.590,-4.590
2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.04,-10.95,-11.13,-11.27,-11.27,-10.70,-6.78,-6.78,-6.82,-6.82,-7.44,-7.44,-7.44,-7.44,-7.12,-7.12,-7.08,-7.06,-6.460,-6.647,-6.647
2010-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,-3.16,-3.60,-3.93,-4.10,0.43,0.43,0.24,0.24,0.59,0.59,0.59,0.59,-0.94,-0.94,-0.88,-0.81,0.298,-0.030,-0.030
2010-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.03,3.23,2.87,0.51,0.63,0.63,0.57,0.57,2.68,2.68,2.68,2.68,1.25,1.25,1.13,1.03,1.618,1.493,1.493
2010-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.55,-2.95,-1.52,-2.93,-2.93,-2.50,-2.50,-1.12,-1.12,-1.12,-1.12,-1.26,-1.26,-1.25,-1.22,1.190,1.017,1.017
2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.94,-5.68,-2.55,-2.55,-2.71,-2.71,-0.90,-0.90,-0.90,-0.90,-1.07,-1.07,-1.03,-1.03,3.237,3.058,3.058
2011-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.99,-1.63,-1.73,-2.01,-1.72,-1.75,-1.75,-1.75,-1.75,-1.63,-1.63,-1.54,-1.44,3.196,2.681,2.681
2011-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,1.33,1.72,4.15,7.24,7.24,7.24,7.24,6.05,6.05,5.89,5.73,7.753,7.387,7.387
2011-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.68,-1.68,0.22,0.76,0.76,0.76,0.76,0.79,0.79,0.79,0.89,2.945,2.828,2.828
2011-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.06,-1.12,-1.80,-1.80,-1.80,-1.80,-1.04,-1.04,-0.97,-1.02,0.617,0.181,0.181
2012-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.37,-0.55,-0.14,-0.77,-0.86,-1.01,-1.01,-0.91,-0.78,-2.207,-2.810,-2.810
2012-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.08,0.36,-0.42,-0.34,-1.14,-1.14,-1.33,-1.54,-6.069,-6.422,-6.422
2012-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.33,-3.87,-3.76,-4.03,-4.03,-4.02,-3.85,-9.079,-8.579,-8.579
2012-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.20,-3.33,-3.97,-3.97,-3.88,-3.97,-4.822,-5.476,-5.476
2013-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.97,-0.94,-0.54,-1.13,0.40,-4.426,-5.065,-5.065
2013-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.43,-1.64,-1.54,-2.00,-5.105,-5.851,-5.851
2013-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.53,-2.88,-2.18,-6.662,-5.798,-5.798
2013-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.80,-2.92,-4.410,-5.679,-5.679
2014-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,-5.933,-5.680,-6.308
2014-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.260,-4.735,-4.492
2014-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.444,-11.493
2014-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.485
