"",1995-09-06,1995-12-07,1996-03-07,1996-06-05,1996-09-05,1996-12-04,1997-03-04,1997-06-05,1997-09-10,1997-12-04,1998-02-27,1998-06-04,1998-09-09,1998-12-03,1999-03-04,2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
2006-10,,,,,,,,,,,,,,,,,,,,,,,287.64,287.64,289.51,289.51,289.46,289.46,289.71,289.71,289.71,289.71,289.17,289.17,289.17,289.25,289.64,289.64,289.64,289.67,291.60,291.60,291.60,291.60,291.70,291.69,291.69,291.69,291.57,291.61,291.61,291.61,293.771,293.772,293.772
2007-01,,,,,,,,,,,,,,,,,,,,,,,,292.16,293.14,293.32,293.31,293.19,292.92,292.92,292.92,292.92,292.46,292.48,292.48,292.58,292.44,292.44,292.44,292.34,293.98,293.98,293.98,293.98,293.77,293.77,293.77,293.77,293.90,293.79,293.79,293.79,296.202,296.205,296.205
2007-04,,,,,,,,,,,,,,,,,,,,,,,,,295.17,295.66,295.62,295.52,295.58,295.58,295.58,295.58,295.10,295.10,295.10,295.18,294.81,294.81,294.81,294.73,295.95,295.95,295.95,295.95,295.92,295.93,295.93,295.93,295.91,295.94,295.94,295.94,298.446,298.439,298.439
2007-07,,,,,,,,,,,,,,,,,,,,,,,,,,296.50,295.81,296.05,296.35,296.35,296.35,296.35,295.88,295.86,295.86,295.59,295.63,295.63,295.63,295.77,297.29,297.29,297.29,297.29,297.40,297.40,297.40,297.40,297.46,297.50,297.50,297.50,300.144,300.146,300.146
2007-10,,,,,,,,,,,,,,,,,,,,,,,,,,,296.63,297.71,298.61,298.61,298.61,298.61,297.01,297.01,297.01,297.09,297.51,297.51,297.51,297.58,299.71,299.71,299.71,299.71,299.86,299.85,299.85,299.85,299.67,299.71,299.71,299.71,302.277,302.279,302.279
2008-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.91,302.94,302.98,303.04,302.75,303.07,303.08,303.08,303.23,302.61,302.61,302.61,302.38,304.20,304.20,304.20,304.20,303.70,303.71,303.71,303.71,303.90,303.77,303.77,303.76,306.819,306.824,306.824
2008-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.47,304.98,305.23,305.33,305.56,305.57,305.57,305.68,304.67,304.67,304.67,304.57,306.70,306.70,306.70,306.70,306.70,306.70,306.70,306.70,306.73,306.77,306.77,306.77,309.454,309.443,309.443
2008-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.79,307.78,307.69,307.78,307.76,307.76,307.45,307.15,307.15,307.15,307.30,308.31,308.31,308.31,308.31,308.39,308.39,308.39,308.39,308.44,308.49,308.49,308.49,311.318,311.321,311.321
2008-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.48,308.53,307.58,307.59,307.59,307.66,308.06,308.06,308.06,308.23,310.22,310.22,310.22,310.22,310.61,310.61,310.61,310.61,310.33,310.36,310.36,310.37,313.682,313.687,313.687
2009-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.26,305.84,306.00,306.09,306.16,306.34,306.34,306.34,306.00,307.78,307.78,307.78,307.78,308.14,308.14,308.14,308.14,308.15,308.01,308.01,308.00,311.484,311.490,311.490
2009-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.26,305.28,305.59,305.61,305.65,305.65,305.65,305.50,306.71,306.71,306.71,306.71,306.78,306.80,306.80,306.80,306.76,306.80,306.80,306.80,310.159,310.141,310.141
2009-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.23,306.33,305.76,306.59,306.59,306.59,306.78,307.34,307.34,307.34,307.34,308.06,308.05,308.05,308.05,308.04,308.08,308.08,308.08,311.518,311.522,311.522
2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.87,305.77,307.22,307.22,307.22,307.49,308.78,308.78,308.78,308.78,309.46,309.44,309.44,309.44,309.26,309.31,309.31,309.32,312.499,312.507,312.507
2010-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.01,310.52,311.12,310.94,310.26,311.41,311.41,311.41,311.41,312.61,312.61,312.61,312.61,312.82,312.71,312.71,312.71,316.294,316.302,316.302
2010-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.19,313.87,314.00,313.52,314.11,314.11,314.11,314.11,315.68,315.70,315.70,315.70,315.51,315.55,315.55,315.52,318.815,318.789,318.789
2010-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.02,316.45,316.06,316.43,316.43,316.43,316.43,318.83,318.81,318.81,318.81,318.73,318.78,318.78,318.78,322.016,322.020,322.020
2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.62,318.34,319.43,319.43,319.43,319.43,322.18,322.17,322.17,322.17,321.57,321.60,321.60,321.63,324.839,324.853,324.853
2011-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.38,324.75,324.90,325.12,325.11,326.91,326.92,326.92,326.92,326.72,326.60,326.60,326.58,329.938,329.951,329.951
2011-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.64,328.67,329.19,329.22,331.06,331.10,331.10,331.10,330.37,330.43,330.43,330.38,333.647,333.599,333.599
2011-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.89,329.95,330.10,332.72,332.70,332.70,332.70,332.10,332.14,332.14,332.14,335.334,335.345,335.345
2011-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.87,332.86,335.61,335.59,335.59,335.59,334.86,334.87,334.87,334.92,337.742,337.766,337.766
2012-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.69,339.29,339.08,339.19,339.14,339.33,339.24,339.24,339.20,342.104,342.123,342.123
2012-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.97,343.14,343.27,343.18,343.41,343.49,343.49,343.40,346.498,346.425,346.425
2012-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.34,345.23,345.10,345.13,345.16,345.16,345.18,348.134,348.154,348.154
2012-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.82,348.44,348.04,348.03,348.03,348.14,350.893,350.929,350.929
2013-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.41,349.69,349.64,349.46,349.29,351.983,352.008,352.008
2013-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.78,352.53,352.35,352.11,355.088,354.979,354.979
2013-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.15,355.17,355.29,358.036,358.069,358.069
2013-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.21,358.10,361.122,361.172,361.172
2014-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.61,365.193,365.322,365.255
2014-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.563,368.140,368.030
2014-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.110,371.105
2014-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.389
