"",2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro,Euro,Euro,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
2004-07,197.88,197.95,197.95,197.95,197.95,197.95,197.95,197.95,197.95,197.95,197.95,197.95,197.95,197.95,197.95,197.95,197.95,200.16,200.16,200.16,200.16,200.16,200.16,200.16,200.16,200.16,200.16,200.16,200.16,199.877,199.877,199.877
2004-10,216.30,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,216.40,220.65,220.65,220.65,220.65,220.65,220.65,220.65,220.65,220.65,220.65,220.65,220.65,220.001,220.001,220.001
2005-01,186.01,186.07,186.07,186.07,186.07,186.01,186.01,186.01,186.01,185.99,185.99,185.99,185.99,185.99,185.99,185.99,185.99,188.65,188.65,188.65,188.65,188.65,188.65,188.65,188.65,188.65,188.65,188.65,188.65,189.011,189.011,189.011
2005-04,194.44,194.53,194.53,194.53,194.53,194.51,194.51,194.51,194.51,194.49,194.49,194.49,194.49,194.49,194.49,194.49,194.49,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,197.88,198.380,198.380,198.380
2005-07,196.98,196.87,196.87,196.87,196.87,196.88,196.88,196.88,196.88,196.86,196.86,196.86,196.86,196.86,196.86,196.86,196.86,198.69,198.69,198.69,198.69,198.69,198.69,198.69,198.69,198.69,198.69,198.69,198.69,199.720,199.720,199.720
2005-10,215.67,215.80,215.80,215.80,215.80,215.69,215.69,215.69,215.69,215.68,215.68,215.68,215.68,215.68,215.68,215.68,215.68,219.42,219.42,219.42,219.42,219.42,219.42,219.42,219.42,219.42,219.42,219.42,219.42,220.393,220.393,220.393
2006-01,186.70,187.32,187.32,187.32,187.32,187.18,187.18,187.18,187.18,187.13,187.13,187.13,187.13,187.16,187.16,187.16,187.16,189.55,189.55,189.55,189.55,189.55,189.55,189.55,189.55,189.55,189.55,189.55,189.55,190.115,190.115,190.115
2006-04,197.55,198.49,198.49,198.49,198.49,198.28,198.28,198.28,198.28,198.26,198.26,198.26,198.26,198.28,198.28,198.28,198.28,201.24,201.24,201.24,201.24,201.24,201.24,201.24,201.24,201.24,201.24,201.24,201.24,202.229,202.229,202.229
2006-07,202.04,202.67,202.67,202.67,202.67,202.58,202.58,202.58,202.58,202.56,202.56,202.56,202.56,202.60,202.60,202.60,202.60,204.38,204.38,204.38,204.38,204.38,204.38,204.38,204.38,204.38,204.38,204.38,204.38,206.057,206.057,206.057
2006-10,220.96,221.92,221.92,221.92,221.92,221.78,221.78,221.78,221.78,221.76,221.76,221.76,221.76,221.77,221.77,221.77,221.77,225.34,225.34,225.34,225.34,225.34,225.34,225.34,225.34,225.34,225.34,225.34,225.34,226.918,226.918,226.918
2007-01,192.47,194.14,194.00,194.11,194.09,194.02,194.02,194.02,194.02,193.42,193.42,193.42,193.42,193.40,193.40,193.40,193.40,195.57,195.57,195.57,195.57,195.57,195.57,195.57,195.57,195.57,195.57,195.57,195.57,197.002,197.002,197.002
2007-04,,205.86,205.86,206.28,206.20,206.41,206.41,206.41,206.41,205.76,205.76,205.76,205.76,205.77,205.77,205.77,205.77,208.39,208.39,208.39,208.39,208.39,208.39,208.39,208.39,208.39,208.39,208.39,208.39,210.075,210.075,210.075
2007-07,,,209.03,208.57,208.80,208.57,208.57,208.57,208.57,207.90,207.90,207.90,207.90,207.90,207.90,207.90,207.90,209.16,209.16,209.16,209.16,209.16,209.16,209.16,209.16,209.16,209.16,209.16,209.16,211.402,211.402,211.402
2007-10,,,,229.39,230.44,230.59,230.59,230.59,230.59,229.87,229.87,229.87,229.87,229.82,229.82,229.82,229.82,233.27,233.27,233.27,233.27,233.27,233.27,233.27,233.27,233.27,233.27,233.27,233.27,235.302,235.302,235.302
2008-01,,,,,201.51,201.79,201.81,201.90,201.59,201.50,201.50,201.50,201.50,201.33,201.33,201.33,201.33,203.53,203.53,203.53,203.53,203.36,203.36,203.36,203.36,203.36,203.36,203.36,203.36,205.391,205.391,205.391
2008-04,,,,,,213.85,213.22,213.30,213.28,213.01,213.01,213.01,213.01,212.86,212.86,212.86,212.86,216.31,216.31,216.31,216.31,216.31,216.31,216.31,216.31,216.31,216.31,216.31,216.31,218.140,218.140,218.140
2008-07,,,,,,,217.12,217.85,217.73,217.40,217.40,217.40,217.40,217.28,217.28,217.28,217.28,217.89,217.89,217.89,217.89,217.71,217.71,217.71,217.71,217.71,217.71,217.71,217.71,219.834,219.834,219.834
2008-10,,,,,,,,237.92,237.06,236.77,236.77,236.77,236.77,236.91,236.91,236.91,236.91,240.16,240.16,240.16,240.16,240.25,240.25,240.25,240.25,240.25,240.25,240.25,240.25,242.943,242.943,242.943
2009-01,,,,,,,,,201.41,201.00,200.94,201.11,200.86,201.14,201.14,201.14,201.14,203.24,203.24,203.24,203.24,203.70,203.70,203.70,203.70,203.45,203.45,203.45,203.45,206.090,206.090,206.090
2009-04,,,,,,,,,,209.30,208.82,209.14,208.84,209.56,209.56,209.56,209.56,212.41,212.41,212.41,212.41,212.51,212.51,212.51,212.51,212.50,212.50,212.50,212.50,214.977,214.977,214.977
2009-07,,,,,,,,,,,210.88,210.91,210.52,211.11,211.11,211.11,211.11,211.39,211.39,211.39,211.39,211.53,211.53,211.53,211.53,211.42,211.42,211.42,211.42,214.181,214.181,214.181
2009-10,,,,,,,,,,,,230.84,230.42,231.20,231.20,231.20,231.20,233.79,233.79,233.79,233.79,233.98,233.98,233.98,233.98,234.12,234.12,234.12,234.12,236.699,236.699,236.699
2010-01,,,,,,,,,,,,,200.26,201.42,201.80,201.54,201.32,202.64,202.64,202.64,202.64,203.99,203.99,203.99,203.99,203.78,203.78,203.78,203.78,206.521,206.521,206.521
2010-04,,,,,,,,,,,,,,213.61,214.74,214.86,214.54,216.67,216.67,216.67,216.67,218.39,218.39,218.39,218.39,218.08,218.08,218.08,218.08,220.520,220.520,220.520
2010-07,,,,,,,,,,,,,,,218.48,219.02,218.62,218.56,218.56,218.56,218.56,220.24,220.24,220.24,220.24,219.90,219.90,219.90,219.90,222.502,222.502,222.502
2010-10,,,,,,,,,,,,,,,,240.30,240.20,242.49,242.49,242.49,242.49,244.85,244.85,244.85,244.85,244.47,244.47,244.47,244.47,246.858,246.858,246.858
2011-01,,,,,,,,,,,,,,,,,211.83,213.73,213.67,213.59,213.64,215.60,215.60,215.60,215.60,215.01,215.01,215.01,215.01,217.460,217.460,217.460
2011-04,,,,,,,,,,,,,,,,,,228.93,228.67,228.76,228.81,230.93,230.93,230.93,230.93,230.29,230.29,230.29,230.29,232.469,232.469,232.469
2011-07,,,,,,,,,,,,,,,,,,,228.83,229.66,229.73,231.46,231.46,231.46,231.46,230.72,230.72,230.72,230.72,233.224,233.224,233.224
2011-10,,,,,,,,,,,,,,,,,,,,253.14,253.06,255.69,255.69,255.69,255.69,255.28,255.28,255.28,255.28,257.496,257.496,257.496
2012-01,,,,,,,,,,,,,,,,,,,,,223.57,224.98,224.63,224.81,224.75,224.18,224.18,224.18,224.18,226.810,226.810,226.810
2012-04,,,,,,,,,,,,,,,,,,,,,,240.73,240.89,241.12,241.08,240.63,240.63,240.63,240.63,242.942,242.942,242.942
2012-07,,,,,,,,,,,,,,,,,,,,,,,239.80,240.60,240.54,239.85,239.85,239.85,239.85,242.528,242.528,242.528
2012-10,,,,,,,,,,,,,,,,,,,,,,,,265.06,265.28,264.81,264.81,264.81,264.81,267.059,267.059,267.059
2013-01,,,,,,,,,,,,,,,,,,,,,,,,,232.76,230.93,230.92,230.67,230.62,233.111,233.111,233.111
2013-04,,,,,,,,,,,,,,,,,,,,,,,,,,247.04,247.11,246.80,246.76,249.170,249.170,249.170
2013-07,,,,,,,,,,,,,,,,,,,,,,,,,,,246.15,246.20,246.14,248.531,248.531,248.531
2013-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.16,271.51,273.891,273.891,273.891
2014-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.69,242.188,242.167,242.140
2014-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.266,258.885,258.761
2014-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.786,257.877
2014-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.753
