"",2005-05-12,2005-08-11,2005-11-15,2006-02-14,2006-05-11,2006-08-14,2006-11-14,2007-02-13,2007-05-15,2007-08-14,2007-11-14,2008-02-14,2008-05-15,2008-08-14,2008-11-13,2009-02-13,2009-05-15,2009-08-13,2009-11-13,2010-02-12,2010-05-12,2010-08-13,2010-11-12,2011-02-15,2011-05-13,2011-08-16,2011-11-15,2012-02-15,2012-05-15,2012-08-14,2012-11-15,2013-02-14,2013-05-15,2013-08-14,2013-11-14,2014-02-14,2014-05-15,2014-08-14,2014-11-14,2015-02-13,2015-05-13
2011-01,,,,,,,,,,,,,,,,,,,,,,,,,111.71,109.04,109.04,109.04,109.04,109.53,109.53,109.53,109.53,109.86,109.86,109.86,109.86,103.09,103.09,103.09,103.09
2011-04,,,,,,,,,,,,,,,,,,,,,,,,,,109.17,109.34,109.34,109.34,110.03,110.03,110.03,110.03,109.96,109.96,109.96,109.96,103.28,103.28,103.28,103.28
2011-07,,,,,,,,,,,,,,,,,,,,,,,,,,,109.89,109.97,109.97,110.43,110.43,110.43,110.43,110.43,110.43,110.43,110.43,103.68,103.68,103.68,103.68
2011-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.77,109.77,110.27,110.27,110.27,110.27,110.54,110.54,110.54,110.54,103.68,103.68,103.68,103.68
2012-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.33,110.82,110.82,110.83,110.96,111.27,111.27,111.27,111.27,104.00,104.00,104.00,104.00
2012-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.12,111.12,111.13,111.14,111.18,111.18,111.18,111.18,104.13,104.13,104.13,104.13
2012-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.38,111.39,111.38,111.40,111.40,111.40,111.40,104.22,104.22,104.22,104.22
2012-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.73,110.61,110.89,110.89,110.89,110.89,103.79,103.79,103.79,103.79
2013-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.68,110.89,110.89,110.89,110.89,103.37,103.37,103.37,103.37
2013-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.69,111.69,111.69,111.69,104.19,104.19,104.19,104.19
2013-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.05,112.05,112.05,104.50,104.50,104.50,104.50
2013-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.48,112.48,104.97,104.97,104.97,104.97
2014-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.40,105.67,105.77,105.78,105.78
2014-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.50,105.68,105.69,105.69
2014-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.75,105.76,105.76
2014-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.50,106.50
2015-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.79
