"",1995-09-28,1995-12-28,1996-03-28,1996-06-28,1996-09-28,1996-12-28,1997-03-28,1997-06-28,1997-09-28,1997-12-28,1998-03-28,1998-06-28,1998-09-28,1998-12-28,1999-03-28,1999-06-08,1999-09-09,1999-12-07,2000-03-02,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-27,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22,2005-05-12,2005-08-11,2005-11-15,2006-02-14,2006-05-11,2006-08-14,2006-11-14,2007-02-13,2007-05-15,2007-08-14,2007-11-14,2008-02-14,2008-05-15,2008-08-14,2008-11-13,2009-02-13,2009-05-15,2009-08-13,2009-11-13,2010-02-12,2010-05-12,2010-08-13,2010-11-12,2011-02-15,2011-05-13,2011-08-16,2011-11-15,2012-02-15,2012-05-15,2012-08-14,2012-11-15,2013-02-14,2013-05-15,2013-08-14,2013-11-14,2014-02-14,2014-05-15,2014-08-14,2014-11-14,2015-02-13
2003-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.80,106.50,106.50,106.50,106.50,106.70,106.70,106.70,98.88,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.78,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,95.80,95.80,95.80,95.80,95.80,95.80,95.80,95.80,95.80,95.80,95.80,95.80,90.26,90.26,90.26
2003-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.70,106.50,106.50,106.60,106.60,106.60,106.60,100.74,100.36,100.36,100.36,100.36,100.27,100.27,100.27,100.27,100.21,100.21,100.21,100.21,100.21,100.21,100.21,100.21,100.21,100.21,100.21,100.21,100.21,100.21,100.21,100.21,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,97.29,91.45,91.45,91.45
2003-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.80,106.90,106.90,106.90,106.90,106.90,102.83,102.63,102.63,102.63,102.63,102.60,102.60,102.60,102.60,102.64,102.64,102.64,102.64,102.64,102.64,102.64,102.64,102.64,102.64,102.64,102.64,102.64,102.64,102.64,102.64,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,100.49,94.29,94.29,94.29
2003-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.50,108.40,108.60,108.60,108.60,102.95,102.69,102.69,102.69,102.69,102.53,102.53,102.53,102.53,102.56,102.56,102.56,102.56,102.56,102.56,102.56,102.56,102.56,102.56,102.56,102.56,102.56,102.56,102.56,102.56,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,93.30,93.30,93.30
2004-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.50,107.70,107.70,107.70,100.68,100.74,100.74,100.74,100.74,100.42,100.42,100.42,100.42,100.11,100.11,100.11,100.11,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,100.29,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,97.25,91.71,91.71,91.71
2004-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.90,107.90,107.80,102.66,102.44,102.44,102.44,102.44,102.03,102.03,102.03,102.03,101.68,101.68,101.68,101.68,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,101.85,98.86,98.86,98.86,98.86,98.86,98.86,98.86,98.86,98.86,98.86,98.86,98.86,92.91,92.91,92.91
2004-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.80,107.50,104.10,103.85,103.85,103.85,103.85,103.38,103.38,103.38,103.38,103.09,103.09,103.09,103.09,103.24,103.24,103.24,103.24,103.24,103.24,103.24,103.24,103.24,103.24,103.24,103.24,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,101.11,94.86,94.86,94.86
2004-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.90,104.32,104.02,104.02,104.02,104.02,103.41,103.41,103.41,103.41,103.49,103.49,103.49,103.49,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,94.17,94.17,94.17
2005-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.68,100.44,100.28,100.28,100.26,99.84,99.84,99.84,99.84,99.31,99.31,99.31,99.31,99.44,99.44,99.44,99.44,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.48,96.51,96.51,96.51,96.51,96.51,96.51,96.51,96.51,96.51,96.51,96.51,96.51,91.05,91.05,91.05
2005-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.00,104.06,104.15,104.25,103.78,103.78,103.78,103.78,103.30,103.30,103.30,103.30,103.47,103.47,103.47,103.47,103.32,103.32,103.32,103.32,103.32,103.32,103.32,103.32,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,100.07,94.08,94.08,94.08
2005-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.17,105.26,105.37,104.80,104.80,104.80,104.80,104.42,104.42,104.42,104.42,104.60,104.60,104.60,104.60,104.57,104.57,104.57,104.57,104.57,104.57,104.57,104.57,102.33,102.33,102.33,102.33,102.33,102.33,102.33,102.33,102.33,102.33,102.33,102.33,96.08,96.08,96.08
2005-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.01,105.12,104.52,104.52,104.52,104.52,104.54,104.54,104.54,104.54,104.60,104.60,104.60,104.60,104.66,104.66,104.66,104.66,104.66,104.66,104.66,104.66,101.07,101.07,101.07,101.07,101.07,101.07,101.07,101.07,101.07,101.07,101.07,101.07,95.09,95.09,95.09
2006-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.15,102.90,103.03,103.06,103.06,102.70,102.70,102.70,102.70,103.02,103.02,103.02,103.02,103.19,103.19,103.19,103.19,103.38,103.38,103.38,103.38,100.68,100.68,100.68,100.68,100.68,100.68,100.68,100.68,100.68,100.68,100.68,100.68,94.98,94.98,94.98
2006-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.82,105.13,105.26,105.32,104.99,104.99,104.99,104.99,105.22,105.22,105.22,105.22,105.30,105.30,105.30,105.30,105.53,105.53,105.53,105.53,102.45,102.45,102.45,102.45,102.45,102.45,102.45,102.45,102.45,102.45,102.45,102.45,96.35,96.35,96.35
2006-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.22,107.52,107.63,107.25,107.25,107.25,107.25,107.49,107.49,107.49,107.49,107.71,107.71,107.71,107.71,107.93,107.93,107.93,107.93,105.91,105.91,105.91,105.91,105.91,105.91,105.91,105.91,105.91,105.91,105.91,105.91,99.46,99.46,99.46
2006-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.18,108.40,108.42,108.42,108.42,108.42,108.60,108.60,108.60,108.60,108.86,108.86,108.86,108.86,109.07,109.07,109.07,109.07,105.75,105.75,105.75,105.75,105.75,105.75,105.75,105.75,105.75,105.75,105.75,105.75,99.44,99.44,99.44
2007-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.43,106.09,106.09,106.21,106.21,106.56,106.56,106.56,106.56,106.81,106.81,106.81,106.81,107.29,107.29,107.29,107.29,104.99,104.99,104.99,104.99,104.99,104.99,104.99,104.99,104.99,104.99,104.99,104.99,99.09,99.09,99.09
2007-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.61,107.61,107.63,107.63,107.84,107.84,107.84,107.84,107.97,107.97,107.97,107.97,108.38,108.38,108.38,108.38,105.91,105.91,105.91,105.91,105.91,105.91,105.91,105.91,105.91,105.91,105.91,105.91,99.64,99.64,99.64
2007-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.84,109.84,109.84,110.06,110.06,110.06,110.06,110.32,110.32,110.32,110.32,110.74,110.74,110.74,110.74,109.41,109.41,109.41,109.41,109.41,109.41,109.41,109.41,109.41,109.41,109.41,109.41,102.75,102.75,102.75
2007-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.18,110.18,110.31,110.31,110.31,110.31,110.45,110.45,110.45,110.45,110.84,110.84,110.84,110.84,108.06,108.06,108.06,108.06,108.06,108.06,108.06,108.06,108.06,108.06,108.06,108.06,101.52,101.52,101.52
2008-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.16,108.46,108.59,108.76,108.76,109.00,109.00,109.00,109.00,109.30,109.30,109.30,109.30,107.17,107.17,107.17,107.17,107.17,107.17,107.17,107.17,107.17,107.17,107.17,107.17,101.11,101.11,101.11
2008-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.18,111.39,111.47,111.47,111.61,111.61,111.61,111.61,111.66,111.66,111.66,111.66,109.22,109.22,109.22,109.22,109.22,109.22,109.22,109.22,109.22,109.22,109.22,109.22,102.67,102.67,102.67
2008-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.52,111.58,111.58,111.83,111.83,111.83,111.83,111.88,111.88,111.88,111.88,110.58,110.58,110.58,110.58,110.58,110.58,110.58,110.58,110.58,110.58,110.58,110.58,103.83,103.83,103.83
2008-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.59,108.46,108.58,108.58,108.58,108.58,108.73,108.73,108.73,108.73,106.04,106.04,106.04,106.04,106.04,106.04,106.04,106.04,106.04,106.04,106.04,106.04,99.63,99.63,99.63
2009-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.47,102.01,102.01,102.01,102.01,102.37,102.37,102.37,102.37,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23,100.23,94.48,94.48,94.48
2009-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.66,103.79,103.79,103.79,104.10,104.10,104.10,104.10,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.14,101.08,101.08,101.08,101.08,94.61,94.61,94.61
2009-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.52,106.52,106.52,106.95,106.95,106.95,106.95,105.05,105.05,105.05,105.05,105.05,105.05,105.05,105.05,105.05,105.05,105.05,105.05,97.98,97.98,97.98
2009-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.77,106.97,107.31,107.31,107.31,107.31,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,104.37,97.21,97.21,97.21
2010-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.75,104.52,104.62,104.69,104.90,102.82,102.82,102.82,102.82,103.07,103.07,103.07,103.07,102.96,102.96,102.96,102.96,96.94,96.94,96.94
2010-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.37,108.58,108.58,108.58,105.57,105.57,105.57,105.57,106.21,106.21,106.21,106.21,105.80,105.80,105.80,105.80,99.06,99.06,99.06
2010-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.13,111.13,111.13,109.25,109.25,109.25,109.25,109.81,109.81,109.81,109.81,109.69,109.69,109.69,109.69,102.49,102.49,102.49
2010-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.61,111.40,108.32,108.32,108.32,108.32,108.79,108.79,108.79,108.79,108.74,108.74,108.74,108.74,101.50,101.50,101.50
2011-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.36,107.97,107.97,107.97,107.97,108.42,108.42,108.42,108.42,108.78,108.78,108.78,108.78,102.75,102.75,102.75
2011-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.53,108.70,108.70,108.70,109.49,109.49,109.49,109.49,109.38,109.38,109.38,109.38,102.62,102.62,102.62
2011-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.00,112.08,112.08,112.64,112.64,112.64,112.64,112.83,112.83,112.83,112.83,105.67,105.67,105.67
2011-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.97,109.97,110.28,110.28,110.28,110.28,110.45,110.45,110.45,110.45,103.32,103.32,103.32
2012-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.77,110.26,110.26,110.26,110.38,110.74,110.74,110.74,110.74,104.25,104.25,104.25
2012-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.04,110.04,110.04,110.06,109.99,109.99,109.99,109.99,102.89,102.89,102.89
2012-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.08,113.08,113.08,113.29,113.29,113.29,113.29,105.75,105.75,105.75
2012-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.40,110.28,110.45,110.45,110.45,110.45,103.03,103.03,103.03
2013-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.86,109.01,109.01,109.01,109.01,102.42,102.42,102.42
2013-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.97,110.97,110.97,110.97,103.36,103.36,103.36
2013-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.54,114.54,114.54,106.55,106.55,106.55
2013-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.86,111.86,104.02,104.02,104.02
2014-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.75,105.00,105.10,105.10
2014-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.22,104.40,104.40
2014-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.87,107.87
2014-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.68
