ifo Institut,File Nr. 1 / 1,12 Reihen pro Jahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurzname:,C0000000:GU+§BDU,C0000000:GU=§BDU,C0000000:GU-§BDU,C0000000:GUS§BDU,C0000000:GUS§BDS,C0000000:QV+§BDU,C0000000:QV=§BDU,C0000000:QV-§BDU,C0000000:QVS§BDU,C0000000:QVS§BDS,C0000000:LU+§BDU,C0000000:LU=§BDU,C0000000:LU-§BDU,C0000000:LUS§BDU,C0000000:LUS§BDS,C0000000:AV+§BDU,C0000000:AV=§BDU,C0000000:AV-§BDU,C0000000:AVS§BDU,C0000000:AVS§BDS,C0000000:BV+§BDU,C0000000:BV=§BDU,C0000000:BV-§BDU,C0000000:BVS§BDU,C0000000:BVS§BDS,C0000000:BU+§BDU,C0000000:BU=§BDU,C0000000:BU-§BDU,C0000000:BUS§BDU,C0000000:BUS§BDS,C0000000:PV+§BDU,C0000000:PV=§BDU,C0000000:PV-§BDU,C0000000:PVS§BDU,C0000000:PVS§BDS,C0000000:QE+§BDU,C0000000:QE=§BDU,C0000000:QE-§BDU,C0000000:QES§BDU,C0000000:QES§BDS,C0000000:PW+§BDU,C0000000:PW=§BDU,C0000000:PW-§BDU,C0000000:PWS§BDU,C0000000:PWS§BDS,C0000000:XE+§BDU,C0000000:XE=§BDU,C0000000:XE-§BDU,C0000000:XES§BDU,C0000000:XES§BDS,C0000000:XU+§BDU,C0000000:XU=§BDU,C0000000:XU-§BDU,C0000000:XUS§BDU,C0000000:XUS§BDS,C0000000:GE+§BDU,C0000000:GE=§BDU,C0000000:GE-§BDU,C0000000:GES§BDU,C0000000:GES§BDS,C0000000:BE+§BDU,C0000000:BE=§BDU,C0000000:BE-§BDU,C0000000:BES§BDU,C0000000:BES§BDS,C0000000:KLD§BDU,C0000000:KLD§BDS
 11/1997,,,,,16.2,,,,,2.5,,,,,3.6,,,,,5.1,,,,,1.7,,,,,-9.5,,,,,1.1,,,,,11.7,,,,,7.4,,,,,14.4,,,,,-13.9,,,,,19.4,,,,,-5.8,,17.8
 12/1997,,,,,18.7,,,,,5.9,,,,,2.7,,,,,12.9,,,,,5.2,,,,,-7.4,,,,,0.8,,,,,13.9,,,,,6.9,,,,,15.5,,,,,-10.5,,,,,19.9,,,,,-3.7,,19.3
 01/1998,,,,,16.5,,,,,5.0,,,,,4.1,,,,,11.3,,,,,6.2,,,,,-6.3,,,,,3.5,,,,,14.6,,,,,6.1,,,,,14.0,,,,,-9.9,,,,,14.3,,,,,-5.1,,15.4
 02/1998,,,,,19.0,,,,,6.9,,,,,3.9,,,,,9.6,,,,,5.6,,,,,-7.7,,,,,-0.7,,,,,10.8,,,,,6.1,,,,,14.7,,,,,-12.5,,,,,12.5,,,,,-4.2,,15.7
 03/1998,,,,,21.2,,,,,8.6,,,,,2.0,,,,,12.9,,,,,5.3,,,,,-4.8,,,,,1.5,,,,,8.6,,,,,4.5,,,,,13.4,,,,,-11.4,,,,,12.6,,,,,-3.6,,16.9
 04/1998,,,,,21.5,,,,,6.1,,,,,5.5,,,,,5.2,,,,,1.7,,,,,-4.9,,,,,5.2,,,,,10.5,,,,,5.6,,,,,12.5,,,,,-11.3,,,,,11.9,,,,,-2.0,,16.7
 05/1998,,,,,21.1,,,,,2.0,,,,,5.0,,,,,1.3,,,,,-0.3,,,,,-5.8,,,,,0.3,,,,,9.1,,,,,3.9,,,,,9.5,,,,,-11.0,,,,,12.0,,,,,-1.8,,16.5
 06/1998,,,,,17.8,,,,,2.7,,,,,5.2,,,,,5.5,,,,,-2.7,,,,,-6.5,,,,,-1.7,,,,,5.5,,,,,2.4,,,,,7.8,,,,,-12.4,,,,,9.0,,,,,-6.7,,13.3
 07/1998,,,,,17.8,,,,,1.7,,,,,9.3,,,,,0.4,,,,,-7.3,,,,,-8.0,,,,,-3.5,,,,,5.9,,,,,1.1,,,,,6.6,,,,,-12.8,,,,,7.2,,,,,-3.3,,12.4
 08/1998,,,,,13.5,,,,,-3.6,,,,,8.9,,,,,-4.4,,,,,-5.3,,,,,-10.7,,,,,-5.0,,,,,8.1,,,,,0.3,,,,,6.0,,,,,-16.4,,,,,3.9,,,,,-4.3,,8.6
 09/1998,,,,,11.0,,,,,1.1,,,,,8.9,,,,,1.3,,,,,-7.3,,,,,-14.2,,,,,-4.5,,,,,2.3,,,,,-2.7,,,,,1.1,,,,,-19.4,,,,,-3.9,,,,,-7.9,,3.4
 10/1998,,,,,6.7,,,,,-7.4,,,,,11.1,,,,,-10.4,,,,,-17.6,,,,,-16.4,,,,,-8.1,,,,,-4.2,,,,,-2.9,,,,,-1.8,,,,,-23.7,,,,,-5.7,,,,,-10.8,,0.4
 11/1998,,,,,7.3,,,,,-9.7,,,,,9.6,,,,,-10.5,,,,,-13.6,,,,,-17.4,,,,,-5.0,,,,,-4.2,,,,,-0.4,,,,,0.5,,,,,-25.8,,,,,-6.4,,,,,-14.9,,0.3
 12/1998,,,,,3.8,,,,,-11.1,,,,,12.7,,,,,-9.0,,,,,-11.3,,,,,-21.4,,,,,-6.2,,,,,-3.7,,,,,-3.8,,,,,-0.3,,,,,-27.4,,,,,-7.9,,,,,-15.5,,-2.1
 01/1999,,,,,0.4,,,,,-11.7,,,,,13.1,,,,,-7.1,,,,,-9.9,,,,,-23.2,,,,,-8.3,,,,,-6.2,,,,,-2.8,,,,,-0.9,,,,,-26.7,,,,,-8.7,,,,,-13.2,,-4.2
 02/1999,,,,,-4.0,,,,,-11.3,,,,,14.8,,,,,-4.8,,,,,-13.8,,,,,-25.7,,,,,-8.9,,,,,-8.3,,,,,0.2,,,,,-2.3,,,,,-31.5,,,,,-13.7,,,,,-17.3,,-8.9
 03/1999,,,,,-5.7,,,,,-6.6,,,,,14.9,,,,,-3.3,,,,,-12.3,,,,,-25.7,,,,,-1.4,,,,,-6.6,,,,,-2.5,,,,,-0.6,,,,,-32.5,,,,,-12.6,,,,,-16.5,,-9.2
 04/1999,,,,,-6.5,,,,,-17.3,,,,,14.4,,,,,-14.3,,,,,-11.4,,,,,-26.0,,,,,-7.7,,,,,-5.7,,,,,-0.5,,,,,-2.6,,,,,-29.3,,,,,-10.4,,,,,-17.9,,-8.4
 05/1999,,,,,-7.9,,,,,-9.8,,,,,15.0,,,,,-6.7,,,,,-9.5,,,,,-28.8,,,,,-5.8,,,,,-6.1,,,,,1.9,,,,,2.4,,,,,-35.1,,,,,-6.2,,,,,-17.7,,-7.0
 06/1999,,,,,-5.2,,,,,-1.3,,,,,14.2,,,,,4.4,,,,,-5.2,,,,,-24.5,,,,,1.3,,,,,-2.5,,,,,5.2,,,,,6.8,,,,,-30.5,,,,,-1.0,,,,,-15.6,,-3.1
 07/1999,,,,,-5.2,,,,,-8.9,,,,,12.4,,,,,-2.9,,,,,-3.5,,,,,-24.0,,,,,2.4,,,,,-0.9,,,,,5.0,,,,,5.6,,,,,-28.9,,,,,-0.8,,,,,-14.2,,-3.0
 08/1999,,,,,-2.4,,,,,-6.4,,,,,11.0,,,,,3.7,,,,,0.2,,,,,-22.8,,,,,2.0,,,,,-0.8,,,,,6.1,,,,,6.1,,,,,-27.5,,,,,3.9,,,,,-15.4,,0.7
 09/1999,,,,,2.0,,,,,0.2,,,,,10.9,,,,,4.9,,,,,-2.2,,,,,-21.2,,,,,4.5,,,,,1.1,,,,,6.1,,,,,7.0,,,,,-26.4,,,,,8.2,,,,,-14.0,,5.0
 10/1999,,,,,1.7,,,,,0.7,,,,,9.1,,,,,2.0,,,,,-0.2,,,,,-20.3,,,,,3.9,,,,,5.8,,,,,6.3,,,,,9.3,,,,,-24.7,,,,,11.4,,,,,-16.0,,6.5
 11/1999,,,,,6.0,,,,,3.9,,,,,8.6,,,,,16.7,,,,,8.1,,,,,-15.4,,,,,5.0,,,,,8.0,,,,,8.8,,,,,11.6,,,,,-19.6,,,,,14.8,,,,,-13.1,,10.3
 12/1999,,,,,8.8,,,,,-3.2,,,,,6.6,,,,,8.1,,,,,3.3,,,,,-13.4,,,,,4.8,,,,,11.7,,,,,10.5,,,,,10.9,,,,,-18.3,,,,,15.5,,,,,-9.3,,12.1
 01/2000,,,,,8.5,,,,,-0.2,,,,,9.1,,,,,8.4,,,,,6.2,,,,,-15.0,,,,,3.0,,,,,11.9,,,,,10.2,,,,,11.1,,,,,-19.6,,,,,15.4,,,,,-7.3,,11.9
 02/2000,,,,,13.7,,,,,12.0,,,,,6.8,,,,,22.0,,,,,12.7,,,,,-9.7,,,,,5.0,,,,,11.6,,,,,9.3,,,,,11.7,,,,,-15.5,,,,,16.1,,,,,-6.4,,14.9
 03/2000,,,,,15.7,,,,,10.7,,,,,5.9,,,,,7.2,,,,,5.4,,,,,-6.6,,,,,6.7,,,,,10.1,,,,,12.4,,,,,10.3,,,,,-12.5,,,,,17.2,,,,,-5.4,,16.4
 04/2000,,,,,20.4,,,,,-2.6,,,,,4.4,,,,,4.3,,,,,7.1,,,,,-8.1,,,,,9.4,,,,,10.0,,,,,14.3,,,,,9.3,,,,,-13.4,,,,,14.3,,,,,-4.8,,17.4
 05/2000,,,,,18.3,,,,,14.9,,,,,2.1,,,,,14.8,,,,,2.9,,,,,-5.8,,,,,9.1,,,,,10.7,,,,,13.9,,,,,10.2,,,,,-11.1,,,,,15.6,,,,,-4.5,,17.0
 06/2000,,,,,21.7,,,,,1.7,,,,,4.1,,,,,1.8,,,,,3.6,,,,,-3.6,,,,,7.3,,,,,8.5,,,,,14.1,,,,,12.8,,,,,-10.5,,,,,11.0,,,,,-4.5,,16.3
 07/2000,,,,,20.7,,,,,4.5,,,,,4.4,,,,,5.0,,,,,6.3,,,,,-5.1,,,,,10.4,,,,,11.2,,,,,13.9,,,,,12.7,,,,,-11.0,,,,,10.3,,,,,-5.1,,15.4
 08/2000,,,,,19.8,,,,,2.0,,,,,5.0,,,,,6.1,,,,,0.9,,,,,-2.9,,,,,7.9,,,,,12.4,,,,,10.9,,,,,13.1,,,,,-9.5,,,,,6.0,,,,,-4.4,,12.8
 09/2000,,,,,20.9,,,,,5.9,,,,,3.9,,,,,10.2,,,,,3.4,,,,,-3.1,,,,,7.4,,,,,8.9,,,,,12.0,,,,,14.8,,,,,-8.5,,,,,8.2,,,,,-2.2,,14.4
 10/2000,,,,,22.8,,,,,2.7,,,,,5.1,,,,,5.4,,,,,4.8,,,,,-2.3,,,,,9.9,,,,,8.8,,,,,14.4,,,,,11.3,,,,,-8.7,,,,,8.6,,,,,-1.2,,15.6
 11/2000,,,,,21.0,,,,,4.1,,,,,8.5,,,,,9.8,,,,,1.4,,,,,-3.3,,,,,6.9,,,,,7.1,,,,,13.0,,,,,8.7,,,,,-7.5,,,,,6.9,,,,,-2.2,,13.8
 12/2000,,,,,19.7,,,,,-4.0,,,,,7.6,,,,,-3.1,,,,,-3.7,,,,,-4.4,,,,,4.8,,,,,5.2,,,,,10.7,,,,,9.1,,,,,-8.2,,,,,2.8,,,,,-2.1,,11.1
 01/2001,,,,,17.1,,,,,1.5,,,,,8.1,,,,,0.1,,,,,0.8,,,,,-4.9,,,,,6.3,,,,,3.0,,,,,8.2,,,,,10.2,,,,,-9.5,,,,,-0.6,,,,,-4.3,,8.1
 02/2001,,,,,18.0,,,,,-0.8,,,,,10.8,,,,,-3.9,,,,,-2.8,,,,,-6.7,,,,,3.9,,,,,-1.5,,,,,8.3,,,,,7.6,,,,,-10.5,,,,,-2.2,,,,,-6.5,,7.7
 03/2001,,,,,14.2,,,,,-0.5,,,,,11.9,,,,,-4.8,,,,,-9.5,,,,,-9.6,,,,,2.8,,,,,-4.1,,,,,4.4,,,,,4.3,,,,,-14.5,,,,,-5.9,,,,,-7.3,,3.9
 04/2001,,,,,10.5,,,,,-15.0,,,,,13.4,,,,,-9.7,,,,,-10.8,,,,,-17.3,,,,,2.5,,,,,-9.3,,,,,2.2,,,,,-1.9,,,,,-17.5,,,,,-10.0,,,,,-10.6,,0.0
 05/2001,,,,,6.2,,,,,-1.5,,,,,15.1,,,,,-9.7,,,,,-13.9,,,,,-16.8,,,,,0.1,,,,,-10.5,,,,,1.9,,,,,-0.9,,,,,-18.1,,,,,-13.6,,,,,-11.3,,-3.9
 06/2001,,,,,0.7,,,,,-15.4,,,,,17.1,,,,,-13.2,,,,,-15.8,,,,,-21.6,,,,,-0.7,,,,,-10.6,,,,,-2.1,,,,,-3.2,,,,,-20.6,,,,,-16.9,,,,,-14.5,,-8.3
 07/2001,,,,,-4.2,,,,,-15.1,,,,,15.5,,,,,-14.6,,,,,-17.5,,,,,-21.1,,,,,-2.6,,,,,-5.6,,,,,4.9,,,,,0.7,,,,,-22.1,,,,,-12.7,,,,,-18.1,,-8.5
 08/2001,,,,,-7.2,,,,,-11.8,,,,,18.1,,,,,-11.4,,,,,-14.3,,,,,-25.0,,,,,-2.2,,,,,-9.4,,,,,0.7,,,,,2.2,,,,,-24.5,,,,,-15.9,,,,,-20.5,,-11.6
 09/2001,,,,,-11.2,,,,,-14.3,,,,,17.9,,,,,-25.3,,,,,-24.1,,,,,-29.1,,,,,-2.7,,,,,-18.4,,,,,-2.1,,,,,-6.3,,,,,-27.5,,,,,-24.8,,,,,-23.4,,-18.1
 10/2001,,,,,-15.2,,,,,-16.9,,,,,20.1,,,,,-15.9,,,,,-26.6,,,,,-34.3,,,,,-5.1,,,,,-21.1,,,,,-2.5,,,,,-8.7,,,,,-29.7,,,,,-24.1,,,,,-25.4,,-19.7
 11/2001,,,,,-17.0,,,,,-18.8,,,,,19.5,,,,,-16.2,,,,,-24.4,,,,,-36.2,,,,,-5.1,,,,,-18.8,,,,,-6.8,,,,,-6.1,,,,,-33.4,,,,,-19.9,,,,,-23.3,,-18.5
 12/2001,,,,,-16.4,,,,,-12.8,,,,,18.6,,,,,-13.4,,,,,-20.8,,,,,-35.3,,,,,-4.3,,,,,-9.3,,,,,-6.0,,,,,-1.6,,,,,-33.1,,,,,-11.8,,,,,-22.8,,-14.1
 01/2002,,,,,-17.1,,,,,-17.0,,,,,18.1,,,,,-19.4,,,,,-30.0,,,,,-35.9,,,,,-8.5,,,,,-12.9,,,,,-3.8,,,,,-2.7,,,,,-32.4,,,,,-12.6,,,,,-24.4,,-14.9
 02/2002,,,,,-20.3,,,,,-30.9,,,,,15.7,,,,,-17.8,,,,,-21.9,,,,,-34.7,,,,,-0.2,,,,,-5.7,,,,,-3.6,,,,,1.5,,,,,-30.5,,,,,-2.5,,,,,-23.7,,-11.6
 03/2002,,,,,-18.5,,,,,-15.2,,,,,15.9,,,,,-5.2,,,,,-9.7,,,,,-33.5,,,,,-6.3,,,,,3.6,,,,,1.4,,,,,5.2,,,,,-26.5,,,,,10.9,,,,,-25.2,,-4.4
 04/2002,,,,,-18.5,,,,,-8.4,,,,,15.3,,,,,0.3,,,,,-11.8,,,,,-34.4,,,,,-4.4,,,,,3.4,,,,,3.0,,,,,9.0,,,,,-26.6,,,,,11.6,,,,,-22.4,,-4.0
 05/2002,,,,,-18.8,,,,,-8.7,,,,,15.1,,,,,3.0,,,,,-3.2,,,,,-30.8,,,,,-0.9,,,,,3.3,,,,,3.9,,,,,6.8,,,,,-26.1,,,,,15.2,,,,,-23.2,,-2.5
 06/2002,,,,,-16.3,,,,,-12.5,,,,,16.1,,,,,-3.3,,,,,-5.3,,,,,-33.6,,,,,-1.7,,,,,2.5,,,,,3.9,,,,,5.8,,,,,-24.6,,,,,13.2,,,,,-23.5,,-2.1
 07/2002,,,,,-17.3,,,,,-3.2,,,,,14.5,,,,,-0.2,,,,,-7.0,,,,,-33.2,,,,,0.4,,,,,-0.4,,,,,2.8,,,,,5.8,,,,,-25.2,,,,,8.4,,,,,-22.1,,-4.9
 08/2002,,,,,-19.4,,,,,-8.3,,,,,15.1,,,,,-0.6,,,,,-9.9,,,,,-34.1,,,,,-2.3,,,,,-4.2,,,,,-0.4,,,,,4.3,,,,,-25.6,,,,,7.3,,,,,-22.5,,-6.5
 09/2002,,,,,-16.8,,,,,-18.1,,,,,16.0,,,,,-14.8,,,,,-8.5,,,,,-34.1,,,,,-1.7,,,,,-2.5,,,,,1.8,,,,,3.6,,,,,-25.6,,,,,7.2,,,,,-23.5,,-5.2
 10/2002,,,,,-15.3,,,,,-7.7,,,,,14.1,,,,,-3.3,,,,,-10.2,,,,,-32.3,,,,,-3.1,,,,,-1.1,,,,,1.6,,,,,5.3,,,,,-20.6,,,,,3.0,,,,,-22.7,,-6.4
 11/2002,,,,,-16.6,,,,,-8.4,,,,,13.4,,,,,-5.7,,,,,-10.2,,,,,-31.1,,,,,-0.2,,,,,-3.7,,,,,-1.6,,,,,5.0,,,,,-24.3,,,,,-3.8,,,,,-23.4,,-10.3
 12/2002,,,,,-16.5,,,,,-8.4,,,,,13.6,,,,,-7.1,,,,,-10.6,,,,,-32.3,,,,,-4.3,,,,,-6.9,,,,,-5.7,,,,,6.6,,,,,-24.9,,,,,-2.4,,,,,-25.5,,-9.6
 01/2003,,,,,-18.1,,,,,-6.4,,,,,13.0,,,,,-5.4,,,,,-11.5,,,,,-30.8,,,,,-6.2,,,,,-7.7,,,,,-1.8,,,,,3.4,,,,,-24.4,,,,,-5.6,,,,,-22.4,,-12.0
 02/2003,,,,,-15.9,,,,,-10.1,,,,,12.6,,,,,-4.6,,,,,-7.0,,,,,-28.7,,,,,-4.3,,,,,-4.9,,,,,-3.6,,,,,5.5,,,,,-24.4,,,,,-4.8,,,,,-22.7,,-10.4
 03/2003,,,,,-18.9,,,,,-13.6,,,,,13.9,,,,,-9.7,,,,,-9.2,,,,,-30.4,,,,,-3.3,,,,,-8.6,,,,,2.4,,,,,2.2,,,,,-25.5,,,,,-7.3,,,,,-22.2,,-13.2
 04/2003,,,,,-18.0,,,,,-8.9,,,,,14.3,,,,,-8.0,,,,,-11.1,,,,,-33.6,,,,,-5.3,,,,,-4.9,,,,,0.8,,,,,-0.2,,,,,-28.7,,,,,-6.7,,,,,-20.2,,-12.5
 05/2003,,,,,-18.8,,,,,-11.6,,,,,15.2,,,,,-9.8,,,,,-14.0,,,,,-32.8,,,,,-3.0,,,,,-9.0,,,,,-3.1,,,,,0.6,,,,,-30.2,,,,,-6.9,,,,,-25.1,,-13.0
 06/2003,,,,,-19.9,,,,,-11.3,,,,,15.1,,,,,-8.1,,,,,-14.0,,,,,-33.7,,,,,-6.7,,,,,-8.6,,,,,-4.2,,,,,-0.2,,,,,-31.7,,,,,-0.7,,,,,-25.4,,-10.6
 07/2003,,,,,-15.7,,,,,-11.5,,,,,15.5,,,,,-5.4,,,,,-11.2,,,,,-36.3,,,,,-7.6,,,,,-9.2,,,,,-4.3,,,,,0.9,,,,,-32.2,,,,,2.5,,,,,-25.1,,-6.8
 08/2003,,,,,-16.4,,,,,-7.3,,,,,15.2,,,,,4.8,,,,,-7.2,,,,,-34.1,,,,,-4.3,,,,,-0.1,,,,,-0.6,,,,,4.4,,,,,-30.7,,,,,9.4,,,,,-21.6,,-3.9
 09/2003,,,,,-15.9,,,,,-9.2,,,,,15.0,,,,,-9.0,,,,,-9.9,,,,,-33.1,,,,,-4.8,,,,,7.3,,,,,-0.3,,,,,7.5,,,,,-30.6,,,,,16.3,,,,,-21.7,,-0.4
 10/2003,,,,,-11.3,,,,,-2.0,,,,,14.1,,,,,7.2,,,,,0.5,,,,,-31.2,,,,,-5.0,,,,,6.9,,,,,-2.2,,,,,12.3,,,,,-26.6,,,,,21.2,,,,,-22.0,,4.3
 11/2003,,,,,-8.6,,,,,-2.3,,,,,12.4,,,,,11.7,,,,,4.0,,,,,-26.0,,,,,-4.3,,,,,9.4,,,,,-0.3,,,,,13.2,,,,,-22.2,,,,,25.4,,,,,-19.5,,7.7
 12/2003,,,,,-5.2,,,,,0.8,,,,,13.6,,,,,10.6,,,,,4.9,,,,,-27.2,,,,,-5.3,,,,,6.6,,,,,0.5,,,,,11.8,,,,,-24.7,,,,,24.9,,,,,-21.3,,9.3
 01/2004,,,,,-1.0,,,,,9.2,,,,,11.0,,,,,16.4,,,,,7.0,,,,,-25.7,,,,,-3.0,,,,,10.5,,,,,0.2,,,,,10.4,,,,,-23.3,,,,,25.3,,,,,-19.4,,11.7
 02/2004,,,,,-2.9,,,,,0.2,,,,,11.6,,,,,11.1,,,,,2.9,,,,,-24.7,,,,,-0.4,,,,,11.9,,,,,1.5,,,,,10.4,,,,,-22.4,,,,,20.9,,,,,-19.7,,8.6
 03/2004,,,,,-3.5,,,,,-1.1,,,,,10.9,,,,,7.0,,,,,5.4,,,,,-26.3,,,,,-1.3,,,,,9.2,,,,,2.3,,,,,13.1,,,,,-20.5,,,,,15.6,,,,,-18.0,,5.8
 04/2004,,,,,-1.3,,,,,0.9,,,,,9.3,,,,,11.9,,,,,3.9,,,,,-19.7,,,,,1.8,,,,,8.9,,,,,3.6,,,,,14.7,,,,,-14.9,,,,,13.9,,,,,-17.0,,6.2
 05/2004,,,,,1.2,,,,,2.2,,,,,8.2,,,,,8.8,,,,,5.6,,,,,-19.8,,,,,3.0,,,,,5.7,,,,,8.8,,,,,14.3,,,,,-16.2,,,,,12.9,,,,,-17.1,,7.0
 06/2004,,,,,1.0,,,,,2.7,,,,,11.1,,,,,5.3,,,,,1.9,,,,,-18.8,,,,,3.2,,,,,4.4,,,,,7.8,,,,,12.8,,,,,-14.8,,,,,12.3,,,,,-15.4,,6.6
 07/2004,,,,,3.4,,,,,4.8,,,,,9.6,,,,,11.6,,,,,6.7,,,,,-14.3,,,,,3.4,,,,,4.0,,,,,8.7,,,,,15.9,,,,,-9.3,,,,,14.5,,,,,-18.1,,8.9
 08/2004,,,,,5.6,,,,,2.1,,,,,7.3,,,,,5.9,,,,,3.0,,,,,-14.3,,,,,4.6,,,,,5.1,,,,,7.3,,,,,16.5,,,,,-8.8,,,,,12.5,,,,,-15.7,,9.0
 09/2004,,,,,5.0,,,,,-2.7,,,,,9.0,,,,,6.2,,,,,5.4,,,,,-13.1,,,,,4.1,,,,,7.2,,,,,7.6,,,,,15.5,,,,,-9.6,,,,,13.5,,,,,-13.8,,9.2
 10/2004,,,,,5.7,,,,,-1.9,,,,,9.0,,,,,4.3,,,,,4.7,,,,,-13.2,,,,,6.0,,,,,7.0,,,,,8.9,,,,,17.3,,,,,-8.5,,,,,10.3,,,,,-14.2,,8.0
 11/2004,,,,,7.3,,,,,-3.7,,,,,8.4,,,,,-1.2,,,,,-0.5,,,,,-10.9,,,,,6.6,,,,,5.5,,,,,10.9,,,,,14.3,,,,,-9.1,,,,,8.6,,,,,-12.6,,7.9
 12/2004,,,,,7.6,,,,,2.0,,,,,7.5,,,,,10.0,,,,,2.0,,,,,-8.2,,,,,9.8,,,,,3.0,,,,,13.6,,,,,14.0,,,,,-9.6,,,,,9.2,,,,,-19.1,,8.4
 01/2005,,,,,7.1,,,,,-1.7,,,,,8.0,,,,,3.5,,,,,-1.0,,,,,-8.5,,,,,6.2,,,,,1.7,,,,,11.2,,,,,11.5,,,,,-9.3,,,,,8.2,,,,,-17.4,,7.7
 02/2005,,,,,7.1,,,,,-3.0,,,,,10.6,,,,,1.2,,,,,-2.7,,,,,-13.7,,,,,8.4,,,,,1.7,,,,,8.5,,,,,14.4,,,,,-8.3,,,,,5.6,,,,,-16.8,,6.3
 03/2005,,,,,1.5,,,,,-6.6,,,,,13.9,,,,,-6.6,,,,,-9.7,,,,,-18.3,,,,,3.7,,,,,0.1,,,,,4.3,,,,,12.0,,,,,-12.5,,,,,0.3,,,,,-20.8,,0.9
 04/2005,,,,,-1.4,,,,,-7.5,,,,,13.3,,,,,-5.9,,,,,-8.7,,,,,-20.8,,,,,0.9,,,,,-1.4,,,,,-0.5,,,,,13.6,,,,,-14.0,,,,,-0.4,,,,,-19.9,,-0.9
 05/2005,,,,,0.2,,,,,-7.4,,,,,13.3,,,,,-7.1,,,,,-9.3,,,,,-18.8,,,,,-3.0,,,,,-2.6,,,,,-2.2,,,,,9.0,,,,,-12.2,,,,,-5.3,,,,,-19.2,,-2.5
 06/2005,,,,,-0.3,,,,,-5.5,,,,,14.2,,,,,-2.9,,,,,-7.1,,,,,-19.9,,,,,-2.8,,,,,0.3,,,,,-3.3,,,,,10.8,,,,,-14.0,,,,,-2.7,,,,,-16.3,,-1.5
 07/2005,,,,,2.8,,,,,-0.7,,,,,11.6,,,,,4.0,,,,,-0.4,,,,,-19.4,,,,,-3.5,,,,,0.2,,,,,-0.3,,,,,12.0,,,,,-14.3,,,,,3.6,,,,,-16.1,,3.2
 08/2005,,,,,1.5,,,,,-3.2,,,,,11.4,,,,,0.3,,,,,-4.8,,,,,-20.4,,,,,-3.5,,,,,5.3,,,,,-1.8,,,,,11.6,,,,,-15.9,,,,,7.7,,,,,-15.8,,4.6
 09/2005,,,,,4.2,,,,,-3.5,,,,,10.0,,,,,3.1,,,,,-0.6,,,,,-16.2,,,,,-3.9,,,,,6.1,,,,,3.5,,,,,15.4,,,,,-12.6,,,,,9.6,,,,,-14.9,,6.9
 10/2005,,,,,9.7,,,,,2.4,,,,,9.0,,,,,7.6,,,,,3.9,,,,,-12.1,,,,,-1.0,,,,,9.0,,,,,2.1,,,,,15.3,,,,,-9.4,,,,,12.5,,,,,-14.5,,11.1
 11/2005,,,,,9.3,,,,,5.3,,,,,8.4,,,,,7.6,,,,,5.5,,,,,-12.8,,,,,-0.4,,,,,6.7,,,,,6.1,,,,,15.4,,,,,-8.9,,,,,9.9,,,,,-14.6,,9.6
 12/2005,,,,,11.6,,,,,8.6,,,,,9.5,,,,,13.9,,,,,8.0,,,,,-10.1,,,,,0.8,,,,,8.4,,,,,4.8,,,,,17.2,,,,,-5.4,,,,,13.6,,,,,-13.8,,12.6
 01/2006,,,,,14.1,,,,,0.5,,,,,7.9,,,,,8.8,,,,,2.8,,,,,-6.4,,,,,-0.6,,,,,9.8,,,,,5.1,,,,,19.6,,,,,-6.1,,,,,17.2,,,,,-13.3,,15.6
 02/2006,,,,,16.1,,,,,7.1,,,,,6.5,,,,,12.5,,,,,10.3,,,,,-2.7,,,,,2.3,,,,,10.4,,,,,5.6,,,,,18.3,,,,,-4.4,,,,,17.3,,,,,-9.8,,16.7
 03/2006,,,,,24.5,,,,,9.5,,,,,7.8,,,,,17.5,,,,,13.1,,,,,-0.2,,,,,2.7,,,,,10.9,,,,,7.2,,,,,19.9,,,,,-1.5,,,,,18.1,,,,,-10.8,,21.3
 04/2006,,,,,24.7,,,,,8.5,,,,,4.3,,,,,17.2,,,,,12.8,,,,,4.1,,,,,1.0,,,,,11.4,,,,,8.3,,,,,18.4,,,,,3.9,,,,,15.2,,,,,-9.9,,19.9
 05/2006,,,,,29.1,,,,,10.9,,,,,5.4,,,,,13.4,,,,,12.8,,,,,2.1,,,,,4.9,,,,,13.1,,,,,7.7,,,,,16.7,,,,,0.8,,,,,13.4,,,,,-10.2,,21.1
 06/2006,,,,,30.1,,,,,14.5,,,,,3.2,,,,,21.9,,,,,16.8,,,,,7.0,,,,,7.1,,,,,7.1,,,,,7.6,,,,,17.7,,,,,3.8,,,,,14.3,,,,,-9.2,,22.1
 07/2006,,,,,30.4,,,,,11.1,,,,,2.6,,,,,13.9,,,,,13.0,,,,,7.5,,,,,6.5,,,,,9.3,,,,,7.6,,,,,15.1,,,,,2.7,,,,,9.7,,,,,-8.1,,19.8
 08/2006,,,,,30.5,,,,,11.3,,,,,1.5,,,,,12.2,,,,,13.0,,,,,6.4,,,,,5.4,,,,,9.6,,,,,10.1,,,,,14.7,,,,,4.0,,,,,11.9,,,,,-5.9,,21.0
