,Ifo index climate,Ifo expectations-climate,Ifo index manufacturing,Ifo expectations-manufacturing,Ifo index capital goods,Ifo expectations-capital goods,Ifo index intermediate goods ,Ifo expectations-intermediate goods ,Ifo index wholesale,Ifo expectations-intermediate goods
2013-12,11.8,11.8,15.96,16.42,19.25,19.42,15.72,17.92,8.92,10.17
2014-01,14.5,13.3,18.39,16.88,20.28,17.18,18.94,18.42,17.56,17.07
2014-02,14.6,12.1,19.14,16.21,20.93,18.16,19.56,19.19,12.57,10.12
2014-03,14.8,9.9,19.86,13.79,24.33,21.31,20.82,11.81,11.25,8.64
2014-04,14.6,10,19.53,14.21,26.53,23.65,19.06,11,14.87,11.23
2014-05,13.1,8,18.43,11.88,24.69,19.03,16.58,10.66,12.07,11.31
2014-06,11.8,5.8,15.57,9.27,19.73,12.35,15.21,8.55,11.91,6.2
2014-07,9.2,3.1,13.19,6.3,14.12,7.32,15.37,7.44,9.36,4.26
2014-08,6,1.4,10.24,4.06,13.09,5.96,11.15,2.38,1.48,-0.71
2014-09,3.9,-2.5,7.75,-0.27,8.07,-0.15,8.58,-0.8,-2.03,-6.38
2014-10,0.1,-5.2,1.8,-4.89,1.56,-2.91,2.98,-6.13,0.25,-4.83
2014-11,2.4,-2.7,3.67,-3.78,2.66,-3.24,4.57,-3.3,5.81,1.91
2014-12,4.2,-0.3,7.06,1.49,4.83,-0.41,8.91,4.94,7.13,6.17
2015-01,6.6,1,9.3,2.83,10.94,6.04,10.15,5.33,8.33,3.07
2015-02,6.7,1.9,9.47,4.02,8.59,4.06,11.15,7.08,8.2,4.12
2015-03,,,,,,,,,,
2015-04,,,,,,,,,,
2015-05,,,,,,,,,,
2015-06,,,,,,,,,,
2015-07,,,,,,,,,,
2015-08,,,,,,,,,,
2015-09,,,,,,,,,,
2015-10,,,,,,,,,,
2015-11,,,,,,,,,,
2015-12,,,,,,,,,,
